        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.43500000e+00,        +1.414213562373e-01,        +2.826837567168e-01,        -5.201529610382e-03
 2.43500500e+00,        +1.414213562373e-01,        +2.826833486262e-01,        -5.210162078562e-03
 2.43501000e+00,        +1.414213562373e-01,        +2.826829390874e-01,        -5.218811718292e-03
 2.43501500e+00,        +1.414213562373e-01,        +2.826825280941e-01,        -5.227478582616e-03
 2.43502000e+00,        +1.414213562373e-01,        +2.826821156399e-01,        -5.236162724799e-03
 2.43502500e+00,        +1.414213562373e-01,        +2.826817017185e-01,        -5.244864198325e-03
 2.43503000e+00,        +1.414213562373e-01,        +2.826812863234e-01,        -5.253583056900e-03
 2.43503500e+00,        +1.414213562373e-01,        +2.826808694482e-01,        -5.262319354447e-03
 2.43504000e+00,        +1.414213562373e-01,        +2.826804510863e-01,        -5.271073145119e-03
 2.43504500e+00,        +1.414213562373e-01,        +2.826800312313e-01,        -5.279844483289e-03
 2.43505000e+00,        +1.414213562373e-01,        +2.826796098765e-01,        -5.288633423554e-03
 2.43505500e+00,        +1.414213562373e-01,        +2.826791870155e-01,        -5.297440020741e-03
 2.43506000e+00,        +1.414213562373e-01,        +2.826787626415e-01,        -5.306264329902e-03
 2.43506500e+00,        +1.414213562373e-01,        +2.826783367479e-01,        -5.315106406322e-03
 2.43507000e+00,        +1.414213562373e-01,        +2.826779093280e-01,        -5.323966305509e-03
 2.43507500e+00,        +1.414213562373e-01,        +2.826774803750e-01,        -5.332844083208e-03
 2.43508000e+00,        +1.414213562373e-01,        +2.826770498823e-01,        -5.341739795396e-03
 2.43508500e+00,        +1.414213562373e-01,        +2.826766178428e-01,        -5.350653498280e-03
 2.43509000e+00,        +1.414213562373e-01,        +2.826761842499e-01,        -5.359585248307e-03
 2.43509500e+00,        +1.414213562373e-01,        +2.826757490966e-01,        -5.368535102154e-03
 2.43510000e+00,        +1.414213562373e-01,        +2.826753123760e-01,        -5.377503116741e-03
 2.43510500e+00,        +1.414213562373e-01,        +2.826748740811e-01,        -5.386489349223e-03
 2.43511000e+00,        +1.414213562373e-01,        +2.826744342050e-01,        -5.395493856997e-03
 2.43511500e+00,        +1.414213562373e-01,        +2.826739927406e-01,        -5.404516697700e-03
 2.43512000e+00,        +1.414213562373e-01,        +2.826735496808e-01,        -5.413557929210e-03
 2.43512500e+00,        +1.414213562373e-01,        +2.826731050185e-01,        -5.422617609652e-03
 2.43513000e+00,        +1.414213562373e-01,        +2.826726587466e-01,        -5.431695797393e-03
 2.43513500e+00,        +1.414213562373e-01,        +2.826722108578e-01,        -5.440792551047e-03
 2.43514000e+00,        +1.414213562373e-01,        +2.826717613450e-01,        -5.449907929474e-03
 2.43514500e+00,        +1.414213562373e-01,        +2.826713102008e-01,        -5.459041991787e-03
 2.43515000e+00,        +1.414213562373e-01,        +2.826708574180e-01,        -5.468194797347e-03
 2.43515500e+00,        +1.414213562373e-01,        +2.826704029892e-01,        -5.477366405763e-03
 2.43516000e+00,        +1.414213562373e-01,        +2.826699469070e-01,        -5.486556876903e-03
 2.43516500e+00,        +1.414213562373e-01,        +2.826694891640e-01,        -5.495766270882e-03
 2.43517000e+00,        +1.414213562373e-01,        +2.826690297526e-01,        -5.504994648076e-03
 2.43517500e+00,        +1.414213562373e-01,        +2.826685686655e-01,        -5.514242069119e-03
 2.43518000e+00,        +1.414213562373e-01,        +2.826681058950e-01,        -5.523508594895e-03
 2.43518500e+00,        +1.414213562373e-01,        +2.826676414336e-01,        -5.532794286555e-03
 2.43519000e+00,        +1.414213562373e-01,        +2.826671752735e-01,        -5.542099205510e-03
 2.43519500e+00,        +1.414213562373e-01,        +2.826667074072e-01,        -5.551423413430e-03
 2.43520000e+00,        +1.414213562373e-01,        +2.826662378269e-01,        -5.560766972252e-03
 2.43520500e+00,        +1.414213562373e-01,        +2.826657665248e-01,        -5.570129944176e-03
 2.43521000e+00,        +1.414213562373e-01,        +2.826652934932e-01,        -5.579512391670e-03
