        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.40000000e+00,        +1.199780968509e+00,        +1.889217220699e+00,        +3.257201919480e+00,        -4.163003648979e+00,        +5.177725526927e-03,        +8.390902459436e-02,        +5.168903416521e-01,        +1.135467523401e+00,        +8.916639891249e+00,        -6.024003547710e+00,        -5.715479899145e-02,        +6.926591599576e-02,        +7.390805683083e-01,        +1.748112691502e+00,        +1.994718255435e+01,        -8.776363869550e+00,        -1.128825357642e-01,        +1.021525976967e-01,        -2.127611772702e+00,        -7.725649654317e-02,        +5.184885417617e+01,        -1.078880628097e+01,        -1.220047409578e-02,        +1.853836648911e-02
 2.40002500e+00,        +1.200599123154e+00,        +1.890362499111e+00,        +3.258190846990e+00,        -4.166499706684e+00,        +5.198377401292e-03,        +8.394450965516e-02,        +5.170637501388e-01,        +1.135954990091e+00,        +8.920845191623e+00,        -6.028872504512e+00,        -5.717230315795e-02,        +6.928995022745e-02,        +7.391431438984e-01,        +1.748637336464e+00,        +1.995749047116e+01,        -8.783827125974e+00,        -1.129179534719e-01,        +1.021992337191e-01,        -2.131052324903e+00,        -7.732766492462e-02,        +5.188129892783e+01,        -1.080207992022e+01,        -1.227012624750e-02,        +1.859739412773e-02
 2.40005000e+00,        +1.201416923532e+00,        +1.891506546966e+00,        +3.259182308010e+00,        -4.169996450701e+00,        +5.219021579841e-03,        +8.397996152418e-02,        +5.172371491439e-01,        +1.136441952928e+00,        +8.925055218168e+00,        -6.033745559347e+00,        -5.718978791062e-02,        +6.931398009307e-02,        +7.392057927211e-01,        +1.749161427841e+00,        +1.996780868013e+01,        -8.791298703139e+00,        -1.129533325615e-01,        +1.022458627406e-01,        -2.134493106729e+00,        -7.739896888148e-02,        +5.191377884468e+01,        -1.081537426751e+01,        -1.233979915050e-02,        +1.865644124650e-02
 2.40007500e+00,        +1.202234369435e+00,        +1.892649365851e+00,        +3.260176305461e+00,        -4.173493888118e+00,        +5.239658057367e-03,        +8.401538024018e-02,        +5.174105384157e-01,        +1.136928412479e+00,        +8.929269977171e+00,        -6.038622723794e+00,        -5.720725326871e-02,        +6.933800558941e-02,        +7.392685143655e-01,        +1.749684966233e+00,        +1.997813719633e+01,        -8.798778621165e+00,        -1.129886730696e-01,        +1.022924847556e-01,        -2.137934117978e+00,        -7.747040852821e-02,        +5.194629397746e+01,        -1.082868937107e+01,        -1.240949293047e-02,        +1.871550793328e-02
 2.40010000e+00,        +1.203051460658e+00,        +1.893790957351e+00,        +3.261172842261e+00,        -4.176992026028e+00,        +5.260286828677e-03,        +8.405076584187e-02,        +5.175839177030e-01,        +1.137414369313e+00,        +8.933489474927e+00,        -6.043504009457e+00,        -5.722469925148e-02,        +6.936202671325e-02,        +7.393313084213e-01,        +1.750207952237e+00,        +1.998847603486e+01,        -8.806266900217e+00,        -1.130239750326e-01,        +1.023390997582e-01,        -2.141375358450e+00,        -7.754198398022e-02,        +5.197884437700e+01,        -1.084202527926e+01,        -1.247920771314e-02,        +1.877459427614e-02
 2.40012500e+00,        +1.203868196995e+00,        +1.894931323048e+00,        +3.262171921336e+00,        -4.180490871532e+00,        +5.280907888598e-03,        +8.408611836784e-02,        +5.177572867552e-01,        +1.137899823995e+00,        +8.937713717737e+00,        -6.048389427964e+00,        -5.724212587811e-02,        +6.938604346139e-02,        +7.393941744790e-01,        +1.750730386451e+00,        +1.999882521082e+01,        -8.813763560508e+00,        -1.130592384866e-01,        +1.023857077429e-01,        -2.144816827942e+00,        -7.761369535383e-02,        +5.201143009423e+01,        -1.085538204055e+01,        -1.254894362430e-02,        +1.883370036339e-02
 2.40015000e+00,        +1.204684578241e+00,        +1.896070464521e+00,        +3.263173545612e+00,        -4.183990431740e+00,        +5.301521231971e-03,        +8.412143785667e-02,        +5.179306453220e-01,        +1.138384777092e+00,        +8.941942711912e+00,        -6.053278990963e+00,        -5.725953316780e-02,        +6.941005583062e-02,        +7.394571121300e-01,        +1.751252269471e+00,        +2.000918473934e+01,        -8.821268622298e+00,        -1.130944634681e-01,        +1.024323087038e-01,        -2.148258526251e+00,        -7.768554276639e-02,        +5.204405118018e+01,        -1.086875970355e+01,        -1.261870078983e-02,        +1.889282628353e-02
 2.40017500e+00,        +1.205500604193e+00,        +1.897208383346e+00,        +3.264177718017e+00,        -4.187490713772e+00,        +5.322126853652e-03,        +8.415672434680e-02,        +5.181039931539e-01,        +1.138869229167e+00,        +8.946176463770e+00,        -6.058172710128e+00,        -5.727692113968e-02,        +6.943406381774e-02,        +7.395201209662e-01,        +1.751773601893e+00,        +2.001955463559e+01,        -8.828782105894e+00,        -1.131296500132e-01,        +1.024789026354e-01,        -2.151700453174e+00,        -7.775752633611e-02,        +5.207670768596e+01,        -1.088215831701e+01,        -1.268847933564e-02,        +1.895197212530e-02
 2.40020000e+00,        +1.206316274646e+00,        +1.898345081099e+00,        +3.265184441483e+00,        -4.190991724753e+00,        +5.342724748517e-03,        +8.419197787663e-02,        +5.182773300019e-01,        +1.139353180786e+00,        +8.950414979638e+00,        -6.063070597157e+00,        -5.729428981285e-02,        +6.945806741953e-02,        +7.395832005805e-01,        +1.752294384311e+00,        +2.002993491475e+01,        -8.836304031652e+00,        -1.131647981579e-01,        +1.025254895319e-01,        -2.155142608508e+00,        -7.782964618220e-02,        +5.210939966279e+01,        -1.089557792977e+01,        -1.275827938772e-02,        +1.901113797766e-02
 2.40022500e+00,        +1.207131589399e+00,        +1.899480559351e+00,        +3.266193718945e+00,        -4.194493471819e+00,        +5.363314911454e-03,        +8.422719848447e-02,        +5.184506556173e-01,        +1.139836632511e+00,        +8.954658265851e+00,        -6.067972663770e+00,        -5.731163920639e-02,        +6.948206663281e-02,        +7.396463505662e-01,        +1.752814617320e+00,        +2.004032559201e+01,        -8.843834419973e+00,        -1.131999079384e-01,        +1.025720693877e-01,        -2.158584992047e+00,        -7.790190242481e-02,        +5.214212716198e+01,        -1.090901859083e+01,        -1.282810107211e-02,        +1.907032392980e-02
 2.40025000e+00,        +1.207946548250e+00,        +1.900614819670e+00,        +3.267205553339e+00,        -4.197995962112e+00,        +5.383897337366e-03,        +8.426238620857e-02,        +5.186239697522e-01,        +1.140319584903e+00,        +8.958906328750e+00,        -6.072878921711e+00,        -5.732896933933e-02,        +6.950606145438e-02,        +7.397095705177e-01,        +1.753334301511e+00,        +2.005072668260e+01,        -8.851373291308e+00,        -1.132349793906e-01,        +1.026186421970e-01,        -2.162027603588e+00,        -7.797429518506e-02,        +5.217489023494e+01,        -1.092248034931e+01,        -1.289794451493e-02,        +1.912953007113e-02
 2.40027500e+00,        +1.208761150998e+00,        +1.901747863623e+00,        +3.268219947607e+00,        -4.201499202783e+00,        +5.404472021175e-03,        +8.429754108709e-02,        +5.187972721591e-01,        +1.140802038524e+00,        +8.963159174687e+00,        -6.077789382747e+00,        -5.734628023069e-02,        +6.953005188105e-02,        +7.397728600300e-01,        +1.753853437478e+00,        +2.006113820177e+01,        -8.858920666157e+00,        -1.132700125503e-01,        +1.026652079544e-01,        -2.165470442925e+00,        -7.804682458502e-02,        +5.220768893316e+01,        -1.093596325445e+01,        -1.296780984237e-02,        +1.918875649127e-02
 2.40030000e+00,        +1.209575397442e+00,        +1.902879692773e+00,        +3.269236904689e+00,        -4.205003200993e+00,        +5.425038957818e-03,        +8.433266315811e-02,        +5.189705625910e-01,        +1.141283993935e+00,        +8.967416810019e+00,        -6.082704058672e+00,        -5.736357189943e-02,        +6.955403790962e-02,        +7.398362186987e-01,        +1.754372025811e+00,        +2.007156016480e+01,        -8.866476565067e+00,        -1.133050074535e-01,        +1.027117666541e-01,        -2.168913509851e+00,        -7.811949074771e-02,        +5.224052330825e+01,        -1.094946735561e+01,        -1.303769718065e-02,        +1.924800328009e-02
 2.40032500e+00,        +1.210389287383e+00,        +1.904010308683e+00,        +3.270256427532e+00,        -4.208507963910e+00,        +5.445598142244e-03,        +8.436775245965e-02,        +5.191438408015e-01,        +1.141765451694e+00,        +8.971679241114e+00,        -6.087622961298e+00,        -5.738084436448e-02,        +6.957801953690e-02,        +7.398996461203e-01,        +1.754890067102e+00,        +2.008199258698e+01,        -8.874041008631e+00,        -1.133399641358e-01,        +1.027583182904e-01,        -2.172356804160e+00,        -7.819229379715e-02,        +5.227339341190e+01,        -1.096299270232e+01,        -1.310760665608e-02,        +1.930727052766e-02
 2.40035000e+00,        +1.211202820622e+00,        +1.905139712910e+00,        +3.271278519083e+00,        -4.212013498710e+00,        +5.466149569419e-03,        +8.440280902965e-02,        +5.193171065446e-01,        +1.142246412359e+00,        +8.975946474346e+00,        -6.092546102468e+00,        -5.739809764477e-02,        +6.960199675972e-02,        +7.399631418918e-01,        +1.755407561939e+00,        +2.009243548362e+01,        -8.881614017494e+00,        -1.133748826330e-01,        +1.028048628579e-01,        -2.175800325646e+00,        -7.826523385822e-02,        +5.230629929590e+01,        -1.097653934418e+01,        -1.317753839503e-02,        +1.936655832429e-02
