        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +4.193235775639e-11,        +4.384918039219e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.733804596105e-16,        +4.134765343217e-06,        +2.478635666647e-14,        +5.652638531615e-04,        +2.948600604953e-11,        +7.031802557070e-01,        +3.143064481946e-11,        +7.167897903299e-01,        +3.380829436852e-12,        +8.062578919349e-02,        +3.193652385299e-12,        +7.283265859782e-02,        +2.788605720389e-12,        +6.650247850574e-02,        +2.665542111421e-12,        +6.078886965686e-02,        +2.800576318353e-12,        +6.678795250730e-02,        +2.675046023317e-12,        +6.100561058134e-02,        +3.372084691530e-12,        +8.041724510511e-02,        +3.187126178763e-12,        +7.268382556428e-02
 2.40002500e+00,        +4.194338570742e-11,        +4.385931572636e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.734043177149e-16,        +4.134247028232e-06,        +2.481016561919e-14,        +5.656760760698e-04,        +2.948878534440e-11,        +7.030616352743e-01,        +3.143242855870e-11,        +7.166648188222e-01,        +3.382787582912e-12,        +8.065127613942e-02,        +3.195487875610e-12,        +7.285767738710e-02,        +2.790716880953e-12,        +6.653532693856e-02,        +2.667525686301e-12,        +6.082004796755e-02,        +2.802693730688e-12,        +6.682087493458e-02,        +2.677037898169e-12,        +6.103692804675e-02,        +3.374041797612e-12,        +8.044276208764e-02,        +3.188958759430e-12,        +7.270881240660e-02
 2.40005000e+00,        +4.195443030903e-11,        +4.386946755361e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.734285301828e-16,        +4.133735791557e-06,        +2.483401428407e-14,        +5.660888009119e-04,        +2.949156821414e-11,        +7.029428834311e-01,        +3.143421565987e-11,        +7.165397123058e-01,        +3.384749025705e-12,        +8.067679624710e-02,        +3.197326425545e-12,        +7.288272695898e-02,        +2.792831196510e-12,        +6.656820688395e-02,        +2.669512215998e-12,        +6.085125634898e-02,        +2.804814307349e-12,        +6.685382894461e-02,        +2.679032734837e-12,        +6.106827559653e-02,        +3.376002193888e-12,        +8.046831214298e-02,        +3.190794394673e-12,        +7.273382998720e-02
 2.40007500e+00,        +4.196549159265e-11,        +4.387963590515e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.734530970029e-16,        +4.133231624844e-06,        +2.485790273329e-14,        +5.665020281168e-04,        +2.949435466542e-11,        +7.028240000551e-01,        +3.143600612916e-11,        +7.164144706467e-01,        +3.386713771256e-12,        +8.070234954305e-02,        +3.199168040756e-12,        +7.290780734078e-02,        +2.794948673249e-12,        +6.660111837552e-02,        +2.671501706298e-12,        +6.088249483365e-02,        +2.806938054528e-12,        +6.688681457075e-02,        +2.681030539114e-12,        +6.109965326306e-02,        +3.377965886382e-12,        +8.049389529787e-02,        +3.192633090142e-12,        +7.275887833352e-02
 2.40010000e+00,        +4.197656958979e-11,        +4.388982081228e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.734780181651e-16,        +4.132734519767e-06,        +2.488183103927e-14,        +5.669157581137e-04,        +2.949714470495e-11,        +7.027049850241e-01,        +3.143779997277e-11,        +7.162890937112e-01,        +3.388681825605e-12,        +8.072793605386e-02,        +3.201012726908e-12,        +7.293291855985e-02,        +2.797069317376e-12,        +6.663406144690e-02,        +2.673494163003e-12,        +6.091376345412e-02,        +2.809064978437e-12,        +6.691983184639e-02,        +2.683031316811e-12,        +6.113106107875e-02,        +3.379932881134e-12,        +8.051951157906e-02,        +3.194474851500e-12,        +7.278395747304e-02
 2.40012500e+00,        +4.198766433203e-11,        +4.390002230636e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.735032936613e-16,        +4.132244468024e-06,        +2.490579927457e-14,        +5.673299913326e-04,        +2.949993833944e-11,        +7.025858382157e-01,        +3.143959719693e-11,        +7.161635813651e-01,        +3.390653194805e-12,        +8.075355580611e-02,        +3.202860489680e-12,        +7.295806064354e-02,        +2.799193135111e-12,        +6.666703613174e-02,        +2.675489591927e-12,        +6.094506224293e-02,        +2.811195085300e-12,        +6.695288080492e-02,        +2.685035073751e-12,        +6.116249907604e-02,        +3.381903184199e-12,        +8.054516101336e-02,        +3.196319684426e-12,        +7.280906743327e-02
 2.40015000e+00,        +4.199877585106e-11,        +4.391024041884e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.735289234845e-16,        +4.131761461331e-06,        +2.492980751198e-14,        +5.677447282042e-04,        +2.950273557562e-11,        +7.024665595074e-01,        +3.144139780786e-11,        +7.160379334741e-01,        +3.392627884928e-12,        +8.077920882645e-02,        +3.204711334767e-12,        +7.298323361928e-02,        +2.801320132691e-12,        +6.670004246374e-02,        +2.677487998901e-12,        +6.097639123270e-02,        +2.813328381358e-12,        +6.698596147980e-02,        +2.687041815772e-12,        +6.119396728739e-02,        +3.383876801646e-12,        +8.057084362760e-02,        +3.198167594611e-12,        +7.283420824174e-02
 2.40017500e+00,        +4.200990417861e-11,        +4.392047518124e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.735549076295e-16,        +4.131285491431e-06,        +2.495385582445e-14,        +5.681599691596e-04,        +2.950553642022e-11,        +7.023471487766e-01,        +3.144320181180e-11,        +7.159121499040e-01,        +3.394605902059e-12,        +8.080489514155e-02,        +3.206565267877e-12,        +7.300843751451e-02,        +2.803450316366e-12,        +6.673308047662e-02,        +2.679489389769e-12,        +6.100775045606e-02,        +2.815464872867e-12,        +6.701907390449e-02,        +2.689051548726e-12,        +6.122546574530e-02,        +3.385853739563e-12,        +8.059655944865e-02,        +3.200018587762e-12,        +7.285937992604e-02
 2.40020000e+00,        +4.202104934651e-11,        +4.393072662516e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.735812460924e-16,        +4.130816550084e-06,        +2.497794428514e-14,        +5.685757146306e-04,        +2.950834088002e-11,        +7.022276059003e-01,        +3.144500921503e-11,        +7.157862305201e-01,        +3.396587252299e-12,        +8.083061477810e-02,        +3.208422294734e-12,        +7.303367235669e-02,        +2.805583692404e-12,        +6.676615020413e-02,        +2.681493770388e-12,        +6.103913994567e-02,        +2.817604566098e-12,        +6.705221811250e-02,        +2.691064278481e-12,        +6.125699448230e-02,        +3.387834004051e-12,        +8.062230850341e-02,        +3.201872669602e-12,        +7.288458251378e-02
 2.40022500e+00,        +4.203221138666e-11,        +4.394099478229e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.736079388711e-16,        +4.130354629074e-06,        +2.500207296741e-14,        +5.689919650495e-04,        +2.951114896178e-11,        +7.021079307558e-01,        +3.144682002382e-11,        +7.156601751878e-01,        +3.398571941766e-12,        +8.085636776286e-02,        +3.210282421075e-12,        +7.305893817334e-02,        +2.807720267087e-12,        +6.679925168006e-02,        +2.683501146634e-12,        +6.107055973424e-02,        +2.819747467339e-12,        +6.708539413735e-02,        +2.693080010919e-12,        +6.128855353097e-02,        +3.389817601227e-12,        +8.064809081881e-02,        +3.203729845866e-12,        +7.290981603259e-02
 2.40025000e+00,        +4.204339033105e-11,        +4.395127968438e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.736349859648e-16,        +4.129899720208e-06,        +2.502624194477e-14,        +5.694087208493e-04,        +2.951396067229e-11,        +7.019881232199e-01,        +3.144863424446e-11,        +7.155339837724e-01,        +3.400559976592e-12,        +8.088215412259e-02,        +3.212145652652e-12,        +7.308423499200e-02,        +2.809860046712e-12,        +6.683238493821e-02,        +2.685511524393e-12,        +6.110200985449e-02,        +2.821893582891e-12,        +6.711860201263e-02,        +2.695098751935e-12,        +6.132014292389e-02,        +3.391804537224e-12,        +8.067390642183e-02,        +3.205590122305e-12,        +7.293508051015e-02
 2.40027500e+00,        +4.205458621174e-11,        +4.396158136328e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.736623873743e-16,        +4.129451815314e-06,        +2.505045129098e-14,        +5.698259824634e-04,        +2.951677601838e-11,        +7.018681831694e-01,        +3.145045188326e-11,        +7.154076561389e-01,        +3.402551362926e-12,        +8.090797388409e-02,        +3.214011995235e-12,        +7.310956284023e-02,        +2.812003037594e-12,        +6.686555001244e-02,        +2.687524909568e-12,        +6.113349033919e-02,        +2.824042919074e-12,        +6.715184177191e-02,        +2.697120507440e-12,        +6.135176269370e-02,        +3.393794818190e-12,        +8.069975533945e-02,        +3.207453504684e-12,        +7.296037597417e-02
 2.40030000e+00,        +4.206579906088e-11,        +4.397189985090e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.736901431020e-16,        +4.129010906239e-06,        +2.507470107994e-14,        +5.702437503261e-04,        +2.951959500685e-11,        +7.017481104811e-01,        +3.145227294654e-11,        +7.152811921521e-01,        +3.404546106931e-12,        +8.093382707420e-02,        +3.215881454603e-12,        +7.313492174566e-02,        +2.814149246060e-12,        +6.689874693661e-02,        +2.689541308076e-12,        +6.116500122113e-02,        +2.826195482220e-12,        +6.718511344883e-02,        +2.699145283360e-12,        +6.138341287306e-02,        +3.395788450289e-12,        +8.072563759873e-02,        +3.209319998784e-12,        +7.298570245240e-02
 2.40032500e+00,        +4.207702891068e-11,        +4.398223517924e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.737182531517e-16,        +4.128576984856e-06,        +2.509899138578e-14,        +5.706620248720e-04,        +2.952241764455e-11,        +7.016279050315e-01,        +3.145409744064e-11,        +7.151545916768e-01,        +3.406544214788e-12,        +8.095971371979e-02,        +3.217754036555e-12,        +7.316031173591e-02,        +2.816298678456e-12,        +6.693197574464e-02,        +2.691560725849e-12,        +6.119654253315e-02,        +2.828351278680e-12,        +6.721841707703e-02,        +2.701173085636e-12,        +6.141509349465e-02,        +3.397785439703e-12,        +8.075155322672e-02,        +3.211189610400e-12,        +7.301105997259e-02
 2.40035000e+00,        +4.208827579345e-11,        +4.399258738037e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.737467175289e-16,        +4.128150043056e-06,        +2.512332228281e-14,        +5.710808065364e-04,        +2.952524393833e-11,        +7.015075666970e-01,        +3.145592537191e-11,        +7.150278545777e-01,        +3.408545692692e-12,        +8.098563384778e-02,        +3.219629746901e-12,        +7.318573283866e-02,        +2.818451341142e-12,        +6.696523647046e-02,        +2.693583168834e-12,        +6.122811430810e-02,        +2.830510314818e-12,        +6.725175269021e-02,        +2.703203920223e-12,        +6.144680459120e-02,        +3.399785792625e-12,        +8.077750225052e-02,        +3.213062345341e-12,        +7.303644856258e-02
 2.40037500e+00,        +4.209953974157e-11,        +4.400295648646e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.737755362404e-16,        +4.127730072754e-06,        +2.514769384552e-14,        +5.715000957552e-04,        +2.952807389508e-11,        +7.013870953540e-01,        +3.145775674672e-11,        +7.149009807192e-01,        +3.410550546856e-12,        +8.101158748508e-02,        +3.221508591469e-12,        +7.321118508162e-02,        +2.820607240494e-12,        +6.699852914803e-02,        +2.695608642993e-12,        +6.125971657887e-02,        +2.832672597015e-12,        +6.728512032208e-02,        +2.705237793090e-12,        +6.147854619547e-02,        +3.401789515270e-12,        +8.080348469727e-02,        +3.214938209432e-12,        +7.306186825018e-02
 2.40040000e+00,        +4.211082078750e-11,        +4.401334252974e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.738047092947e-16,        +4.127317065885e-06,        +2.517210614864e-14,        +5.719198929649e-04,        +2.953090752166e-11,        +7.012664908785e-01,        +3.145959157144e-11,        +7.147739699657e-01,        +3.412558783506e-12,        +8.103757465869e-02,        +3.223390576099e-12,        +7.323666849253e-02,        +2.822766382904e-12,        +6.703185381135e-02,        +2.697637154301e-12,        +6.129134937839e-02,        +2.834838131668e-12,        +6.731852000638e-02,        +2.707274710223e-12,        +6.151031834025e-02,        +3.403796613863e-12,        +8.082950059414e-02,        +3.216817208513e-12,        +7.308731906329e-02
 2.40042500e+00,        +4.212211896379e-11,        +4.402374554254e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.738342367018e-16,        +4.126911014406e-06,        +2.519655926704e-14,        +5.723401986024e-04,        +2.953374482500e-11,        +7.011457531467e-01,        +3.146142985249e-11,        +7.146468221814e-01,        +3.414570408886e-12,        +8.106359539559e-02,        +3.225275706648e-12,        +7.326218309915e-02,        +2.824928774779e-12,        +6.706521049445e-02,        +2.699668708751e-12,        +6.132301273962e-02,        +2.837006925190e-12,        +6.735195177690e-02,        +2.709314677620e-12,        +6.154212105834e-02,        +3.405807094648e-12,        +8.085554996832e-02,        +3.218699348438e-12,        +7.311280102979e-02
 2.40045000e+00,        +4.213343430307e-11,        +4.403416555724e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.738641184733e-16,        +4.126511910295e-06,        +2.522105327582e-14,        +5.727610131055e-04,        +2.953658581201e-11,        +7.010248820344e-01,        +3.146327159628e-11,        +7.145195372302e-01,        +3.416585429256e-12,        +8.108964972284e-02,        +3.227163988986e-12,        +7.328772892929e-02,        +2.827094422544e-12,        +6.709859923139e-02,        +2.701703312347e-12,        +6.135470669554e-02,        +2.839178984009e-12,        +6.738541566743e-02,        +2.711357701298e-12,        +6.157395438261e-02,        +3.407820963886e-12,        +8.088163284705e-02,        +3.220584635076e-12,        +7.313831417764e-02
 2.40047500e+00,        +4.214476683804e-11,        +4.404460260633e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.738943546221e-16,        +4.126119745553e-06,        +2.524558825027e-14,        +5.731823369123e-04,        +2.953943048963e-11,        +7.009038774174e-01,        +3.146511680922e-11,        +7.143921149762e-01,        +3.418603850892e-12,        +8.111573766749e-02,        +3.229055429002e-12,        +7.331330601079e-02,        +2.829263332637e-12,        +6.713202005626e-02,        +2.703740971112e-12,        +6.138643127917e-02,        +2.841354314569e-12,        +6.741891171182e-02,        +2.713403787285e-12,        +6.160581834594e-02,        +3.409838227852e-12,        +8.090774925760e-02,        +3.222473074312e-12,        +7.316385853481e-02
 2.40050000e+00,        +4.215611660148e-11,        +4.405505672238e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.739249451630e-16,        +4.125734512199e-06,        +2.527016426588e-14,        +5.736041704616e-04,        +2.954227886482e-11,        +7.007827391714e-01,        +3.146696549778e-11,        +7.142645552830e-01,        +3.420625680085e-12,        +8.114185925666e-02,        +3.230950032595e-12,        +7.333891437152e-02,        +2.831435511515e-12,        +6.716547300317e-02,        +2.705781691082e-12,        +6.141818652357e-02,        +2.843532923331e-12,        +6.745243994392e-02,        +2.715452941626e-12,        +6.163771298123e-02,        +3.411858892838e-12,        +8.093389922727e-02,        +3.224364672045e-12,        +7.318943412930e-02
 2.40052500e+00,        +4.216748362628e-11,        +4.406552793802e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.739558901121e-16,        +4.125356202277e-06,        +2.529478139833e-14,        +5.740265141929e-04,        +2.954513094453e-11,        +7.006614671718e-01,        +3.146881766840e-11,        +7.141368580143e-01,        +3.422650923144e-12,        +8.116801451748e-02,        +3.232847805683e-12,        +7.336455403938e-02,        +2.833610965649e-12,        +6.719895810627e-02,        +2.707825478307e-12,        +6.144997246182e-02,        +2.845714816771e-12,        +6.748600039765e-02,        +2.717505170381e-12,        +6.166963832144e-02,        +3.413882965151e-12,        +8.096008278338e-02,        +3.226259434190e-12,        +7.321504098914e-02
 2.40055000e+00,        +4.217886794537e-11,        +4.407601628598e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.739871894870e-16,        +4.124984807850e-06,        +2.531943972350e-14,        +5.744493685459e-04,        +2.954798673577e-11,        +7.005400612941e-01,        +3.147067332757e-11,        +7.140090230336e-01,        +3.424679586391e-12,        +8.119420347713e-02,        +3.234748754197e-12,        +7.339022504231e-02,        +2.835789701526e-12,        +6.723247539975e-02,        +2.709872338854e-12,        +6.148178912703e-02,        +2.847900001382e-12,        +6.751959310692e-02,        +2.719560479625e-12,        +6.170159439953e-02,        +3.415910451115e-12,        +8.098629995331e-02,        +3.228157366677e-12,        +7.324067914241e-02
