        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +2.825653664067e-01,        +4.110711600585e-03
 2.40002500e+00,        +1.414213562373e-01,        +2.825652181958e-01,        +4.108850318263e-03
 2.40005000e+00,        +1.414213562373e-01,        +2.825650696567e-01,        +4.106988660960e-03
 2.40007500e+00,        +1.414213562373e-01,        +2.825649207889e-01,        +4.105126628193e-03
 2.40010000e+00,        +1.414213562373e-01,        +2.825647715916e-01,        +4.103264219481e-03
 2.40012500e+00,        +1.414213562373e-01,        +2.825646220643e-01,        +4.101401434339e-03
 2.40015000e+00,        +1.414213562373e-01,        +2.825644722063e-01,        +4.099538272284e-03
 2.40017500e+00,        +1.414213562373e-01,        +2.825643220170e-01,        +4.097674732830e-03
 2.40020000e+00,        +1.414213562373e-01,        +2.825641714959e-01,        +4.095810815491e-03
 2.40022500e+00,        +1.414213562373e-01,        +2.825640206423e-01,        +4.093946519782e-03
 2.40025000e+00,        +1.414213562373e-01,        +2.825638694555e-01,        +4.092081845216e-03
 2.40027500e+00,        +1.414213562373e-01,        +2.825637179349e-01,        +4.090216791306e-03
 2.40030000e+00,        +1.414213562373e-01,        +2.825635660800e-01,        +4.088351357564e-03
 2.40032500e+00,        +1.414213562373e-01,        +2.825634138901e-01,        +4.086485543501e-03
 2.40035000e+00,        +1.414213562373e-01,        +2.825632613645e-01,        +4.084619348628e-03
 2.40037500e+00,        +1.414213562373e-01,        +2.825631085026e-01,        +4.082752772455e-03
 2.40040000e+00,        +1.414213562373e-01,        +2.825629553038e-01,        +4.080885814492e-03
 2.40042500e+00,        +1.414213562373e-01,        +2.825628017675e-01,        +4.079018474247e-03
 2.40045000e+00,        +1.414213562373e-01,        +2.825626478930e-01,        +4.077150751230e-03
 2.40047500e+00,        +1.414213562373e-01,        +2.825624936797e-01,        +4.075282644947e-03
 2.40050000e+00,        +1.414213562373e-01,        +2.825623391269e-01,        +4.073414154905e-03
 2.40052500e+00,        +1.414213562373e-01,        +2.825621842340e-01,        +4.071545280612e-03
 2.40055000e+00,        +1.414213562373e-01,        +2.825620290003e-01,        +4.069676021573e-03
 2.40057500e+00,        +1.414213562373e-01,        +2.825618734253e-01,        +4.067806377293e-03
 2.40060000e+00,        +1.414213562373e-01,        +2.825617175082e-01,        +4.065936347276e-03
 2.40062500e+00,        +1.414213562373e-01,        +2.825615612485e-01,        +4.064065931027e-03
 2.40065000e+00,        +1.414213562373e-01,        +2.825614046454e-01,        +4.062195128049e-03
 2.40067500e+00,        +1.414213562373e-01,        +2.825612476983e-01,        +4.060323937844e-03
 2.40070000e+00,        +1.414213562373e-01,        +2.825610904066e-01,        +4.058452359915e-03
 2.40072500e+00,        +1.414213562373e-01,        +2.825609327696e-01,        +4.056580393763e-03
 2.40075000e+00,        +1.414213562373e-01,        +2.825607747867e-01,        +4.054708038888e-03
 2.40077500e+00,        +1.414213562373e-01,        +2.825606164571e-01,        +4.052835294791e-03
 2.40080000e+00,        +1.414213562373e-01,        +2.825604577803e-01,        +4.050962160972e-03
 2.40082500e+00,        +1.414213562373e-01,        +2.825602987555e-01,        +4.049088636928e-03
 2.40085000e+00,        +1.414213562373e-01,        +2.825601393822e-01,        +4.047214722158e-03
 2.40087500e+00,        +1.414213562373e-01,        +2.825599796596e-01,        +4.045340416161e-03
 2.40090000e+00,        +1.414213562373e-01,        +2.825598195871e-01,        +4.043465718432e-03
 2.40092500e+00,        +1.414213562373e-01,        +2.825596591640e-01,        +4.041590628468e-03
 2.40095000e+00,        +1.414213562373e-01,        +2.825594983896e-01,        +4.039715145765e-03
 2.40097500e+00,        +1.414213562373e-01,        +2.825593372633e-01,        +4.037839269818e-03
 2.40100000e+00,        +1.414213562373e-01,        +2.825591757845e-01,        +4.035963000120e-03
 2.40102500e+00,        +1.414213562373e-01,        +2.825590139523e-01,        +4.034086336167e-03
 2.40105000e+00,        +1.414213562373e-01,        +2.825588517662e-01,        +4.032209277451e-03
 2.40107500e+00,        +1.414213562373e-01,        +2.825586892254e-01,        +4.030331823464e-03
