        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -1.336869221954e-02,        +1.668224292784e+00
 2.40002500e+00,        -1.338113764358e-02,        +1.667471116764e+00
 2.40005000e+00,        -1.339360243486e-02,        +1.666717790368e+00
 2.40007500e+00,        -1.340608663109e-02,        +1.665964313402e+00
 2.40010000e+00,        -1.341859027015e-02,        +1.665210685672e+00
 2.40012500e+00,        -1.343111338993e-02,        +1.664456906983e+00
 2.40015000e+00,        -1.344365602844e-02,        +1.663702977141e+00
 2.40017500e+00,        -1.345621822385e-02,        +1.662948895948e+00
 2.40020000e+00,        -1.346880001434e-02,        +1.662194663212e+00
 2.40022500e+00,        -1.348140143822e-02,        +1.661440278734e+00
 2.40025000e+00,        -1.349402253393e-02,        +1.660685742321e+00
 2.40027500e+00,        -1.350666333996e-02,        +1.659931053775e+00
 2.40030000e+00,        -1.351932389490e-02,        +1.659176212900e+00
 2.40032500e+00,        -1.353200423745e-02,        +1.658421219499e+00
 2.40035000e+00,        -1.354470440641e-02,        +1.657666073375e+00
 2.40037500e+00,        -1.355742444068e-02,        +1.656910774331e+00
 2.40040000e+00,        -1.357016437924e-02,        +1.656155322170e+00
 2.40042500e+00,        -1.358292426118e-02,        +1.655399716693e+00
 2.40045000e+00,        -1.359570412570e-02,        +1.654643957703e+00
 2.40047500e+00,        -1.360850401208e-02,        +1.653888045002e+00
 2.40050000e+00,        -1.362132395971e-02,        +1.653131978391e+00
 2.40052500e+00,        -1.363416400806e-02,        +1.652375757672e+00
 2.40055000e+00,        -1.364702419673e-02,        +1.651619382644e+00
 2.40057500e+00,        -1.365990456540e-02,        +1.650862853110e+00
 2.40060000e+00,        -1.367280515385e-02,        +1.650106168869e+00
 2.40062500e+00,        -1.368572600196e-02,        +1.649349329722e+00
 2.40065000e+00,        -1.369866714974e-02,        +1.648592335469e+00
 2.40067500e+00,        -1.371162863724e-02,        +1.647835185910e+00
 2.40070000e+00,        -1.372461050468e-02,        +1.647077880843e+00
 2.40072500e+00,        -1.373761279232e-02,        +1.646320420069e+00
 2.40075000e+00,        -1.375063554060e-02,        +1.645562803386e+00
 2.40077500e+00,        -1.376367878996e-02,        +1.644805030594e+00
 2.40080000e+00,        -1.377674258100e-02,        +1.644047101489e+00
 2.40082500e+00,        -1.378982695445e-02,        +1.643289015871e+00
 2.40085000e+00,        -1.380293195109e-02,        +1.642530773538e+00
 2.40087500e+00,        -1.381605761183e-02,        +1.641772374287e+00
 2.40090000e+00,        -1.382920397767e-02,        +1.641013817916e+00
 2.40092500e+00,        -1.384237108974e-02,        +1.640255104221e+00
 2.40095000e+00,        -1.385555898923e-02,        +1.639496233001e+00
 2.40097500e+00,        -1.386876771748e-02,        +1.638737204051e+00
 2.40100000e+00,        -1.388199731591e-02,        +1.637978017168e+00
 2.40102500e+00,        -1.389524782604e-02,        +1.637218672148e+00
 2.40105000e+00,        -1.390851928953e-02,        +1.636459168786e+00
 2.40107500e+00,        -1.392181174809e-02,        +1.635699506880e+00
 2.40110000e+00,        -1.393512524357e-02,        +1.634939686223e+00
 2.40112500e+00,        -1.394845981797e-02,        +1.634179706611e+00
 2.40115000e+00,        -1.396181551329e-02,        +1.633419567840e+00
 2.40117500e+00,        -1.397519237173e-02,        +1.632659269702e+00
 2.40120000e+00,        -1.398859043554e-02,        +1.631898811994e+00
 2.40122500e+00,        -1.400200974712e-02,        +1.631138194508e+00
 2.40125000e+00,        -1.401545034894e-02,        +1.630377417040e+00
 2.40127500e+00,        -1.402891228365e-02,        +1.629616479381e+00
 2.40130000e+00,        -1.404239559388e-02,        +1.628855381326e+00
 2.40132500e+00,        -1.405590032250e-02,        +1.628094122668e+00
 2.40135000e+00,        -1.406942651242e-02,        +1.627332703199e+00
 2.40137500e+00,        -1.408297420664e-02,        +1.626571122712e+00
 2.40140000e+00,        -1.409654344832e-02,        +1.625809380999e+00
 2.40142500e+00,        -1.411013428075e-02,        +1.625047477852e+00
 2.40145000e+00,        -1.412374674725e-02,        +1.624285413063e+00
 2.40147500e+00,        -1.413738089129e-02,        +1.623523186424e+00
 2.40150000e+00,        -1.415103675646e-02,        +1.622760797725e+00
 2.40152500e+00,        -1.416471438647e-02,        +1.621998246757e+00
 2.40155000e+00,        -1.417841382510e-02,        +1.621235533312e+00
 2.40157500e+00,        -1.419213511631e-02,        +1.620472657179e+00
 2.40160000e+00,        -1.420587830409e-02,        +1.619709618149e+00
 2.40162500e+00,        -1.421964343259e-02,        +1.618946416011e+00
 2.40165000e+00,        -1.423343054608e-02,        +1.618183050556e+00
 2.40167500e+00,        -1.424723968891e-02,        +1.617419521572e+00
 2.40170000e+00,        -1.426107090559e-02,        +1.616655828849e+00
 2.40172500e+00,        -1.427492424068e-02,        +1.615891972176e+00
 2.40175000e+00,        -1.428879973889e-02,        +1.615127951340e+00
 2.40177500e+00,        -1.430269744509e-02,        +1.614363766131e+00
 2.40180000e+00,        -1.431661740417e-02,        +1.613599416336e+00
 2.40182500e+00,        -1.433055966121e-02,        +1.612834901743e+00
 2.40185000e+00,        -1.434452426138e-02,        +1.612070222140e+00
 2.40187500e+00,        -1.435851124994e-02,        +1.611305377314e+00
 2.40190000e+00,        -1.437252067232e-02,        +1.610540367051e+00
 2.40192500e+00,        -1.438655257403e-02,        +1.609775191140e+00
 2.40195000e+00,        -1.440060700067e-02,        +1.609009849365e+00
 2.40197500e+00,        -1.441468399805e-02,        +1.608244341513e+00
 2.40200000e+00,        -1.442878361200e-02,        +1.607478667370e+00
 2.40202500e+00,        -1.444290588852e-02,        +1.606712826723e+00
 2.40205000e+00,        -1.445705087370e-02,        +1.605946819355e+00
 2.40207500e+00,        -1.447121861379e-02,        +1.605180645052e+00
 2.40210000e+00,        -1.448540915510e-02,        +1.604414303599e+00
 2.40212500e+00,        -1.449962254410e-02,        +1.603647794781e+00
 2.40215000e+00,        -1.451385882740e-02,        +1.602881118381e+00
 2.40217500e+00,        -1.452811805167e-02,        +1.602114274185e+00
 2.40220000e+00,        -1.454240026373e-02,        +1.601347261975e+00
 2.40222500e+00,        -1.455670551054e-02,        +1.600580081535e+00
 2.40225000e+00,        -1.457103383914e-02,        +1.599812732649e+00
 2.40227500e+00,        -1.458538529675e-02,        +1.599045215099e+00
 2.40230000e+00,        -1.459975993062e-02,        +1.598277528667e+00
 2.40232500e+00,        -1.461415778821e-02,        +1.597509673137e+00
 2.40235000e+00,        -1.462857891707e-02,        +1.596741648291e+00
 2.40237500e+00,        -1.464302336488e-02,        +1.595973453910e+00
 2.40240000e+00,        -1.465749117939e-02,        +1.595205089776e+00
 2.40242500e+00,        -1.467198240858e-02,        +1.594436555670e+00
 2.40245000e+00,        -1.468649710043e-02,        +1.593667851374e+00
 2.40247500e+00,        -1.470103530315e-02,        +1.592898976668e+00
 2.40250000e+00,        -1.471559706502e-02,        +1.592129931332e+00
 2.40252500e+00,        -1.473018243445e-02,        +1.591360715147e+00
 2.40255000e+00,        -1.474479145999e-02,        +1.590591327894e+00
 2.40257500e+00,        -1.475942419029e-02,        +1.589821769350e+00
 2.40260000e+00,        -1.477408067414e-02,        +1.589052039297e+00
 2.40262500e+00,        -1.478876096047e-02,        +1.588282137513e+00
 2.40265000e+00,        -1.480346509832e-02,        +1.587512063777e+00
 2.40267500e+00,        -1.481819313688e-02,        +1.586741817868e+00
 2.40270000e+00,        -1.483294512541e-02,        +1.585971399563e+00
 2.40272500e+00,        -1.484772111336e-02,        +1.585200808642e+00
 2.40275000e+00,        -1.486252115030e-02,        +1.584430044882e+00
 2.40277500e+00,        -1.487734528590e-02,        +1.583659108060e+00
 2.40280000e+00,        -1.489219356994e-02,        +1.582887997954e+00
 2.40282500e+00,        -1.490706605242e-02,        +1.582116714340e+00
 2.40285000e+00,        -1.492196278336e-02,        +1.581345256995e+00
 2.40287500e+00,        -1.493688381299e-02,        +1.580573625697e+00
 2.40290000e+00,        -1.495182919163e-02,        +1.579801820220e+00
 2.40292500e+00,        -1.496679896977e-02,        +1.579029840341e+00
 2.40295000e+00,        -1.498179319796e-02,        +1.578257685835e+00
 2.40297500e+00,        -1.499681192694e-02,        +1.577485356478e+00
 2.40300000e+00,        -1.501185520757e-02,        +1.576712852045e+00
 2.40302500e+00,        -1.502692309088e-02,        +1.575940172310e+00
 2.40305000e+00,        -1.504201562792e-02,        +1.575167317048e+00
 2.40307500e+00,        -1.505713286998e-02,        +1.574394286034e+00
 2.40310000e+00,        -1.507227486846e-02,        +1.573621079041e+00
 2.40312500e+00,        -1.508744167486e-02,        +1.572847695843e+00
 2.40315000e+00,        -1.510263334084e-02,        +1.572074136213e+00
 2.40317500e+00,        -1.511784991822e-02,        +1.571300399924e+00
 2.40320000e+00,        -1.513309145891e-02,        +1.570526486750e+00
 2.40322500e+00,        -1.514835801493e-02,        +1.569752396463e+00
 2.40325000e+00,        -1.516364963856e-02,        +1.568978128835e+00
