        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.40000000e+00,        +4.793565172832e-10,        +1.102192252074e-09,        +4.774632757713e-10,        +5.992357907855e-10,        +1.828216571497e-07,        +2.297518602627e-07,        +3.785013006067e-10,        +1.481969383720e-09,        +3.318527814674e-10,        +7.619931564364e-10,        +1.650715684674e-07,        +2.537802828723e-07,        +6.793568942643e-11,        +1.929941687661e-09,        -1.868190586895e-10,        +1.181556583917e-09,        +8.132674786436e-08,        +3.282857250028e-07,        -6.992574949002e-10,        +2.121514448325e-09,        -7.519516098433e-11,        +2.188183405047e-10,        +1.600030297803e-08,        +1.645887142369e-07
 2.40002500e+00,        +4.800516379287e-10,        +1.102718774358e-09,        +4.779544554316e-10,        +5.994578749410e-10,        +1.829467976640e-07,        +2.298438011894e-07,        +3.791900974604e-10,        +1.482697955742e-09,        +3.322957423019e-10,        +7.622382252486e-10,        +1.651906535762e-07,        +2.538874005117e-07,        +6.854148100966e-11,        +1.931025705598e-09,        -1.865205643986e-10,        +1.181985959296e-09,        +8.141137154112e-08,        +3.284420878658e-07,        -6.994597381068e-10,        +2.121866619898e-09,        -7.517121971264e-11,        +2.189210633690e-10,        +1.602123228006e-08,        +1.646342414699e-07
 2.40005000e+00,        +4.807465365128e-10,        +1.103245167223e-09,        +4.784454355910e-10,        +5.996797264634e-10,        +1.830720922264e-07,        +2.299358066239e-07,        +3.798787516343e-10,        +1.483426609417e-09,        +3.327385440921e-10,        +7.624830721973e-10,        +1.653098870617e-07,        +2.539945949876e-07,        +6.914722644803e-11,        +1.932110027645e-09,        -1.862221060391e-10,        +1.182415125282e-09,        +8.149611779224e-08,        +3.285985800352e-07,        -6.996624279813e-10,        +2.122218548886e-09,        -7.514734721048e-11,        +2.190234440030e-10,        +1.604219417427e-08,        +1.646798082164e-07
 2.40007500e+00,        +4.814412134237e-10,        +1.103771431409e-09,        +4.789362164069e-10,        +5.999013456593e-10,        +1.831975411003e-07,        +2.300278766055e-07,        +3.805672636829e-10,        +1.484155345762e-09,        +3.331811869485e-10,        +7.627276975476e-10,        +1.654292691849e-07,        +2.541018663674e-07,        +6.975292637463e-11,        +1.933194655260e-09,        -1.859236836441e-10,        +1.182844082156e-09,        +8.158098685866e-08,        +3.287552016790e-07,        -6.998655652895e-10,        +2.122570235779e-09,        -7.512354381313e-11,        +2.191254824636e-10,        +1.606318872547e-08,        +1.647254145265e-07
 2.40010000e+00,        +4.821356690539e-10,        +1.104297567661e-09,        +4.794267980358e-10,        +6.001227328350e-10,        +1.833231445495e-07,        +2.301200111737e-07,        +3.812556341627e-10,        +1.484884165794e-09,        +3.336236709821e-10,        +7.629721015636e-10,        +1.655488002073e-07,        +2.542092147188e-07,        +7.035858142065e-11,        +1.934279589889e-09,        -1.856252972451e-10,        +1.183272830205e-09,        +8.166597898191e-08,        +3.289119529659e-07,        -7.000691507981e-10,        +2.122921681072e-09,        -7.509980985595e-11,        +2.192271788071e-10,        +1.608421599864e-08,        +1.647710604506e-07
 2.40012500e+00,        +4.828299037948e-10,        +1.104823576718e-09,        +4.799171806354e-10,        +6.003438882958e-10,        +1.834489028384e-07,        +2.302122103677e-07,        +3.819438636306e-10,        +1.485613070533e-09,        +3.340659963030e-10,        +7.632162845074e-10,        +1.656684803909e-07,        +2.543166401093e-07,        +7.096419222354e-11,        +1.935364832990e-09,        -1.853269468767e-10,        +1.183701369710e-09,        +8.175109440412e-08,        +3.290688340644e-07,        -7.002731852748e-10,        +2.123272885255e-09,        -7.507614567480e-11,        +2.193285330892e-10,        +1.610527605891e-08,        +1.648167460390e-07
 2.40015000e+00,        +4.835239180371e-10,        +1.105349459324e-09,        +4.804073643611e-10,        +6.005648123468e-10,        +1.835748162322e-07,        +2.303044742267e-07,        +3.826319526444e-10,        +1.486342060997e-09,        +3.345081630225e-10,        +7.634602466425e-10,        +1.657883099984e-07,        +2.544241426066e-07,        +7.156975942056e-11,        +1.936450386014e-09,        -1.850286325710e-10,        +1.184129700955e-09,        +8.183633336800e-08,        +3.292258451436e-07,        -7.004776694886e-10,        +2.123623848826e-09,        -7.505255160565e-11,        +2.194295453651e-10,        +1.612636897159e-08,        +1.648624713420e-07
 2.40017500e+00,        +4.842177121741e-10,        +1.105875216219e-09,        +4.808973493693e-10,        +6.007855052928e-10,        +1.837008849962e-07,        +2.303968027901e-07,        +3.833199017627e-10,        +1.487071138206e-09,        +3.349501712501e-10,        +7.637039882297e-10,        +1.659082892928e-07,        +2.545317222782e-07,        +7.217528364694e-11,        +1.937536250423e-09,        -1.847303543591e-10,        +1.184557824218e-09,        +8.192169611688e-08,        +3.293829863726e-07,        -7.006826042096e-10,        +2.123974572275e-09,        -7.502902798482e-11,        +2.195302156896e-10,        +1.614749480214e-08,        +1.649082364102e-07
 2.40020000e+00,        +4.849112865969e-10,        +1.106400848145e-09,        +4.813871358169e-10,        +6.010059674375e-10,        +1.838271093968e-07,        +2.304891960969e-07,        +3.840077115445e-10,        +1.487800303177e-09,        +3.353920210959e-10,        +7.639475095314e-10,        +1.660284185381e-07,        +2.546393791919e-07,        +7.278076554417e-11,        +1.938622427666e-09,        -1.844321122747e-10,        +1.184985739788e-09,        +8.200718289466e-08,        +3.295402579205e-07,        -7.008879902091e-10,        +2.124325056098e-09,        -7.500557514889e-11,        +2.196305441169e-10,        +1.616865361618e-08,        +1.649540412942e-07
 2.40022500e+00,        +4.856046416983e-10,        +1.106926355845e-09,        +4.818767238588e-10,        +6.012261990846e-10,        +1.839534897005e-07,        +2.305816541863e-07,        +3.846953825515e-10,        +1.488529556930e-09,        +3.358337126697e-10,        +7.641908108088e-10,        +1.661486979986e-07,        +2.547471134150e-07,        +7.338620575190e-11,        +1.939708919202e-09,        -1.841339063497e-10,        +1.185413447943e-09,        +8.209279394586e-08,        +3.296976599570e-07,        -7.010938282589e-10,        +2.124675300789e-09,        -7.498219343482e-11,        +2.197305307006e-10,        +1.618984547951e-08,        +1.649998860445e-07
