        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -9.103456884661e-03,        +1.625728190557e+00
 2.40002500e+00,        -9.112583492861e-03,        +1.624921096615e+00
 2.40005000e+00,        -9.121726224300e-03,        +1.624113754515e+00
 2.40007500e+00,        -9.130885115745e-03,        +1.623306163836e+00
 2.40010000e+00,        -9.140060204179e-03,        +1.622498324154e+00
 2.40012500e+00,        -9.149251526619e-03,        +1.621690235042e+00
 2.40015000e+00,        -9.158459120193e-03,        +1.620881896077e+00
 2.40017500e+00,        -9.167683022223e-03,        +1.620073306831e+00
 2.40020000e+00,        -9.176923269995e-03,        +1.619264466876e+00
 2.40022500e+00,        -9.186179901054e-03,        +1.618455375785e+00
 2.40025000e+00,        -9.195452952961e-03,        +1.617646033128e+00
 2.40027500e+00,        -9.204742463409e-03,        +1.616836438474e+00
 2.40030000e+00,        -9.214048470249e-03,        +1.616026591394e+00
 2.40032500e+00,        -9.223371011436e-03,        +1.615216491454e+00
 2.40035000e+00,        -9.232710124933e-03,        +1.614406138223e+00
 2.40037500e+00,        -9.242065848961e-03,        +1.613595531265e+00
 2.40040000e+00,        -9.251438221776e-03,        +1.612784670148e+00
 2.40042500e+00,        -9.260827281754e-03,        +1.611973554434e+00
 2.40045000e+00,        -9.270233067429e-03,        +1.611162183687e+00
 2.40047500e+00,        -9.279655617406e-03,        +1.610350557471e+00
 2.40050000e+00,        -9.289094970416e-03,        +1.609538675347e+00
 2.40052500e+00,        -9.298551165313e-03,        +1.608726536874e+00
 2.40055000e+00,        -9.308024241048e-03,        +1.607914141615e+00
 2.40057500e+00,        -9.317514236742e-03,        +1.607101489126e+00
 2.40060000e+00,        -9.327021191562e-03,        +1.606288578966e+00
 2.40062500e+00,        -9.336545144855e-03,        +1.605475410693e+00
 2.40065000e+00,        -9.346086136042e-03,        +1.604661983862e+00
 2.40067500e+00,        -9.355644204693e-03,        +1.603848298029e+00
 2.40070000e+00,        -9.365219390482e-03,        +1.603034352747e+00
 2.40072500e+00,        -9.374811733219e-03,        +1.602220147570e+00
 2.40075000e+00,        -9.384421272789e-03,        +1.601405682051e+00
 2.40077500e+00,        -9.394048049250e-03,        +1.600590955740e+00
 2.40080000e+00,        -9.403692102764e-03,        +1.599775968189e+00
 2.40082500e+00,        -9.413353473593e-03,        +1.598960718946e+00
 2.40085000e+00,        -9.423032202158e-03,        +1.598145207561e+00
 2.40087500e+00,        -9.432728328962e-03,        +1.597329433580e+00
