        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.413188521127e+01,        +2.003996029551e-01
 2.40002500e+00,        +7.071067811865e+00,        +1.413188061441e+01,        +2.002999306442e-01
 2.40005000e+00,        +7.071067811865e+00,        +1.413187600391e+01,        +2.002002275499e-01
 2.40007500e+00,        +7.071067811865e+00,        +1.413187137974e+01,        +2.001004936196e-01
 2.40010000e+00,        +7.071067811865e+00,        +1.413186674188e+01,        +2.000007288010e-01
 2.40012500e+00,        +7.071067811865e+00,        +1.413186209028e+01,        +1.999009330414e-01
 2.40015000e+00,        +7.071067811865e+00,        +1.413185742493e+01,        +1.998011062882e-01
 2.40017500e+00,        +7.071067811865e+00,        +1.413185274578e+01,        +1.997012484886e-01
 2.40020000e+00,        +7.071067811865e+00,        +1.413184805282e+01,        +1.996013595898e-01
 2.40022500e+00,        +7.071067811865e+00,        +1.413184334602e+01,        +1.995014395386e-01
 2.40025000e+00,        +7.071067811865e+00,        +1.413183862533e+01,        +1.994014882820e-01
 2.40027500e+00,        +7.071067811865e+00,        +1.413183389073e+01,        +1.993015057668e-01
 2.40030000e+00,        +7.071067811865e+00,        +1.413182914219e+01,        +1.992014919396e-01
 2.40032500e+00,        +7.071067811865e+00,        +1.413182437969e+01,        +1.991014467470e-01
 2.40035000e+00,        +7.071067811865e+00,        +1.413181960318e+01,        +1.990013701354e-01
 2.40037500e+00,        +7.071067811865e+00,        +1.413181481263e+01,        +1.989012620511e-01
 2.40040000e+00,        +7.071067811865e+00,        +1.413181000803e+01,        +1.988011224404e-01
 2.40042500e+00,        +7.071067811865e+00,        +1.413180518933e+01,        +1.987009512494e-01
 2.40045000e+00,        +7.071067811865e+00,        +1.413180035651e+01,        +1.986007484240e-01
 2.40047500e+00,        +7.071067811865e+00,        +1.413179550953e+01,        +1.985005139101e-01
 2.40050000e+00,        +7.071067811865e+00,        +1.413179064836e+01,        +1.984002476535e-01
 2.40052500e+00,        +7.071067811865e+00,        +1.413178577297e+01,        +1.982999495998e-01
 2.40055000e+00,        +7.071067811865e+00,        +1.413178088334e+01,        +1.981996196946e-01
 2.40057500e+00,        +7.071067811865e+00,        +1.413177597942e+01,        +1.980992578833e-01
