        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.40000000e+00,        +5.986231624444e-10,        +6.742227022663e-10,        +6.037721462886e-10,        +4.011454191774e-10,        +1.156703414332e-07,        +3.368134610040e-07,        +4.783535340159e-10,        +9.021537689875e-10,        +5.538498208104e-10,        +4.767641074366e-10,        +1.042701563932e-07,        +3.458070731501e-07,        +2.583017824017e-10,        +1.192472788399e-09,        +3.728259255638e-10,        +7.037924696357e-10,        +5.279860374645e-08,        +3.698493462613e-07,        -3.477115671610e-10,        +1.667214415378e-09,        +4.321213627080e-11,        +1.113691268260e-10,        +9.316872782891e-09,        +1.745654490195e-07
 2.40002500e+00,        +5.993918279846e-10,        +6.745927088892e-10,        +6.043502263249e-10,        +4.012939036078e-10,        +1.157683369549e-07,        +3.369996634141e-07,        +4.790644591724e-10,        +9.026633906841e-10,        +5.544048239793e-10,        +4.769306944942e-10,        +1.043627186511e-07,        +3.459990227182e-07,        +2.589165753152e-10,        +1.193202736172e-09,        +3.733150981394e-10,        +7.040751592742e-10,        +5.286278690775e-08,        +3.700582122259e-07,        -3.477889387448e-10,        +1.667151083175e-09,        +4.330539371212e-11,        +1.113612699425e-10,        +9.332182011224e-09,        +1.746243267853e-07
 2.40005000e+00,        +6.001599449768e-10,        +6.749623401292e-10,        +6.049279511352e-10,        +4.014420178850e-10,        +1.158664800643e-07,        +3.371860694615e-07,        +4.797748185214e-10,        +9.031728196453e-10,        +5.549595022934e-10,        +4.770968996168e-10,        +1.044554181611e-07,        +3.461911795869e-07,        +2.595308179324e-10,        +1.193932697889e-09,        +3.738040330287e-10,        +7.043574346801e-10,        +5.292707105531e-08,        +3.702673042567e-07,        -3.478668160601e-10,        +1.667087021935e-09,        +4.339856549271e-11,        +1.113529270068e-10,        +9.347518303575e-09,        +1.746832686417e-07
 2.40007500e+00,        +6.009275137772e-10,        +6.753315972760e-10,        +6.055053209943e-10,        +4.015897626807e-10,        +1.159647710713e-07,        +3.373726794672e-07,        +4.804846124012e-10,        +9.036820574573e-10,        +5.555138559829e-10,        +4.772627234581e-10,        +1.045482552205e-07,        +3.463835440943e-07,        +2.601445105073e-10,        +1.194662675524e-09,        +3.742927303051e-10,        +7.046392965570e-10,        +5.299145643180e-08,        +3.704766227445e-07,        -3.479452000850e-10,        +1.667022231490e-09,        +4.349165126846e-11,        +1.113440980187e-10,        +9.362881722731e-09,        +1.747422746970e-07
 2.40010000e+00,        +6.016945347462e-10,        +6.757004816184e-10,        +6.060823361776e-10,        +4.017371386645e-10,        +1.160632102869e-07,        +3.375594937527e-07,        +4.811938411485e-10,        +9.041911057105e-10,        +5.560678852767e-10,        +4.774281666723e-10,        +1.046412301275e-07,        +3.465761165791e-07,        +2.607576532965e-10,        +1.195392671051e-09,        +3.747811900414e-10,        +7.049207456134e-10,        +5.305594328059e-08,        +3.706861680812e-07,        -3.480240917990e-10,        +1.666956711672e-09,        +4.358465069507e-11,        +1.113347829767e-10,        +9.378272331664e-09,        +1.748013450599e-07
 2.40012500e+00,        +6.024610082382e-10,        +6.760689944449e-10,        +6.066589969591e-10,        +4.018841465050e-10,        +1.161617980227e-07,        +3.377465126405e-07,        +4.819025051018e-10,        +9.046999659901e-10,        +5.566215904035e-10,        +4.775932299093e-10,        +1.047343431810e-07,        +3.467688973805e-07,        +2.613702465547e-10,        +1.196122686441e-09,        +3.752694123120e-10,        +7.052017825512e-10,        +5.312053184574e-08,        +3.708959406594e-07,        -3.481034921842e-10,        +1.666890462306e-09,        +4.367756342797e-11,        +1.113249818776e-10,        +9.393690193534e-09,        +1.748604798391e-07
 2.40015000e+00,        +6.032269346120e-10,        +6.764371370421e-10,        +6.072353036131e-10,        +4.020307868696e-10,        +1.162605345913e-07,        +3.379337364535e-07,        +4.826106045983e-10,        +9.052086398825e-10,        +5.571749715923e-10,        +4.777579138188e-10,        +1.048275946807e-07,        +3.469618868386e-07,        +2.619822905376e-10,        +1.196852723672e-09,        +3.757573971904e-10,        +7.054824080737e-10,        +5.318522237202e-08,        +3.711059408724e-07,        -3.481834022243e-10,        +1.666823483221e-09,        +4.377038912239e-11,        +1.113146947173e-10,        +9.409135371690e-09,        +1.749196791438e-07
 2.40017500e+00,        +6.039923142239e-10,        +6.768049106943e-10,        +6.078112564137e-10,        +4.021770604233e-10,        +1.163594203060e-07,        +3.381211655154e-07,        +4.833181399757e-10,        +9.057171289750e-10,        +5.577280290714e-10,        +4.779222190505e-10,        +1.049209849271e-07,        +3.471550852942e-07,        +2.625937854973e-10,        +1.197582784718e-09,        +3.762451447512e-10,        +7.057626228813e-10,        +5.325001510491e-08,        +3.713161691144e-07,        -3.482638229052e-10,        +1.666755774238e-09,        +4.386312743331e-11,        +1.113039214899e-10,        +9.424607929669e-09,        +1.749789430832e-07
 2.40020000e+00,        +6.047571474298e-10,        +6.771723166859e-10,        +6.083868556349e-10,        +4.023229678313e-10,        +1.164584554812e-07,        +3.383088001505e-07,        +4.840251115702e-10,        +9.062254348530e-10,        +5.582807630689e-10,        +4.780861462505e-10,        +1.050145142218e-07,        +3.473484930886e-07,        +2.632047316923e-10,        +1.198312871554e-09,        +3.767326550680e-10,        +7.060424276752e-10,        +5.331491029058e-08,        +3.715266257805e-07,        -3.483447552148e-10,        +1.666687335182e-09,        +4.395577801550e-11,        +1.112926621883e-10,        +9.440107931199e-09,        +1.750382717668e-07
 2.40022500e+00,        +6.055214345857e-10,        +6.775393563003e-10,        +6.089621015495e-10,        +4.024685097561e-10,        +1.165576404318e-07,        +3.384966406837e-07,        +4.847315197185e-10,        +9.067335591003e-10,        +5.588331738130e-10,        +4.782496960642e-10,        +1.051081828667e-07,        +3.475421105641e-07,        +2.638151293787e-10,        +1.199042986155e-09,        +3.772199282132e-10,        +7.063218231534e-10,        +5.337990817593e-08,        +3.717373112664e-07,        -3.484262001430e-10,        +1.666618165871e-09,        +4.404834052343e-11,        +1.112809168041e-10,        +9.455635440198e-09,        +1.750976653044e-07
 2.40025000e+00,        +6.062851760476e-10,        +6.779060308194e-10,        +6.095369944309e-10,        +4.026136868599e-10,        +1.166569754738e-07,        +3.386846874409e-07,        +4.854373647570e-10,        +9.072415033053e-10,        +5.593852615315e-10,        +4.784128691371e-10,        +1.052019911651e-07,        +3.477359380633e-07,        +2.644249788066e-10,        +1.199773130499e-09,        +3.777069642635e-10,        +7.066008100142e-10,        +5.344500900855e-08,        +3.719482259689e-07,        -3.485081586819e-10,        +1.666548266123e-09,        +4.414081461138e-11,        +1.112686853274e-10,        +9.471190520775e-09,        +1.751571238060e-07
 2.40027500e+00,        +6.070483721698e-10,        +6.782723415225e-10,        +6.101115345515e-10,        +4.027584998030e-10,        +1.167564609241e-07,        +3.388729407482e-07,        +4.861426470227e-10,        +9.077492690493e-10,        +5.599370264518e-10,        +4.785756661116e-10,        +1.052959394208e-07,        +3.479299759299e-07,        +2.650342802359e-10,        +1.200503306564e-09,        +3.781937632904e-10,        +7.068793889519e-10,        +5.351021303676e-08,        +3.721593702853e-07,        -3.485906318255e-10,        +1.666477635753e-09,        +4.423319993336e-11,        +1.112559677469e-10,        +9.486773237229e-09,        +1.752166473817e-07
 2.40030000e+00,        +6.078110233082e-10,        +6.786382896898e-10,        +6.106857221848e-10,        +4.029029492440e-10,        +1.168560971003e-07,        +3.390614009326e-07,        +4.868473668510e-10,        +9.082568579171e-10,        +5.604884688016e-10,        +4.787380876300e-10,        +1.053900279384e-07,        +3.481242245080e-07,        +2.656430339177e-10,        +1.201233516327e-09,        +3.786803253705e-10,        +7.071575606624e-10,        +5.357552050958e-08,        +3.723707446141e-07,        -3.486736205698e-10,        +1.666406274576e-09,        +4.432549614311e-11,        +1.112427640501e-10,        +9.502383654055e-09,        +1.752762361421e-07
 2.40032500e+00,        +6.085731298164e-10,        +6.790038765989e-10,        +6.112595576017e-10,        +4.030470358413e-10,        +1.169558843209e-07,        +3.392500683219e-07,        +4.875515245763e-10,        +9.087642714923e-10,        +5.610395888074e-10,        +4.789001343315e-10,        +1.054842570234e-07,        +3.483186841425e-07,        +2.662512401112e-10,        +1.201963761764e-09,        +3.791666505755e-10,        +7.074353258406e-10,        +5.364093167678e-08,        +3.725823493542e-07,        -3.487571259131e-10,        +1.666334182405e-09,        +4.441770289415e-11,        +1.112290742229e-10,        +9.518021835938e-09,        +1.753358901979e-07
 2.40035000e+00,        +6.093346920482e-10,        +6.793691035272e-10,        +6.118330410750e-10,        +4.031907602507e-10,        +1.170558229054e-07,        +3.394389432444e-07,        +4.882551205360e-10,        +9.092715113592e-10,        +5.615903866965e-10,        +4.790618068569e-10,        +1.055786269823e-07,        +3.485133551791e-07,        +2.668588990689e-10,        +1.202694044860e-09,        +3.796527389803e-10,        +7.077126851768e-10,        +5.370644678881e-08,        +3.727941849056e-07,        -3.488411488557e-10,        +1.666261359046e-09,        +4.450981983970e-11,        +1.112148982500e-10,        +9.533687847757e-09,        +1.753956096599e-07
 2.40037500e+00,        +6.100957103582e-10,        +6.797339717498e-10,        +6.124061728758e-10,        +4.033341231276e-10,        +1.171559131740e-07,        +3.396280260291e-07,        +4.889581550643e-10,        +9.097785790999e-10,        +5.621408626953e-10,        +4.792231058424e-10,        +1.056731381223e-07,        +3.487082379640e-07,        +2.674660110459e-10,        +1.203424367591e-09,        +3.801385906600e-10,        +7.079896393618e-10,        +5.377206609688e-08,        +3.730062516692e-07,        -3.489256904000e-10,        +1.666187804310e-09,        +4.460184663274e-11,        +1.112002361145e-10,        +9.549381754587e-09,        +1.754553946393e-07
 2.40040000e+00,        +6.108561850989e-10,        +6.800984825424e-10,        +6.129789532754e-10,        +4.034771251257e-10,        +1.172561554478e-07,        +3.398173170056e-07,        +4.896606284959e-10,        +9.102854762987e-10,        +5.626910170304e-10,        +4.793840319253e-10,        +1.057677907514e-07,        +3.489033328443e-07,        +2.680725762986e-10,        +1.204154731936e-09,        +3.806242056872e-10,        +7.082661890893e-10,        +5.383778985290e-08,        +3.732185500465e-07,        -3.490107515502e-10,        +1.666113518001e-09,        +4.469378292596e-11,        +1.111850877984e-10,        +9.565103621695e-09,        +1.755152452476e-07
 2.40042500e+00,        +6.116161166246e-10,        +6.804626371775e-10,        +6.135513825452e-10,        +4.036197668974e-10,        +1.173565500488e-07,        +3.400068165044e-07,        +4.903625411653e-10,        +9.107922045351e-10,        +5.632408499278e-10,        +4.795445857401e-10,        +1.058625851785e-07,        +3.490986401678e-07,        +2.686785950823e-10,        +1.204885139876e-09,        +3.811095841370e-10,        +7.085423350439e-10,        +5.390361830953e-08,        +3.734310804399e-07,        -3.490963333134e-10,        +1.666038499921e-09,        +4.478562837183e-11,        +1.111694532820e-10,        +9.580853514547e-09,        +1.755751615963e-07
 2.40045000e+00,        +6.123755052862e-10,        +6.808264369277e-10,        +6.141234609556e-10,        +4.037620490936e-10,        +1.174570973000e-07,        +3.401965248565e-07,        +4.910638934066e-10,        +9.112987653938e-10,        +5.637903616133e-10,        +4.797047679215e-10,        +1.059575217134e-07,        +3.492941602827e-07,        +2.692840676480e-10,        +1.205615593396e-09,        +3.815947260846e-10,        +7.088180779153e-10,        +5.396955172014e-08,        +3.736438432527e-07,        -3.491824366979e-10,        +1.665962749874e-09,        +4.487738262245e-11,        +1.111533325444e-10,        +9.596631498803e-09,        +1.756351437974e-07
 2.40047500e+00,        +6.131343514380e-10,        +6.811898830640e-10,        +6.146951887766e-10,        +4.039039723646e-10,        +1.175577975252e-07,        +3.403864423937e-07,        +4.917646855552e-10,        +9.118051604550e-10,        +5.643395523131e-10,        +4.798645791006e-10,        +1.060526006666e-07,        +3.494898935384e-07,        +2.698889942564e-10,        +1.206346094475e-09,        +3.820796316027e-10,        +7.090934183894e-10,        +5.403559033886e-08,        +3.738568388891e-07,        -3.492690627147e-10,        +1.665886267659e-09,        +4.496904532975e-11,        +1.111367255634e-10,        +9.612437640321e-09,        +1.756951919629e-07
 2.40050000e+00,        +6.138926554300e-10,        +6.815529768563e-10,        +6.152665662793e-10,        +4.040455373582e-10,        +1.176586510489e-07,        +3.405765694483e-07,        +4.924649179434e-10,        +9.123113912999e-10,        +5.648884222523e-10,        +4.800240199091e-10,        +1.061478223496e-07,        +3.496858402847e-07,        +2.704933751580e-10,        +1.207076645097e-09,        +3.825643007670e-10,        +7.093683571503e-10,        +5.410173442053e-08,        +3.740700677540e-07,        -3.493562123769e-10,        +1.665809053072e-09,        +4.506061614530e-11,        +1.111196323152e-10,        +9.628272005156e-09,        +1.757553062052e-07
 2.40052500e+00,        +6.146504176137e-10,        +6.819157195745e-10,        +6.158375937322e-10,        +4.041867447218e-10,        +1.177596581968e-07,        +3.407669063535e-07,        +4.931645909048e-10,        +9.128174595095e-10,        +5.654369716559e-10,        +4.801830909779e-10,        +1.062431870747e-07,        +3.498820008720e-07,        +2.710972106102e-10,        +1.207807247251e-09,        +3.830487336512e-10,        +7.096428948792e-10,        +5.416798422074e-08,        +3.742835302532e-07,        -3.494438866994e-10,        +1.665731105908e-09,        +4.515209472043e-11,        +1.111020527746e-10,        +9.644134659563e-09,        +1.758154866369e-07
