        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +4.486484558412e-11,        +4.672279396321e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.331399919721e-16,        +5.196496030170e-06,        +3.792889602700e-14,        +8.117857005056e-04,        +3.013266212669e-11,        +6.716319143501e-01,        +3.201640730460e-11,        +6.852417115681e-01,        +3.930934726861e-12,        +8.761725746923e-02,        +3.691677027646e-12,        +7.901233454816e-02,        +3.347442094208e-12,        +7.461169320045e-02,        +3.169536716043e-12,        +6.783705440514e-02,        +3.364090908766e-12,        +7.498278139525e-02,        +3.183491958535e-12,        +6.813573608294e-02,        +3.927329785953e-12,        +8.753690634216e-02,        +3.690454606758e-12,        +7.898617128213e-02
 2.40002500e+00,        +4.488123286005e-11,        +4.673821160068e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.333503344860e-16,        +5.199285305144e-06,        +3.797338331786e-14,        +8.124697547756e-04,        +3.013656781059e-11,        +6.714737071632e-01,        +3.201922342899e-11,        +6.850759225140e-01,        +3.933903264475e-12,        +8.765140825658e-02,        +3.694436126900e-12,        +7.904530362574e-02,        +3.350611933150e-12,        +7.465507784953e-02,        +3.172491181294e-12,        +6.787788990300e-02,        +3.367270671981e-12,        +7.502625167362e-02,        +3.186459195472e-12,        +6.817674631405e-02,        +3.930298111853e-12,        +8.757108175054e-02,        +3.693211137634e-12,        +7.901909403783e-02
 2.40005000e+00,        +4.489764965350e-11,        +4.675365845373e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.335611444762e-16,        +5.202079535983e-06,        +3.801795472583e-14,        +8.131546489234e-04,        +3.014047980606e-11,        +6.713153146917e-01,        +3.202204545399e-11,        +6.849099410195e-01,        +3.936877627552e-12,        +8.768560621623e-02,        +3.697200610425e-12,        +7.907831670721e-02,        +3.353787362440e-12,        +7.469850623190e-02,        +3.175450847313e-12,        +6.791876726516e-02,        +3.370456044052e-12,        +7.506976579093e-02,        +3.189431647677e-12,        +6.821779841751e-02,        +3.933272255755e-12,        +8.760530419990e-02,        +3.695973048064e-12,        +7.905206074347e-02
 2.40007500e+00,        +4.491409603292e-11,        +4.676913459023e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.337724223445e-16,        +5.204878712758e-06,        +3.806261044481e-14,        +8.138403837978e-04,        +3.014439812762e-11,        +6.711567367519e-01,        +3.202487339302e-11,        +6.847437668796e-01,        +3.939857829198e-12,        +8.771985138718e-02,        +3.699970490429e-12,        +7.911137383332e-02,        +3.356968395493e-12,        +7.474197839878e-02,        +3.178415726569e-12,        +6.795968654150e-02,        +3.373647038411e-12,        +7.511332379790e-02,        +3.192409327644e-12,        +6.825889244294e-02,        +3.936252230774e-12,        +8.763957372955e-02,        +3.698740350256e-12,        +7.908507144000e-02
 2.40010000e+00,        +4.493057206697e-11,        +4.678464007828e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.339841684964e-16,        +5.207682825574e-06,        +3.810735066928e-14,        +8.145269602486e-04,        +3.014832278984e-11,        +6.709979731596e-01,        +3.202770725953e-11,        +6.845773998890e-01,        +3.942843882561e-12,        +8.775414380846e-02,        +3.702745779159e-12,        +7.914447504488e-02,        +3.360155045767e-12,        +7.478549440143e-02,        +3.181385831568e-12,        +6.800064778195e-02,        +3.376843668533e-12,        +7.515692574534e-02,        +3.195392247904e-12,        +6.830002844005e-02,        +3.939238050060e-12,        +8.767389037888e-02,        +3.701513056458e-12,        +7.911812616843e-02
 2.40012500e+00,        +4.494707782450e-11,        +4.680017498615e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.341963833409e-16,        +5.210491864574e-06,        +3.815217559435e-14,        +8.152143791267e-04,        +3.015225380733e-11,        +6.708390237305e-01,        +3.203054706703e-11,        +6.844108398422e-01,        +3.945835800831e-12,        +8.778848351917e-02,        +3.705526488899e-12,        +7.917762038275e-02,        +3.363347326759e-12,        +7.482905429117e-02,        +3.184361174853e-12,        +6.804165103647e-02,        +3.380045947930e-12,        +7.520057168406e-02,        +3.198380421025e-12,        +6.834120645857e-02,        +3.942229726809e-12,        +8.770825418733e-02,        +3.704291178955e-12,        +7.915122496981e-02
 2.40015000e+00,        +4.496361337459e-11,        +4.681573938234e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.344090672912e-16,        +5.213305819938e-06,        +3.819708541572e-14,        +8.159026412842e-04,        +3.015619119475e-11,        +6.706798882802e-01,        +3.203339282906e-11,        +6.842440865336e-01,        +3.948833597237e-12,        +8.782287055845e-02,        +3.708312631973e-12,        +7.921080988784e-02,        +3.366545252006e-12,        +7.487265811933e-02,        +3.187341769007e-12,        +6.808269635510e-02,        +3.383253890158e-12,        +7.524426166492e-02,        +3.201373859616e-12,        +6.838242654828e-02,        +3.945227274256e-12,        +8.774266519438e-02,        +3.707074730072e-12,        +7.918436788528e-02
 2.40017500e+00,        +4.498017878653e-11,        +4.683133333556e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.346222207639e-16,        +5.216124681882e-06,        +3.824208032970e-14,        +8.165917475739e-04,        +3.016013496679e-11,        +6.705205666240e-01,        +3.203624455921e-11,        +6.840771397572e-01,        +3.951837285052e-12,        +8.785730496553e-02,        +3.711104220742e-12,        +7.924404360113e-02,        +3.369748835087e-12,        +7.491630593733e-02,        +3.190327626650e-12,        +6.812378378788e-02,        +3.386467508813e-12,        +7.528799573885e-02,        +3.204372576322e-12,        +6.842368875900e-02,        +3.948230705680e-12,        +8.777712343958e-02,        +3.709863722172e-12,        +7.921755495599e-02
 2.40020000e+00,        +4.499677412981e-11,        +4.684695691474e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.348358441795e-16,        +5.218948440658e-06,        +3.828716053323e-14,        +8.172816988500e-04,        +3.016408513821e-11,        +6.703610585769e-01,        +3.203910227109e-11,        +6.839099993068e-01,        +3.954846877590e-12,        +8.789178677965e-02,        +3.713901267608e-12,        +7.927732156363e-02,        +3.372958089624e-12,        +7.495999779658e-02,        +3.193318760441e-12,        +6.816491338494e-02,        +3.389686817532e-12,        +7.533177395679e-02,        +3.207376583826e-12,        +6.846499314061e-02,        +3.951240034398e-12,        +8.781162896252e-02,        +3.712658167657e-12,        +7.925078622319e-02
 2.40022500e+00,        +4.501339947415e-11,        +4.686261018900e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.350499379621e-16,        +5.221777086556e-06,        +3.833232622385e-14,        +8.179724959676e-04,        +3.016804172378e-11,        +6.702013639540e-01,        +3.204196597837e-11,        +6.837426649761e-01,        +3.957862388205e-12,        +8.792631604013e-02,        +3.716703785009e-12,        +7.931064381644e-02,        +3.376173029277e-12,        +7.500373374857e-02,        +3.196315183078e-12,        +6.820608519642e-02,        +3.392911829993e-12,        +7.537559636974e-02,        +3.210385894852e-12,        +6.850633974302e-02,        +3.954255273772e-12,        +8.784618180287e-02,        +3.715458078967e-12,        +7.928406172814e-02
