        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +2.826733581544e-01,        +3.985213951165e-03
 2.40002500e+00,        +1.414213562373e-01,        +2.826733052882e-01,        +3.983187264508e-03
 2.40005000e+00,        +1.414213562373e-01,        +2.826732522135e-01,        +3.981159891770e-03
 2.40007500e+00,        +1.414213562373e-01,        +2.826731989298e-01,        +3.979131831714e-03
 2.40010000e+00,        +1.414213562373e-01,        +2.826731454367e-01,        +3.977103083098e-03
 2.40012500e+00,        +1.414213562373e-01,        +2.826730917336e-01,        +3.975073644681e-03
 2.40015000e+00,        +1.414213562373e-01,        +2.826730378202e-01,        +3.973043515216e-03
 2.40017500e+00,        +1.414213562373e-01,        +2.826729836959e-01,        +3.971012693455e-03
 2.40020000e+00,        +1.414213562373e-01,        +2.826729293603e-01,        +3.968981178147e-03
 2.40022500e+00,        +1.414213562373e-01,        +2.826728748129e-01,        +3.966948968038e-03
 2.40025000e+00,        +1.414213562373e-01,        +2.826728200533e-01,        +3.964916061870e-03
 2.40027500e+00,        +1.414213562373e-01,        +2.826727650808e-01,        +3.962882458383e-03
 2.40030000e+00,        +1.414213562373e-01,        +2.826727098952e-01,        +3.960848156315e-03
 2.40032500e+00,        +1.414213562373e-01,        +2.826726544958e-01,        +3.958813154401e-03
 2.40035000e+00,        +1.414213562373e-01,        +2.826725988823e-01,        +3.956777451372e-03
 2.40037500e+00,        +1.414213562373e-01,        +2.826725430541e-01,        +3.954741045957e-03
 2.40040000e+00,        +1.414213562373e-01,        +2.826724870108e-01,        +3.952703936882e-03
 2.40042500e+00,        +1.414213562373e-01,        +2.826724307518e-01,        +3.950666122869e-03
 2.40045000e+00,        +1.414213562373e-01,        +2.826723742767e-01,        +3.948627602639e-03
 2.40047500e+00,        +1.414213562373e-01,        +2.826723175850e-01,        +3.946588374909e-03
 2.40050000e+00,        +1.414213562373e-01,        +2.826722606761e-01,        +3.944548438394e-03
 2.40052500e+00,        +1.414213562373e-01,        +2.826722035497e-01,        +3.942507791804e-03
 2.40055000e+00,        +1.414213562373e-01,        +2.826721462052e-01,        +3.940466433849e-03
 2.40057500e+00,        +1.414213562373e-01,        +2.826720886421e-01,        +3.938424363234e-03
 2.40060000e+00,        +1.414213562373e-01,        +2.826720308600e-01,        +3.936381578661e-03
 2.40062500e+00,        +1.414213562373e-01,        +2.826719728582e-01,        +3.934338078830e-03
 2.40065000e+00,        +1.414213562373e-01,        +2.826719146364e-01,        +3.932293862437e-03
 2.40067500e+00,        +1.414213562373e-01,        +2.826718561940e-01,        +3.930248928178e-03
 2.40070000e+00,        +1.414213562373e-01,        +2.826717975306e-01,        +3.928203274741e-03
 2.40072500e+00,        +1.414213562373e-01,        +2.826717386455e-01,        +3.926156900815e-03
 2.40075000e+00,        +1.414213562373e-01,        +2.826716795384e-01,        +3.924109805086e-03
 2.40077500e+00,        +1.414213562373e-01,        +2.826716202087e-01,        +3.922061986233e-03
 2.40080000e+00,        +1.414213562373e-01,        +2.826715606559e-01,        +3.920013442937e-03
 2.40082500e+00,        +1.414213562373e-01,        +2.826715008794e-01,        +3.917964173873e-03
 2.40085000e+00,        +1.414213562373e-01,        +2.826714408788e-01,        +3.915914177713e-03
 2.40087500e+00,        +1.414213562373e-01,        +2.826713806536e-01,        +3.913863453128e-03
 2.40090000e+00,        +1.414213562373e-01,        +2.826713202032e-01,        +3.911811998784e-03
 2.40092500e+00,        +1.414213562373e-01,        +2.826712595272e-01,        +3.909759813344e-03
 2.40095000e+00,        +1.414213562373e-01,        +2.826711986250e-01,        +3.907706895469e-03
 2.40097500e+00,        +1.414213562373e-01,        +2.826711374960e-01,        +3.905653243817e-03
 2.40100000e+00,        +1.414213562373e-01,        +2.826710761398e-01,        +3.903598857041e-03
 2.40102500e+00,        +1.414213562373e-01,        +2.826710145559e-01,        +3.901543733793e-03
 2.40105000e+00,        +1.414213562373e-01,        +2.826709527437e-01,        +3.899487872721e-03
 2.40107500e+00,        +1.414213562373e-01,        +2.826708907026e-01,        +3.897431272471e-03
 2.40110000e+00,        +1.414213562373e-01,        +2.826708284323e-01,        +3.895373931683e-03
 2.40112500e+00,        +1.414213562373e-01,        +2.826707659320e-01,        +3.893315848997e-03
 2.40115000e+00,        +1.414213562373e-01,        +2.826707032014e-01,        +3.891257023048e-03
 2.40117500e+00,        +1.414213562373e-01,        +2.826706402398e-01,        +3.889197452469e-03
 2.40120000e+00,        +1.414213562373e-01,        +2.826705770467e-01,        +3.887137135889e-03
 2.40122500e+00,        +1.414213562373e-01,        +2.826705136216e-01,        +3.885076071934e-03
 2.40125000e+00,        +1.414213562373e-01,        +2.826704499640e-01,        +3.883014259228e-03
 2.40127500e+00,        +1.414213562373e-01,        +2.826703860733e-01,        +3.880951696390e-03
 2.40130000e+00,        +1.414213562373e-01,        +2.826703219490e-01,        +3.878888382036e-03
 2.40132500e+00,        +1.414213562373e-01,        +2.826702575905e-01,        +3.876824314780e-03
 2.40135000e+00,        +1.414213562373e-01,        +2.826701929972e-01,        +3.874759493232e-03
 2.40137500e+00,        +1.414213562373e-01,        +2.826701281687e-01,        +3.872693916000e-03
 2.40140000e+00,        +1.414213562373e-01,        +2.826700631044e-01,        +3.870627581686e-03
 2.40142500e+00,        +1.414213562373e-01,        +2.826699978037e-01,        +3.868560488891e-03
 2.40145000e+00,        +1.414213562373e-01,        +2.826699322660e-01,        +3.866492636213e-03
 2.40147500e+00,        +1.414213562373e-01,        +2.826698664909e-01,        +3.864424022245e-03
 2.40150000e+00,        +1.414213562373e-01,        +2.826698004778e-01,        +3.862354645578e-03
 2.40152500e+00,        +1.414213562373e-01,        +2.826697342261e-01,        +3.860284504800e-03
 2.40155000e+00,        +1.414213562373e-01,        +2.826696677352e-01,        +3.858213598494e-03
 2.40157500e+00,        +1.414213562373e-01,        +2.826696010046e-01,        +3.856141925241e-03
 2.40160000e+00,        +1.414213562373e-01,        +2.826695340337e-01,        +3.854069483618e-03
 2.40162500e+00,        +1.414213562373e-01,        +2.826694668219e-01,        +3.851996272201e-03
 2.40165000e+00,        +1.414213562373e-01,        +2.826693993688e-01,        +3.849922289559e-03
 2.40167500e+00,        +1.414213562373e-01,        +2.826693316736e-01,        +3.847847534261e-03
 2.40170000e+00,        +1.414213562373e-01,        +2.826692637360e-01,        +3.845772004869e-03
