        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.40000000e+00,        +2.977961633830e+00,        +1.470263895446e+00,        +2.503351200448e+00,        -2.810077474169e+00,        +5.761514582001e-02,        +3.141766036974e-02,        +1.435362593766e+00,        +1.438160921968e+00,        +9.883108732504e+00,        -3.975201231993e+00,        -2.708244617664e-02,        +6.337651062897e-02,        +2.193572646145e+00,        +1.973709349273e+00,        +2.176493255144e+01,        -5.611219964758e+00,        -4.285661530862e-02,        +1.091148749372e-01,        -2.102246576830e+00,        -4.340609959046e-02,        +5.636643995305e+01,        -5.796023526006e+00,        +6.466337766879e-03,        +2.917482470381e-02
 2.40002500e+00,        +2.979946084972e+00,        +1.471043588840e+00,        +2.503609698080e+00,        -2.812447025438e+00,        +5.767112097144e-02,        +3.142145598670e-02,        +1.435978789768e+00,        +1.438840976176e+00,        +9.888362966413e+00,        -3.978685449947e+00,        -2.708412924334e-02,        +6.340563422712e-02,        +2.194120527095e+00,        +1.974364884172e+00,        +2.177767580160e+01,        -5.616373240023e+00,        -4.286024726703e-02,        +1.091694896305e-01,        -2.105654112752e+00,        -4.346862157382e-02,        +5.640519274716e+01,        -5.803993053995e+00,        +6.402990565468e-03,        +2.921985005898e-02
 2.40005000e+00,        +2.981928653686e+00,        +1.471821761365e+00,        +2.503874612653e+00,        -2.814816003882e+00,        +5.772703802534e-02,        +3.142523022507e-02,        +1.436594511385e+00,        +1.439520050283e+00,        +9.893626700241e+00,        -3.982171509014e+00,        -2.708580061773e-02,        +6.343473437372e-02,        +2.194667891663e+00,        +1.975019398595e+00,        +2.179043652447e+01,        -5.621531042985e+00,        -4.286385184529e-02,        +1.092240602476e-01,        -2.109061851486e+00,        -4.353122349048e-02,        +5.644399426917e+01,        -5.811975627162e+00,        +6.339588003518e-03,        +2.926487250340e-02
 2.40007500e+00,        +2.983909341791e+00,        +1.472598415985e+00,        +2.504145948048e+00,        -2.817184417737e+00,        +5.778289705273e-02,        +3.142898313910e-02,        +1.437209758768e+00,        +1.440198145831e+00,        +9.898899946998e+00,        -3.985659420371e+00,        -2.708746032581e-02,        +6.346381109588e-02,        +2.195214739941e+00,        +1.975672894149e+00,        +2.180321474846e+01,        -5.626693391091e+00,        -4.286742909292e-02,        +1.092785868379e-01,        -2.112469792569e+00,        -4.359390533862e-02,        +5.648284460191e+01,        -5.819971281258e+00,        +6.276129899587e-03,        +2.930989212445e-02
 2.40010000e+00,        +2.985888151104e+00,        +1.473373555661e+00,        +2.504423708166e+00,        -2.819552275236e+00,        +5.783869812452e-02,        +3.143271478289e-02,        +1.437824532066e+00,        +1.440875264358e+00,        +9.904182719726e+00,        -3.989149195211e+00,        -2.708910839352e-02,        +6.349286442064e-02,        +2.195761072023e+00,        +1.976325372439e+00,        +2.181601050206e+01,        -5.631860301822e+00,        -4.287097905926e-02,        +1.093330694507e-01,        -2.115877935542e+00,        -4.365666711720e-02,        +5.652174382844e+01,        -5.827980052132e+00,        +6.212616072010e-03,        +2.935490900963e-02
 2.40012500e+00,        +2.987865083439e+00,        +1.474147183342e+00,        +2.504707896927e+00,        -2.821919584614e+00,        +5.789444131148e-02,        +3.143642521037e-02,        +1.438438831432e+00,        +1.441551407399e+00,        +9.909475031500e+00,        -3.992640844743e+00,        -2.709074484673e-02,        +6.352189437501e-02,        +2.196306888000e+00,        +1.976976835065e+00,        +2.182882381380e+01,        -5.637031792696e+00,        -4.287450179351e-02,        +1.093875081352e-01,        -2.119286279943e+00,        -4.371950882613e-02,        +5.656069203199e+01,        -5.836001975732e+00,        +6.149046338910e-03,        +2.939992324659e-02
 2.40015000e+00,        +2.989840140607e+00,        +1.474919301973e+00,        +2.504998518269e+00,        -2.824286354106e+00,        +5.795012668427e-02,        +3.144011447534e-02,        +1.439052657015e+00,        +1.442226576485e+00,        +9.914776895430e+00,        -3.996134380191e+00,        -2.709236971121e-02,        +6.355090098594e-02,        +2.196852187967e+00,        +1.977627283627e+00,        +2.184165471229e+01,        -5.642207881267e+00,        -4.287799734475e-02,        +1.094419029405e-01,        -2.122694825308e+00,        -4.378243046619e-02,        +5.659968929601e+01,        -5.844037088105e+00,        +6.085420518189e-03,        +2.944493492310e-02
 2.40017500e+00,        +2.991813324418e+00,        +1.475689914492e+00,        +2.505295576148e+00,        -2.826652591949e+00,        +5.800575431340e-02,        +3.144378263144e-02,        +1.439666008967e+00,        +1.442900773143e+00,        +9.920088324657e+00,        -3.999629812795e+00,        -2.709398301269e-02,        +6.357988428033e-02,        +2.197396972015e+00,        +1.978276719716e+00,        +2.185450322623e+01,        -5.647388585124e+00,        -4.288146576190e-02,        +1.094962539157e-01,        -2.126103571173e+00,        -4.384543203906e-02,        +5.663873570415e+01,        -5.852085425397e+00,        +6.021738427524e-03,        +2.948994412710e-02
 2.40020000e+00,        +2.993784636676e+00,        +1.476459023829e+00,        +2.505599074541e+00,        -2.829018306378e+00,        +5.806132426928e-02,        +3.144742973214e-02,        +1.440278887440e+00,        +1.443573998899e+00,        +9.925409332359e+00,        -4.003127153813e+00,        -2.709558477683e-02,        +6.360884428502e-02,        +2.197941240238e+00,        +1.978925144924e+00,        +2.186736938435e+01,        -5.652573921894e+00,        -4.288490709373e-02,        +1.095505611098e-01,        -2.129512517074e+00,        -4.390851354725e-02,        +5.667783134023e+01,        -5.860147023854e+00,        +5.957999884376e-03,        +2.953495094663e-02
 2.40022500e+00,        +2.995754079185e+00,        +1.477226632907e+00,        +2.505909017442e+00,        -2.831383505632e+00,        +5.811683662220e-02,        +3.145105583080e-02,        +1.440891292585e+00,        +1.444246255273e+00,        +9.930739931744e+00,        -4.006626414519e+00,        -2.709717502920e-02,        +6.363778102682e-02,        +2.198484992728e+00,        +1.979572560838e+00,        +2.188025321546e+01,        -5.657763909240e+00,        -4.288832138888e-02,        +1.096048245715e-01,        -2.132921662545e+00,        -4.397167499419e-02,        +5.671697628831e+01,        -5.868221919823e+00,        +5.894204705980e-03,        +2.957995546990e-02
 2.40025000e+00,        +2.997721653742e+00,        +1.477992744643e+00,        +2.506225408865e+00,        -2.833748197948e+00,        +5.817229144230e-02,        +3.145466098060e-02,        +1.441503224554e+00,        +1.444917543783e+00,        +9.936080136058e+00,        -4.010127606201e+00,        -2.709875379533e-02,        +6.366669453246e-02,        +2.199028229580e+00,        +1.980218969041e+00,        +2.189315474845e+01,        -5.662958564861e+00,        -4.289170869584e-02,        +1.096590443496e-01,        -2.136331007119e+00,        -4.403491638417e-02,        +5.675617063262e+01,        -5.876310149750e+00,        +5.830352709348e-03,        +2.962495778523e-02
 2.40027500e+00,        +2.999687362147e+00,        +1.478757361947e+00,        +2.506548252841e+00,        -2.836112391564e+00,        +5.822768879962e-02,        +3.145824523458e-02,        +1.442114683498e+00,        +1.445587865943e+00,        +9.941429958576e+00,        -4.013630740166e+00,        -2.710032110067e-02,        +6.369558482864e-02,        +2.199570950885e+00,        +1.980864371114e+00,        +2.190607401226e+01,        -5.668157906492e+00,        -4.289506906297e-02,        +1.097132204929e-01,        -2.139740550328e+00,        -4.409823772240e-02,        +5.679541445762e+01,        -5.884411750183e+00,        +5.766443711263e-03,        +2.966995798110e-02
 2.40030000e+00,        +3.001651206192e+00,        +1.479520487720e+00,        +2.506877553424e+00,        -2.838476094721e+00,        +5.828302876407e-02,        +3.146180864564e-02,        +1.442725669569e+00,        +1.446257223265e+00,        +9.946789412612e+00,        -4.017135827739e+00,        -2.710187697058e-02,        +6.372445194201e-02,        +2.200113156737e+00,        +1.981508768633e+00,        +2.191901103592e+01,        -5.673361951908e+00,        -4.289840253847e-02,        +1.097673530498e-01,        -2.143150291704e+00,        -4.416163901495e-02,        +5.683470784795e+01,        -5.892526757772e+00,        +5.702477528286e-03,        +2.971495614613e-02
 2.40032500e+00,        +3.003613187668e+00,        +1.480282124859e+00,        +2.507213314682e+00,        -2.840839315658e+00,        +5.833831140543e-02,        +3.146535126650e-02,        +1.443336182919e+00,        +1.446925617256e+00,        +9.952158511510e+00,        -4.020642880257e+00,        -2.710342143038e-02,        +6.375329589914e-02,        +2.200654847229e+00,        +1.982152163172e+00,        +2.193196584850e+01,        -5.678570718918e+00,        -4.290170917043e-02,        +1.098214420690e-01,        -2.146560230778e+00,        -4.422512026877e-02,        +5.687405088846e+01,        -5.900655209267e+00,        +5.638453976749e-03,        +2.975995236908e-02
 2.40035000e+00,        +3.005573308363e+00,        +1.481042276253e+00,        +2.507555540706e+00,        -2.843202062619e+00,        +5.839353679336e-02,        +3.146887314977e-02,        +1.443946223700e+00,        +1.447593049421e+00,        +9.957537268651e+00,        -4.024151909077e+00,        -2.710495450532e-02,        +6.378211672659e-02,        +2.201196022454e+00,        +1.982794556301e+00,        +2.194493847916e+01,        -5.683784225371e+00,        -4.290498900676e-02,        +1.098754875986e-01,        -2.149970367078e+00,        -4.428868149170e-02,        +5.691344366420e+01,        -5.908797141521e+00,        +5.574372872754e-03,        +2.980494673884e-02
 2.40037500e+00,        +3.007531570063e+00,        +1.481800944783e+00,        +2.507904235604e+00,        -2.845564343844e+00,        +5.844870499741e-02,        +3.147237434790e-02,        +1.444555792064e+00,        +1.448259521260e+00,        +9.962925697450e+00,        -4.027662925575e+00,        -2.710647622056e-02,        +6.381091445084e-02,        +2.201736682506e+00,        +1.983435949585e+00,        +2.195792895712e+01,        -5.689002489150e+00,        -4.290824209526e-02,        +1.099294896872e-01,        -2.153380700133e+00,        -4.435232269245e-02,        +5.695288626043e+01,        -5.916952591490e+00,        +5.510234032171e-03,        +2.984993934446e-02
 2.40040000e+00,        +3.009487974549e+00,        +1.482558133326e+00,        +2.508259403505e+00,        -2.847926167579e+00,        +5.850381608698e-02,        +3.147585491319e-02,        +1.445164888164e+00,        +1.448925034271e+00,        +9.968323811355e+00,        -4.031175941139e+00,        -2.710798660122e-02,        +6.383968909833e-02,        +2.202276827478e+00,        +1.984076344589e+00,        +2.197093731167e+01,        -5.694225528179e+00,        -4.291146848357e-02,        +1.099834483828e-01,        -2.156791229472e+00,        -4.441604388068e-02,        +5.699237876261e+01,        -5.925121596234e+00,        +5.446037270644e-03,        +2.989493027513e-02
