        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +3.292540468113e-10,        +3.292288469372e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.538683090539e-12,        +4.673239723068e-03,        +5.604941526428e-12,        +1.702445450504e-02,        +1.538683090539e-12,        +4.673239723068e-03,        +5.604941526428e-12,        +1.702445450504e-02,        +6.799469616703e-12,        +2.065113453442e-02,        +5.914418538910e-12,        +1.796446026505e-02,        +1.069528052683e-10,        +3.248336848222e-01,        +7.713242995528e-11,        +2.342821131041e-01,        +3.011199681748e-11,        +9.145520642525e-02,        +5.134650705469e-11,        +1.559599273647e-01,        +7.635554273739e-11,        +2.319046446866e-01,        +6.655743359533e-11,        +2.021616095142e-01,        +7.767578589001e-11,        +2.359144455240e-01,        +6.700020988454e-11,        +2.035064986190e-01,        +2.932067457668e-11,        +8.905182748895e-02,        +5.108068712381e-11,        +1.551525256642e-01,        +4.990888141623e-13,        +1.515816795559e-03,        +4.592219258176e-12,        +1.394841096368e-02
 2.00e+00,        +3.292540468113e-10,        +3.292288758721e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.515981258684e-12,        +4.604290435808e-03,        +5.591293272553e-12,        +1.698299779368e-02,        +1.515981258684e-12,        +4.604290435808e-03,        +5.591293272553e-12,        +1.698299779368e-02,        +6.763181730136e-12,        +2.054092211056e-02,        +5.895464537752e-12,        +1.790688779086e-02,        +2.227086399372e-11,        +6.764036527238e-02,        +4.872710746907e-11,        +1.480037476664e-01,        +9.759500531031e-11,        +2.964124701138e-01,        +7.381569080399e-11,        +2.242078268756e-01,        +5.170263291220e-11,        +1.570296049902e-01,        +5.843442687479e-11,        +1.774887658927e-01,        +5.044989070537e-11,        +1.532248158951e-01,        +5.804045901705e-11,        +1.762921276674e-01,        +9.846202084228e-11,        +2.990457423253e-01,        +7.414561044596e-11,        +2.252099250090e-01,        +4.944700585822e-13,        +1.501788856875e-03,        +4.578823450923e-12,        +1.390772130420e-02
 3.00e+00,        +3.292540468113e-10,        +3.292465729808e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.612063577498e-13,        +1.097044550395e-03,        +1.516118270547e-11,        +4.604811089821e-02,        +3.612063577498e-13,        +1.097044550395e-03,        +1.516118270547e-11,        +4.604811089821e-02,        +4.042080823796e-12,        +1.227648031343e-02,        +6.851071716328e-12,        +2.080833113707e-02,        +6.446983937370e-11,        +1.958057615330e-01,        +6.016213587798e-11,        +1.827266881879e-01,        +6.509721121242e-11,        +1.977111954822e-01,        +6.104901721808e-11,        +1.854203573492e-01,        +6.502514089060e-11,        +1.974923057753e-01,        +6.096479453845e-11,        +1.851645530780e-01,        +6.508655314850e-11,        +1.976788251469e-01,        +6.102555429267e-11,        +1.853490948750e-01,        +6.510721472036e-11,        +1.977415778208e-01,        +6.105286975439e-11,        +1.854320584165e-01,        +6.480028415157e-14,        +1.968093779838e-04,        +2.979946877385e-12,        +9.050806058228e-03
 4.00e+00,        +3.292540468113e-10,        +3.292370058751e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.663021875238e-14,        +1.719955131936e-04,        +9.311194002646e-15,        +2.828112829509e-05,        +5.663021875238e-14,        +1.719955131936e-04,        +9.311194002646e-15,        +2.828112829509e-05,        +4.916825799745e-13,        +1.493322814818e-03,        +4.236105599928e-14,        +1.286643215780e-04,        +6.232944272735e-11,        +1.893050163878e-01,        +7.771087780900e-11,        +2.360332417750e-01,        +6.348912947164e-11,        +1.928271803688e-01,        +6.553880392794e-11,        +1.990626896686e-01,        +6.958681093151e-11,        +2.113468660611e-01,        +6.012686966306e-11,        +1.826248829570e-01,        +6.957870192701e-11,        +2.113222376486e-01,        +6.009354394090e-11,        +1.825236618866e-01,        +6.366625326506e-11,        +1.933651351643e-01,        +6.570122156958e-11,        +1.995560049362e-01,        +5.539568998852e-14,        +1.682460413927e-04,        +1.401671461084e-14,        +4.257332669389e-05
 5.00e+00,        +3.292540468113e-10,        +3.292362721356e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.214341330798e-11,        +3.688159166329e-02,        +3.257235518862e-13,        +9.893307009384e-04,        +1.214341330798e-11,        +3.688159166329e-02,        +3.257235518862e-13,        +9.893307009384e-04,        +7.497375819723e-11,        +2.277079322892e-01,        +4.731433716350e-12,        +1.437093697380e-02,        +4.699741483535e-11,        +1.427390651398e-01,        +6.457896964732e-11,        +1.961477975329e-01,        +4.741542180843e-11,        +1.440086227265e-01,        +6.497409545510e-11,        +1.973479259550e-01,        +4.703103547862e-11,        +1.428411766965e-01,        +6.451456662996e-11,        +1.959521841609e-01,        +4.712309377238e-11,        +1.431207732411e-01,        +6.455716850734e-11,        +1.960815802238e-01,        +4.718013555877e-11,        +1.432940187545e-01,        +6.469540496418e-11,        +1.965014502945e-01,        +6.389773852516e-12,        +1.940681948908e-02,        +8.589096634259e-13,        +2.608794158234e-03
 6.00e+00,        +3.292540468113e-10,        +3.292377381146e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.641364947753e-16,        +2.928244934611e-06,        +5.702598442480e-15,        +1.732060994932e-05,        +9.641364947753e-16,        +2.928244934611e-06,        +5.702598442480e-15,        +1.732060994932e-05,        +5.377365748350e-15,        +1.633196554584e-05,        +3.556319726052e-15,        +1.080167706903e-05,        +7.092004694504e-11,        +2.153961284056e-01,        +5.935769187600e-11,        +1.802882385716e-01,        +6.813964316972e-11,        +2.069515738064e-01,        +6.363699493854e-11,        +1.932858465830e-01,        +6.108810541709e-11,        +1.855348658846e-01,        +7.135153358994e-11,        +2.167173605266e-01,        +6.103875221387e-11,        +1.853849718933e-01,        +7.130258996674e-11,        +2.165687031355e-01,        +6.806093330766e-11,        +2.067125186974e-01,        +6.357828466869e-11,        +1.931075247715e-01,        +2.242556639261e-16,        +6.811022251600e-07,        +1.384156537227e-15,        +4.204124791871e-06
 7.00e+00,        +3.292540468113e-10,        +3.292388757061e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.714319376698e-12,        +8.243845149315e-03,        +6.418369085105e-12,        +1.949456628212e-02,        +2.714319376698e-12,        +8.243845149315e-03,        +6.418369085105e-12,        +1.949456628212e-02,        +9.666023217916e-12,        +2.935734066606e-02,        +4.958486073140e-12,        +1.506045135923e-02,        +4.481659841005e-11,        +1.361155583176e-01,        +5.676101691467e-11,        +1.724007129867e-01,        +8.696361071235e-11,        +2.641231339586e-01,        +7.110235007075e-11,        +2.159597645274e-01,        +4.221160629547e-11,        +1.282037584785e-01,        +5.588873210120e-11,        +1.697513150029e-01,        +7.273167911003e-11,        +2.208983604436e-01,        +6.642578096946e-11,        +2.017555819524e-01,        +6.848371532093e-11,        +2.079965788854e-01,        +6.498565503341e-11,        +1.973814753620e-01,        +1.666494367826e-12,        +5.061424100828e-03,        +2.698485458405e-12,        +8.196132527232e-03
 8.00e+00,        +3.292540468113e-10,        +3.292388367048e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.714873603069e-12,        +8.245528428160e-03,        +6.420651150941e-12,        +1.950149992997e-02,        +2.714873603069e-12,        +8.245528428160e-03,        +6.420651150941e-12,        +1.950149992997e-02,        +9.672584356781e-12,        +2.937726794995e-02,        +4.961615898088e-12,        +1.506995938799e-02,        +8.103278952339e-11,        +2.461102310151e-01,        +6.906576887344e-11,        +2.097740642164e-01,        +3.902411091678e-11,        +1.185227981090e-01,        +5.487261602219e-11,        +1.666650768524e-01,        +8.392827259633e-11,        +2.549043008253e-01,        +7.023246262468e-11,        +2.133176733572e-01,        +5.357789466835e-11,        +1.627250908143e-01,        +5.987215733906e-11,        +1.818502274468e-01,        +5.763446411995e-11,        +1.750455755309e-01,        +6.111095388453e-11,        +1.856128350354e-01,        +1.669057026629e-12,        +5.069207327270e-03,        +2.702610911828e-12,        +8.208663773927e-03
 9.00e+00,        +3.292540468113e-10,        +3.292363240182e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.324222522826e-15,        +1.920772905929e-05,        +2.916783522803e-13,        +8.859239731526e-04,        +6.324222522826e-15,        +1.920772905929e-05,        +2.916783522803e-13,        +8.859239731526e-04,        +1.416307090853e-13,        +4.301563198902e-04,        +3.975309828596e-13,        +1.207433548060e-03,        +8.107752610531e-11,        +2.462461035499e-01,        +6.614791797500e-11,        +2.009131834778e-01,        +7.181169961972e-11,        +2.181042277694e-01,        +6.590742931983e-11,        +2.001827396062e-01,        +5.416054346101e-11,        +1.644946933395e-01,        +6.532118127153e-11,        +1.984021096892e-01,        +5.270527436047e-11,        +1.600747959544e-01,        +6.529588050112e-11,        +1.983252628514e-01,        +6.934884645346e-11,        +2.106241278584e-01,        +6.577644723903e-11,        +1.997849035497e-01,        +2.201879697225e-15,        +6.687479526977e-06,        +9.825837650099e-14,        +2.984433044987e-04
 1.00e+01,        +3.292540468113e-10,        +3.292363454585e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.207432437604e-15,        +1.885301789825e-05,        +2.911017455213e-13,        +8.841725694527e-04,        +6.207432437604e-15,        +1.885301789825e-05,        +2.911017455213e-13,        +8.841725694527e-04,        +1.409791496871e-13,        +4.281774242486e-04,        +3.971710633802e-13,        +1.206340274574e-03,        +5.032615052145e-11,        +1.528489961136e-01,        +6.507775411317e-11,        +1.976627277360e-01,        +5.983880589003e-11,        +1.817405327878e-01,        +6.544149049263e-11,        +1.987675157841e-01,        +7.759221746140e-11,        +2.356606341300e-01,        +6.616168812644e-11,        +2.009549949119e-01,        +7.897735337181e-11,        +2.398675252034e-01,        +6.612859915157e-11,        +2.008544927185e-01,        +6.237022663052e-11,        +1.894288839714e-01,        +6.564037188282e-11,        +1.993715845418e-01,        +2.106353940660e-15,        +6.397351713848e-06,        +9.816888298594e-14,        +2.981714635704e-04
