        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.352903969639e+00,        +9.097085707713e-05,        +1.293218535582e+04,        +1.100090802280e-14,        +7.806017245845e-09
 2.00e+00,        +2.357352602691e+00,        +9.382823425196e-05,        +1.256206419823e+04,        +8.337178919582e-15,        +5.915891092878e-09
 3.00e+00,        +2.440234127500e+00,        +1.667251708856e-04,        +7.318133549462e+03,        +9.439990702600e-15,        +6.698445808274e-09
 4.00e+00,        +2.586237820427e+00,        +6.762810265496e-05,        +1.912102897893e+04,        +8.169779094667e-15,        +5.797161728013e-09
 5.00e+00,        +2.599048328131e+00,        +8.051180704508e-05,        +1.614078993360e+04,        +8.722180399437e-15,        +6.189141379692e-09
 6.00e+00,        +2.612461118809e+00,        +1.074585274828e-03,        +1.215567252321e+03,        +8.770688945378e-15,        +6.223565942148e-09
 7.00e+00,        +2.701525279732e+00,        +6.370099595057e-05,        +2.120473345958e+04,        +8.432349086330e-15,        +5.983507461721e-09
 8.00e+00,        +2.701767562795e+00,        +6.379459178771e-05,        +2.117552199831e+04,        +9.611744764466e-15,        +6.820394476144e-09
 9.00e+00,        +2.739468645089e+00,        +7.374972889951e-05,        +1.857273705924e+04,        +8.939448637175e-15,        +6.343350658028e-09
 1.00e+01,        +2.739726010330e+00,        +7.366970231929e-05,        +1.859465916834e+04,        +5.684497527178e-15,        +4.033667288075e-09
 1.10e+01,        +2.799387855309e+00,        +9.627832837478e-05,        +1.453799574743e+04,        +1.017678658015e-14,        +7.221373662955e-09
 1.20e+01,        +2.879911029958e+00,        +1.033372892304e-04,        +1.393451992625e+04,        +8.972319190472e-15,        +6.366715794649e-09
 1.30e+01,        +2.978235574670e+00,        +1.129530599299e-04,        +1.318350994059e+04,        +1.131355092997e-14,        +8.028079906472e-09
 1.40e+01,        +2.980765877424e+00,        +1.143132198836e-04,        +1.303771288505e+04,        +1.038359973248e-14,        +7.368188724726e-09
 1.50e+01,        +3.034868879508e+00,        +8.058346074328e-05,        +1.883059409825e+04,        +3.582105251969e-15,        +2.541863770537e-09
 1.60e+01,        +3.035154901226e+00,        +8.058593602736e-05,        +1.883179033414e+04,        +1.225743539750e-14,        +8.697882724080e-09
