        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +1.486979100930e+07,        -1.582338291216e-07
 2.00e+00,        +4.102804269656e+05,        +5.745710610975e-06
 3.00e+00,        +8.809577474613e+03,        +2.769978622167e-04
 4.00e+00,        +2.042785900328e+06,        +1.266034693118e-06
 5.00e+00,        +1.067058388178e+10,        +2.435713318903e-10
 6.00e+00,        +1.293502155734e+03,        +2.019680529506e-03
 7.00e+00,        +1.833297501567e+07,        +1.473588044179e-07
 8.00e+00,        +1.654736899198e+09,        +1.632747516602e-09
 9.00e+00,        +3.575477455777e+09,        -7.661826088886e-10
 1.00e+01,        +5.245939784115e+08,        -5.222564732111e-09
 1.10e+01,        +1.856460356261e+09,        +1.507916851479e-09
 1.20e+01,        +3.107258230020e+07,        +9.268335029686e-08
 1.30e+01,        +8.898639201062e+06,        +3.346843834633e-07
 1.40e+01,        +2.371986598903e+06,        -1.256653759681e-06
 1.50e+01,        +1.890547698953e+08,        +1.605285537724e-08
 1.60e+01,        +6.329870491078e+08,        -4.794971564591e-09
