        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        -1.285532523023e-04,        +5.719993180316e-03
 2.00e+00,        +9.429559547367e-03,        +3.316225930366e-02
 3.00e+00,        +2.819685055284e-02,        -2.377167713988e-01
 4.00e+00,        +8.380360534337e-04,        +1.616200541767e-02
 5.00e+00,        +1.583683391916e-05,        +2.239159654553e-04
 6.00e+00,        +3.020233609781e-01,        -5.714946760391e-01
 7.00e+00,        +2.039382769328e-04,        +5.517560233863e-03
 8.00e+00,        +1.212688600317e-05,        +5.810592894704e-04
 9.00e+00,        -1.080896447318e-05,        -3.979802515915e-04
 1.00e+01,        -2.976012405346e-05,        -1.039009058864e-03
 1.10e+01,        +2.347953955427e-05,        +5.580332870838e-04
 1.20e+01,        +2.573323192520e-04,        +4.371244637502e-03
 1.30e+01,        +6.671265724212e-04,        +8.294169570097e-03
 1.40e+01,        -7.161204069055e-04,        -1.610773730835e-02
 1.50e+01,        +1.685843364820e-04,        +1.814534804148e-03
 1.60e+01,        -8.603206208937e-05,        -9.922525033601e-04
