        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m)
 1.00e+00,        -2.092019694748e+01,        +9.261610132382e-03,        -6.787809070546e+01,        -2.732939872924e-03,        -1.578819770929e+00,        -7.942577455008e-05,        -9.698354180963e+00,        +1.088985566362e-02,        -4.797448881064e+00,        +9.505885078764e-03,        -1.247399158796e+00,        +2.126906894149e-05,        -8.199086000471e+01,        -3.028324233086e-03,        -2.715764337264e+00,        +8.864964124179e-03,        -1.802811473207e-01,        +4.822491606445e-06,        -1.438064531620e+02,        -8.984184088134e-03,        -1.032996865192e+02,        -7.715187778171e-03,        -2.769995628343e+00,        -2.572007559767e-04,        -1.435767001358e+02,        -8.460286274155e-03,        -1.048573663751e+02,        -4.937147585791e-03,        -3.748710460304e+00,        -3.544351987545e-04,        -1.398774977135e+02,        -1.134735585938e-02,        -1.116683345229e+02,        -6.042945803080e-03,        -3.522923683083e+00,        -4.515393246316e-04
 2.00e+00,        -9.936549436912e+00,        +9.832091309145e-03,        +9.628804055718e+01,        -1.741591444814e-02,        -2.259511644392e+00,        +3.423634781818e-04,        -7.216770101779e+01,        +1.305060609718e-02,        +9.053276491163e+01,        -1.734871023811e-02,        +1.711341237250e+00,        -2.149958052252e-04,        -7.993204363839e+01,        +1.386103654318e-02,        +2.649366253435e+01,        -1.394559964774e-02,        +3.992824243675e+00,        -5.777923440016e-04,        -1.019304052545e+02,        +2.159217277820e-02,        +1.349426728739e+02,        -2.287165111292e-02,        -2.247466913762e+00,        +3.706523621131e-04,        -1.018698720351e+02,        +1.803138201051e-02,        +1.367707879249e+02,        -2.352232841278e-02,        +3.478273646458e-01,        -5.960229741159e-05,        -1.043913887660e+02,        +1.796763725581e-02,        +1.396134725969e+02,        -2.749739255819e-02,        +6.743751850902e-01,        -2.376838665444e-04
 3.00e+00,        -3.150719561930e-01,        -3.975616764923e-04,        +3.357135436363e+02,        +2.511278818290e-02,        +2.739969269477e-01,        +4.378158337227e-05,        -2.113751399758e+02,        -1.537212336556e-02,        +2.538780354702e+02,        +1.826697163235e-02,        -2.416642533516e+00,        -2.429079890845e-04,        -3.253286432771e+02,        -2.426917980300e-02,        +5.831979715918e+01,        +5.257145298424e-03,        -1.848395621093e+00,        -1.948243008897e-04,        -6.967063003531e-01,        -6.973359969039e-04,        +2.523089398795e+02,        +2.083886038924e-02,        +8.125038596531e-02,        +8.241864166778e-06,        -1.602898002299e+02,        -1.322220312318e-02,        +1.912218549001e+02,        +1.586561295871e-02,        -2.792658910899e-01,        -3.578153644141e-05,        -2.468758886468e+02,        -2.016751165836e-02,        +4.510910857487e+01,        +4.553233324129e-03,        -1.426927128737e-01,        -1.509871968739e-05
 4.00e+00,        -7.870935606110e+01,        -2.208127928905e-02,        +1.569078031589e+02,        +5.448976334567e-02,        +5.133124527398e+00,        -2.755418986545e-03,        +1.739019271495e+02,        +5.902379373531e-02,        +1.012306491104e+02,        +3.529386934824e-02,        +5.986294020303e+00,        -2.464090460126e-03,        +8.999999746420e+01,        +3.239700027934e-02,        -1.646233247039e+02,        -5.314177392300e-02,        +7.405355034220e+00,        -2.578407692451e-03,        -2.861802076147e+01,        -4.496511844358e-03,        +5.768080599273e+01,        +2.232341042074e-02,        -1.311801066090e+01,        +1.242305045543e-02,        +5.045322652724e+01,        +2.298734666235e-02,        +2.413323193495e+01,        +1.268855945407e-02,        -1.209846890714e+01,        +1.259150732544e-02,        +3.600889532928e+01,        +1.523304901918e-02,        -6.233007898634e+01,        -1.705864948684e-02,        -1.303962245776e+01,        +1.239309431697e-02
 5.00e+00,        -1.078584098945e+01,        -1.040667625050e-03,        -1.251403738391e+01,        +1.696214513385e-02,        +7.600977549848e+01,        +8.696576293716e-03,        -2.578188920748e+01,        +2.348728735913e-02,        -2.220060890865e+01,        +1.482317546660e-02,        +7.459976794237e+01,        +8.893170694285e-03,        -8.857947383155e+00,        +9.651945457802e-03,        -7.863664594797e-01,        -1.160589108012e-02,        +7.792380506465e+01,        +8.712376663963e-03,        -3.738138991101e+01,        +8.963408818250e-03,        -3.777061554284e+00,        +5.699870697305e-03,        -1.870059472004e+02,        +6.250864366062e-02,        -3.530470582360e+01,        +1.436884956492e-02,        -2.707497919417e+01,        +9.679255487640e-03,        -1.848111928963e+02,        +6.175426500599e-02,        -9.524123031916e+00,        +5.305488914438e-03,        -3.660392445587e+01,        +5.873375541586e-03,        -1.858664640115e+02,        +6.202795912533e-02
 6.00e+00,        -1.996593831206e+02,        -2.348343745945e-02,        -4.088535604589e+01,        -2.720003683728e-03,        -8.081953103982e-01,        +1.975287209630e-04,        -7.544430748653e+01,        -7.434105449662e-03,        +1.559484258185e+02,        +1.679216984954e-02,        -1.187877385402e+00,        +1.368701973355e-04,        +1.296986968229e+02,        +1.300547603135e-02,        +1.391641544427e+02,        +1.726920752844e-02,        +8.075475748493e-01,        +4.023818584798e-04,        -6.853033226248e+01,        -1.045564959379e-02,        -1.288185890738e+01,        +5.000417987343e-04,        -4.622357876551e-01,        -6.101050416524e-04,        -3.392171806782e+01,        -5.540195673851e-03,        +6.283407777762e+01,        +9.606986794687e-03,        -1.514202556605e-01,        -5.704154615687e-04,        +4.273077306340e+01,        +3.953509167366e-03,        +4.889323137471e+01,        +8.173336506217e-03,        +1.285554342226e-01,        -4.901295217736e-04
 7.00e+00,        +6.474957217993e-01,        -7.824279293401e-03,        -7.986616211186e+00,        +1.012940851090e-01,        +1.502094910083e+00,        -2.427752049984e-02,        +3.577947841265e+00,        -4.350441443459e-02,        -5.771235701459e+00,        +7.000382065088e-02,        -1.239655705687e-01,        +1.421961321654e-02,        +3.260071738592e+00,        -3.674150606367e-02,        -1.866771001798e+00,        +2.411876840323e-02,        -5.499644536142e+00,        +9.375548171692e-02,        +7.821981393875e-01,        -8.957958813709e-03,        -6.485973517508e+00,        +8.248979416456e-02,        -6.000077540962e+00,        +5.786219874832e-02,        +3.120896485609e+00,        -3.768364754188e-02,        -5.409067855965e+00,        +6.735629082986e-02,        +9.908859358395e+00,        -1.249050087076e-01,        +3.791404632688e+00,        -4.435550633042e-02,        -2.778261608858e+00,        +3.496922773981e-02,        +2.270438848488e+01,        -2.686221409397e-01
 8.00e+00,        +5.873493104282e-01,        -5.310306122103e-04,        +3.995868366996e+00,        +4.245739531070e-03,        +2.621716468015e+00,        -2.581478314958e-02,        +1.380794241588e+00,        -1.941297008372e-03,        -4.494696255032e+00,        +1.774007605670e-03,        +2.007433644268e+00,        -2.568708646108e-02,        +8.154745441622e+00,        -1.778687039785e-04,        +9.538795592431e-01,        +7.498036798347e-04,        +3.115238024037e+00,        -8.908516928945e-03,        +1.692852181001e+00,        -5.409976142489e-04,        +3.007017121611e+00,        +3.482127756643e-03,        -2.463830115842e+01,        -2.215861913770e-02,        +2.291042527357e+00,        -1.458262780417e-03,        -1.098415386650e+00,        +2.104589429633e-03,        -2.241026314957e+01,        -2.861035744897e-02,        +6.235193753790e+00,        -1.009128531522e-03,        -1.104696382939e+00,        +8.530695471298e-04,        -9.901862212151e+00,        -2.220726365276e-02
 9.00e+00,        +2.502219614597e-01,        +4.072429870131e-05,        +2.226019572221e+00,        +1.441635644707e-03,        -9.489602222329e+01,        -8.354214923318e-02,        +1.844885498899e-01,        +2.353519206225e-04,        +6.167281361171e-01,        +2.556145658876e-04,        -2.680291530488e+02,        -7.189986872501e-02,        -5.311157539355e-01,        +7.264809900610e-04,        -8.740502499439e-01,        +1.217297650848e-04,        +2.668841072019e+00,        +5.883459830675e-02,        -2.099162936072e-01,        +6.511006734187e-05,        -2.321712767861e-01,        +1.140697432380e-04,        -3.804006824590e+01,        -3.349770046145e-02,        -8.503848442380e-01,        +7.915680976024e-05,        -9.383482390947e-02,        +1.435351702808e-04,        -1.089505553524e+02,        -2.963152822316e-02,        +1.674515505656e-01,        +2.776547231661e-04,        -3.627088722123e-02,        -3.774670529429e-05,        +6.160585087275e-01,        +2.458579841949e-02
 1.00e+01,        +7.619982790752e-01,        -7.383564512931e-05,        -3.026719347133e+00,        +1.258945274454e-03,        +2.582655644028e+02,        -5.583815648181e-02,        -5.077890482657e-01,        -2.196471321543e-04,        +6.283609532620e-03,        +4.160201454965e-04,        -4.896707414577e+01,        -5.003169472952e-02,        -3.582806138313e+00,        +4.159616880347e-04,        -1.659573530563e+00,        +2.559117440006e-04,        -2.732330628572e+02,        +3.803620078583e-02,        +1.393140389230e-01,        +5.294491324540e-05,        -5.606396041386e-01,        -5.385190668411e-06,        +1.048453484940e+02,        -2.113857192930e-02,        -6.578376596883e-01,        +1.229247104348e-05,        -1.778726026702e-01,        +1.501763643167e-04,        -2.031727053569e+01,        -2.037481160370e-02,        -6.715214468834e-01,        +1.157114497392e-04,        +6.808432511335e-01,        +1.089305746351e-04,        -1.119861768411e+02,        +1.432291107694e-02
