        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +3.292540468113e-10,        +3.292279766222e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.479891642485e-12,        +4.494680192445e-03,        +5.890151078357e-12,        +1.789079755247e-02,        +1.479891642485e-12,        +4.494680192445e-03,        +5.890151078357e-12,        +1.789079755247e-02,        +6.731510120067e-12,        +2.044473009598e-02,        +5.647015260722e-12,        +1.715229464597e-02,        +1.157651826208e-10,        +3.515983592059e-01,        +8.530816599016e-11,        +2.591157861655e-01,        +2.842072165587e-11,        +8.631851887961e-02,        +5.057715314562e-11,        +1.536234972025e-01,        +7.389093466749e-11,        +2.244192148376e-01,        +6.353182513679e-11,        +1.929721337433e-01,        +7.404214132285e-11,        +2.248784549193e-01,        +6.360424954789e-11,        +1.931921162972e-01,        +2.839099026009e-11,        +8.622821962267e-02,        +5.058750721321e-11,        +1.536549467400e-01,        +5.326745216636e-13,        +1.617822246446e-03,        +4.081909249496e-12,        +1.239842765300e-02
 2.00e+00,        +3.292540468113e-10,        +3.292286793369e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.543722710754e-12,        +4.688545898538e-03,        +5.614516036336e-12,        +1.705354481160e-02,        +1.543722710754e-12,        +4.688545898538e-03,        +5.614516036336e-12,        +1.705354481160e-02,        +6.806443541091e-12,        +2.067231551748e-02,        +5.910034915394e-12,        +1.795115458136e-02,        +2.087568159265e-11,        +6.340296131459e-02,        +4.728804290378e-11,        +1.436328177698e-01,        +9.734714402236e-11,        +2.956596736324e-01,        +7.339042595367e-11,        +2.229162602161e-01,        +5.238165261943e-11,        +1.590919022157e-01,        +5.947887939981e-11,        +1.806612945130e-01,        +5.233853398000e-11,        +1.589609436448e-01,        +5.948698174785e-11,        +1.806859046049e-01,        +9.747032663385e-11,        +2.960337999725e-01,        +7.347259809313e-11,        +2.231658500745e-01,        +4.905417111401e-13,        +1.489857803999e-03,        +4.587200286905e-12,        +1.393317342871e-02
 3.00e+00,        +3.292540468113e-10,        +3.292465720472e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.621647342501e-13,        +1.099955301256e-03,        +1.515737754422e-11,        +4.603655385073e-02,        +3.621647342501e-13,        +1.099955301256e-03,        +1.515737754422e-11,        +4.603655385073e-02,        +4.037097828352e-12,        +1.226134611693e-02,        +6.836974277158e-12,        +2.076551392668e-02,        +6.537395196740e-11,        +1.985517037696e-01,        +6.109452902893e-11,        +1.855585880486e-01,        +6.539518299497e-11,        +1.986161859765e-01,        +6.136186612973e-11,        +1.863705542876e-01,        +6.429581953207e-11,        +1.952772339619e-01,        +6.022441287007e-11,        +1.829158387150e-01,        +6.431643814732e-11,        +1.953398561694e-01,        +6.024398602614e-11,        +1.829752870365e-01,        +6.540891372387e-11,        +1.986578885129e-01,        +6.136615782865e-11,        +1.863835891960e-01,        +6.447788303657e-14,        +1.958301914920e-04,        +2.961268342341e-12,        +8.994074938816e-03
 4.00e+00,        +3.292540468113e-10,        +3.292358589856e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.188339576302e-11,        +3.609187458167e-02,        +3.378651726158e-13,        +1.026210126858e-03,        +1.188339576302e-11,        +3.609187458167e-02,        +3.378651726158e-13,        +1.026210126858e-03,        +7.538383502769e-11,        +2.289534046970e-01,        +4.805791522282e-12,        +1.459680466486e-02,        +5.235570884471e-11,        +1.590131066019e-01,        +6.924508693029e-11,        +2.103206107124e-01,        +4.027603701966e-11,        +1.223251085590e-01,        +5.828847617123e-11,        +1.770416999862e-01,        +5.128560315841e-11,        +1.557630153831e-01,        +6.878677892499e-11,        +2.089285752072e-01,        +5.124476957930e-11,        +1.556389969253e-01,        +6.871201362942e-11,        +2.087014878668e-01,        +4.020161499600e-11,        +1.220990763374e-01,        +5.815640903188e-11,        +1.766405676801e-01,        +6.623082422480e-12,        +2.011541691476e-02,        +9.034376029215e-13,        +2.744043755455e-03
 5.00e+00,        +3.292540468113e-10,        +3.292383639852e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.387817482542e-15,        +2.547521454565e-05,        +5.351282497292e-16,        +1.625352049658e-06,        +8.387817482542e-15,        +2.547521454565e-05,        +5.351282497292e-16,        +1.625352049658e-06,        +5.037566015184e-14,        +1.529993652006e-04,        +3.988946778306e-15,        +1.211568035396e-05,        +6.010889908257e-11,        +1.825608513083e-01,        +7.101820827537e-11,        +2.157045352059e-01,        +6.112609037477e-11,        +1.856502325993e-01,        +7.037952779196e-11,        +2.137646625991e-01,        +6.839634622224e-11,        +2.077312242162e-01,        +6.324937356182e-11,        +1.921081516632e-01,        +7.229096158550e-11,        +2.195598270868e-01,        +5.984223640574e-11,        +1.817596093037e-01,        +6.726900841148e-11,        +2.043073093951e-01,        +6.474379410199e-11,        +1.966471747652e-01,        +3.977657072822e-15,        +1.208081453013e-05,        +6.997732614018e-16,        +2.125430502484e-06
 6.00e+00,        +3.292540468113e-10,        +3.292383383257e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.414690010410e-16,        +2.555683093922e-06,        +7.922200405939e-16,        +2.406220504643e-06,        +8.414690010410e-16,        +2.555683093922e-06,        +7.922200405939e-16,        +2.406220504643e-06,        +4.891927913061e-15,        +1.485760907250e-05,        +1.324790464145e-15,        +4.023803761377e-06,        +7.158896267741e-11,        +2.174277381576e-01,        +6.071958535776e-11,        +1.844244071530e-01,        +7.064078713497e-11,        +2.145479693237e-01,        +6.135907318263e-11,        +1.863667320600e-01,        +6.320372386653e-11,        +1.919603554721e-01,        +6.837202317240e-11,        +2.076672586798e-01,        +5.928418278741e-11,        +1.800560490040e-01,        +7.173933982188e-11,        +2.178948544896e-01,        +6.453040814294e-11,        +1.959897190874e-01,        +6.704596484756e-11,        +2.036396040282e-01,        +2.488050913829e-16,        +7.556629714730e-07,        +2.349329989764e-16,        +7.135651339120e-07
 7.00e+00,        +3.292540468113e-10,        +3.292387787736e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.739644136896e-12,        +8.320760711763e-03,        +6.514779069045e-12,        +1.978739896106e-02,        +2.739644136896e-12,        +8.320760711763e-03,        +6.514779069045e-12,        +1.978739896106e-02,        +9.696855698484e-12,        +2.945098410299e-02,        +4.956560107331e-12,        +1.505460603941e-02,        +8.564711640283e-11,        +2.601247189892e-01,        +6.978122475794e-11,        +2.119471619287e-01,        +4.491873961289e-11,        +1.364257783554e-01,        +5.699660356729e-11,        +1.731163132715e-01,        +6.919210891688e-11,        +2.101480895587e-01,        +6.546437785936e-11,        +1.988355627585e-01,        +7.268586284887e-11,        +2.207592087411e-01,        +6.668122507077e-11,        +2.025315040930e-01,        +4.271025052254e-11,        +1.297182249882e-01,        +5.619461217517e-11,        +1.706804173691e-01,        +1.663468671894e-12,        +5.052234552631e-03,        +2.649396166667e-12,        +8.047035578664e-03
 8.00e+00,        +3.292540468113e-10,        +3.292387057914e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.682310071863e-12,        +8.146627498858e-03,        +6.324197936533e-12,        +1.920854937554e-02,        +2.682310071863e-12,        +8.146627498858e-03,        +6.324197936533e-12,        +1.920854937554e-02,        +9.620210203032e-12,        +2.921819882307e-02,        +4.936994255120e-12,        +1.499518181877e-02,        +3.861182970861e-11,        +1.172706306348e-01,        +5.436490857873e-11,        +1.651230782482e-01,        +8.165441447876e-11,        +2.479982107116e-01,        +6.968999926693e-11,        +2.116701288186e-01,        +5.705108470610e-11,        +1.732737539861e-01,        +6.069917297270e-11,        +1.843622025751e-01,        +5.381388997298e-11,        +1.634418483058e-01,        +5.974008915279e-11,        +1.814491677374e-01,        +8.414884566533e-11,        +2.555742183894e-01,        +7.076517679870e-11,        +2.149357762436e-01,        +1.671462004600e-12,        +5.076511650465e-03,        +2.718166829916e-12,        +8.255915182823e-03
 9.00e+00,        +3.292540468113e-10,        +3.292352542598e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.644600658260e-13,        +4.994929217081e-04,        +2.652670322709e-13,        +8.057066454421e-04,        +1.644600658260e-13,        +4.994929217081e-04,        +2.652670322709e-13,        +8.057066454421e-04,        +7.599593600545e-13,        +2.308124584692e-03,        +4.732645543970e-13,        +1.437466213820e-03,        +7.494350658758e-11,        +2.276160530550e-01,        +6.344877306620e-11,        +1.927156106319e-01,        +7.680761253638e-11,        +2.332776568131e-01,        +7.035596993685e-11,        +2.136951284122e-01,        +4.996934855985e-11,        +1.517653284562e-01,        +6.208562186863e-11,        +1.885752545189e-01,        +4.994905324872e-11,        +1.517036881777e-01,        +6.212086135784e-11,        +1.886822888925e-01,        +7.664157133965e-11,        +2.327733617306e-01,        +7.031159998736e-11,        +2.135603617099e-01,        +1.853511322616e-14,        +5.629426093823e-05,        +1.738964562051e-13,        +5.281829754110e-04
 1.00e+01,        +3.292540468113e-10,        +3.292361349593e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.429085082927e-14,        +4.340372113165e-05,        +3.122519888246e-13,        +9.484134809903e-04,        +1.429085082927e-14,        +4.340372113165e-05,        +3.122519888246e-13,        +9.484134809903e-04,        +1.732680050334e-13,        +5.262441166978e-04,        +4.089951192555e-13,        +1.242254648950e-03,        +4.937358547020e-11,        +1.499558956021e-01,        +6.439428582512e-11,        +1.955869328653e-01,        +6.074120871909e-11,        +1.844812821812e-01,        +6.504277797027e-11,        +1.975566198963e-01,        +7.901032748924e-11,        +2.399676731522e-01,        +6.695089885186e-11,        +2.033522197074e-01,        +7.906102935722e-11,        +2.401216632655e-01,        +6.696368484349e-11,        +2.033910550303e-01,        +6.087148877712e-11,        +1.848769646619e-01,        +6.505844149400e-11,        +1.976041952444e-01,        +8.848142544378e-15,        +2.687329929600e-05,        +1.047988664948e-13,        +3.183091263896e-04
