        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.334844799971e+00,        +9.327320239837e-05,        +1.251616081467e+04,        +9.703654332109e-14,        +7.638089095260e-09
 2.00e+00,        +2.359431865302e+00,        +5.076416801124e-04,        +2.323914694505e+03,        +7.782517121861e-14,        +6.125948346959e-09
 3.00e+00,        +2.440300033350e+00,        +1.593700438499e-04,        +7.656081342527e+03,        +1.019042534721e-13,        +8.021552367082e-09
 4.00e+00,        +2.593526952812e+00,        +8.202801465506e-05,        +1.580878779656e+04,        +1.122377727301e-13,        +8.835486611257e-09
 5.00e+00,        +2.606356741961e+00,        +6.325471927531e-05,        +2.060207343095e+04,        +9.700060330168e-14,        +7.636037367366e-09
 6.00e+00,        +2.606551514801e+00,        +7.855898359053e-05,        +1.658977367611e+04,        +5.629277804522e-14,        +4.431454803402e-09
 7.00e+00,        +2.701345205545e+00,        +6.429069230539e-05,        +2.100883587844e+04,        +8.532959460644e-14,        +6.717530927768e-09
 8.00e+00,        +2.702862239847e+00,        +1.888023006884e-04,        +7.157916605325e+03,        +9.277369095067e-14,        +7.303568265024e-09
 9.00e+00,        +2.722813341029e+00,        +7.782939469536e-05,        +1.749219143229e+04,        +1.007218740069e-13,        +7.929349458301e-09
 1.00e+01,        +2.741394294744e+00,        +5.784353804314e-04,        +2.369663447734e+03,        +1.262500525036e-13,        +9.939135454426e-09
 1.10e+01,        +2.799535050273e+00,        +9.574002873473e-05,        +1.462050455232e+04,        +1.106508316163e-13,        +8.711282722110e-09
 1.20e+01,        +2.876229192482e+00,        +1.032439612490e-04,        +1.392928535257e+04,        +1.210346034064e-13,        +9.529079467674e-09
 1.30e+01,        +2.955183188699e+00,        +1.175272035207e-04,        +1.257233688249e+04,        +1.194887341593e-13,        +9.407691414297e-09
 1.40e+01,        +2.985206640913e+00,        +9.029740653432e-04,        +1.652985889659e+03,        +6.509374899184e-14,        +5.125084926270e-09
 1.50e+01,        +3.034598327358e+00,        +8.123954204240e-05,        +1.867685521209e+04,        +1.026883956843e-13,        +8.085234023052e-09
 1.60e+01,        +3.036472806165e+00,        +2.471970693035e-04,        +6.141805857130e+03,        +1.180187850977e-13,        +9.292289390304e-09
