        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        -7.484855726378e-08,        +1.509815576899e-05
 2.00e+00,        +8.214877641928e-03,        -1.160369130889e-03
 3.00e+00,        +8.649114470714e-04,        -4.577823476899e-03
 4.00e+00,        +6.073401102191e-07,        +2.420254616369e-05
 5.00e+00,        +6.345588156709e-05,        +4.364845963384e-04
 6.00e+00,        +4.535315553581e-04,        -1.582744871125e-03
 7.00e+00,        +6.092744140903e-05,        +2.005800681456e-04
 8.00e+00,        +2.971038442230e-03,        -3.430655803858e-03
 9.00e+00,        +3.146436019847e-06,        +4.991316126011e-05
 1.00e+01,        +2.377979995765e-03,        -8.816491670696e-03
 1.10e+01,        +1.721399130125e-06,        +3.659611582779e-05
 1.20e+01,        -1.081497577297e-06,        -1.606684760677e-05
 1.30e+01,        +5.380517781871e-06,        +5.256062880271e-05
 1.40e+01,        +1.009978272129e-02,        +5.324912255329e-03
 1.50e+01,        -3.610696575870e-05,        -2.477266425932e-04
 1.60e+01,        +7.547426653694e-04,        -5.189740162701e-03
