        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +8.475601365348e+08,        -2.754783642275e-09
 2.00e+00,        +2.836589017895e+03,        +8.317848833292e-04
 3.00e+00,        +9.303869907004e+03,        +2.622887097242e-04
 4.00e+00,        +3.661560701470e+08,        +7.083118823541e-09
 5.00e+00,        +1.108622677897e+06,        +2.350986312949e-06
 6.00e+00,        +7.956906793865e+04,        +3.275835173551e-05
 7.00e+00,        +5.086820039566e+06,        +5.310479208098e-07
 8.00e+00,        +1.085930738893e+04,        +2.488982163450e-04
 9.00e+00,        +9.008164562056e+07,        +3.022606128331e-08
 1.00e+01,        +2.720526220858e+03,        +1.007670602005e-03
 1.10e+01,        +1.725945454646e+08,        +1.622029851950e-08
 1.20e+01,        +9.178459542194e+08,        -3.133673117215e-09
 1.30e+01,        +8.760056702667e+07,        +3.373474954562e-08
 1.40e+01,        +1.894959899014e+03,        +1.575340271034e-03
 1.50e+01,        +4.006796062889e+06,        -7.573628105170e-07
 1.60e+01,        +9.136075618231e+03,        +3.323607348549e-04
