        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        -3.742427863189e-06,        +7.549077884496e-04
 2.00e+00,        +4.107438820964e-01,        -5.801845654444e-02
 3.00e+00,        +4.324557235357e-02,        -2.288911738450e-01
 4.00e+00,        +3.036700551095e-05,        +1.210127308184e-03
 5.00e+00,        +3.172794078355e-03,        +2.182422981692e-02
 6.00e+00,        +2.267657776791e-02,        -7.913724355623e-02
 7.00e+00,        +3.046372070452e-03,        +1.002900340728e-02
 8.00e+00,        +1.485519221115e-01,        -1.715327901929e-01
 9.00e+00,        +1.573218009924e-04,        +2.495658063005e-03
 1.00e+01,        +1.188989997883e-01,        -4.408245835348e-01
 1.10e+01,        +8.606995650626e-05,        +1.829805791390e-03
 1.20e+01,        -5.407487886487e-05,        -8.033423803386e-04
 1.30e+01,        +2.690258890935e-04,        +2.628031440136e-03
 1.40e+01,        +5.049891360645e-01,        +2.662456127665e-01
 1.50e+01,        -1.805348287935e-03,        -1.238633212966e-02
 1.60e+01,        +3.773713326847e-02,        -2.594870081351e-01
