        m,         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²)
 1.00e+00,        +1.530928484729e-12,        +1.440752490906e-08,        -9.756088238336e-13,        +1.295932964894e-08,        -1.154005580226e-11,        -3.457241673213e-08,        -4.028650266495e-12,        -1.382830867335e-09,        -1.222758576705e-12,        +6.323306031259e-09,        +7.229608938682e-13,        +1.878811890568e-10,        -3.712127578430e-12,        -3.032856101727e-09,        -6.512706973866e-12,        -2.436811973344e-08,        +1.075736621080e-11,        +3.924016864059e-08,        +2.837517516556e-12,        +3.479600156037e-08,        -7.754967912337e-12,        -1.768070291194e-08,        -4.719035283847e-12,        -7.016850078761e-08,        +8.837288409702e-13,        +1.228644609957e-08,        -8.891038139911e-12,        -1.507221333548e-08,        -7.527394755946e-13,        +4.662109610005e-09,        +1.947506304706e-12,        +5.520422305931e-09,        -1.117482203013e-11,        -4.769025379205e-08,        +1.001216604438e-12,        +8.100529901497e-08
 2.00e+00,        -7.035710161602e-09,        +2.663953097954e-09,        -2.593166470701e-09,        +8.485136534049e-10,        +6.262781291925e-08,        -7.868574192424e-09,        -7.315841995784e-09,        +2.344674655537e-09,        -4.556367446803e-09,        +1.602304653084e-09,        +6.853495002811e-08,        -8.907173100351e-09,        -3.184673995329e-09,        +1.249672647657e-09,        +3.642445210395e-09,        +7.833075692955e-10,        +5.017845233749e-08,        -6.065418935407e-09,        -2.728100634384e-09,        +2.281350813792e-09,        -4.793032810287e-09,        +1.425781228348e-09,        +1.238147024759e-07,        -1.533469973727e-08,        -6.362392216738e-09,        +2.503224824361e-09,        -2.369524210695e-09,        +1.549355292554e-09,        +1.477972439604e-07,        -1.900439386209e-08,        -7.844380000111e-09,        +2.371144688950e-09,        -5.339425930029e-09,        +2.435278200528e-09,        +1.170671427659e-07,        -1.432354217248e-08
 3.00e+00,        +4.528167099552e-10,        +2.193547822445e-09,        +3.976202879724e-10,        -8.028343375558e-10,        -8.886492648515e-08,        +4.966255603034e-07,        -5.059106463280e-11,        +3.462226488443e-09,        +1.302980786098e-11,        +2.248485863998e-09,        -8.545048110123e-08,        +4.771511926978e-07,        +2.111292632012e-09,        -9.203109478911e-09,        +1.450698323301e-09,        -3.575430538574e-09,        -8.507754376331e-08,        +4.751656087545e-07,        +1.761705123701e-09,        -3.913005869388e-09,        +8.071666188222e-10,        -2.682008565091e-09,        -2.209054255597e-07,        +1.231173509429e-06,        +1.757296862373e-09,        -5.388402691702e-09,        +1.067053048179e-09,        -2.429011594342e-09,        -2.201927637855e-07,        +1.227938552157e-06,        +1.524406022231e-09,        -5.169895775463e-09,        +1.356201932911e-09,        -2.385023400458e-09,        -2.212222677525e-07,        +1.232636761832e-06
 4.00e+00,        -1.570390535799e-11,        -2.162318118939e-08,        +2.426693780859e-10,        +5.984469392371e-07,        -9.253618169344e-12,        +1.622302622242e-08,        -1.627268036623e-10,        -3.778346048947e-07,        +2.026962398537e-10,        +4.925058386699e-07,        +8.891981342147e-12,        -2.953768904855e-09,        -2.391409739404e-10,        -5.783784400648e-07,        +4.702806036707e-11,        +1.238296558999e-07,        +1.718866736686e-12,        -1.112981205079e-08,        -1.227338723094e-11,        -1.960750214430e-08,        +3.027966377848e-10,        +1.003225295092e-06,        +4.428056897451e-12,        +1.017016882899e-08,        -2.060989189877e-10,        -6.641001518772e-07,        +2.350942018398e-10,        +7.817528887335e-07,        +4.006774395340e-12,        -8.975181577070e-10,        -3.073628068481e-10,        -1.006793026524e-06,        +4.100733666726e-11,        +1.604577532627e-07,        +1.273780925268e-12,        -6.858787462217e-09
 5.00e+00,        -2.212894551552e-10,        -8.527389107492e-10,        -4.417154525613e-10,        -1.348393563826e-08,        +6.913074890539e-09,        +3.522389614609e-07,        +4.232446617088e-10,        +1.653283880391e-08,        -3.907949832352e-10,        -1.227190838158e-08,        +9.163761447337e-09,        +6.591082914865e-09,        +8.010358057062e-10,        +2.261438008533e-08,        -5.481923737700e-11,        -2.881063525047e-09,        -1.607869183981e-08,        -3.544892704970e-07,        -6.051744784067e-11,        -6.720826452948e-10,        -7.797538252327e-10,        -2.618346812599e-08,        +1.258160800825e-09,        +6.122506805873e-08,        +5.509831607550e-10,        +1.801633171450e-08,        -6.060727416265e-10,        -1.981746048974e-08,        +1.758390422496e-09,        +5.128978465849e-09,        +8.844192638132e-10,        +2.890139884316e-08,        -2.091601226699e-10,        -4.903292648277e-09,        -2.978629318869e-09,        -6.399622184456e-08
 6.00e+00,        -7.543908085229e-10,        +3.713045160959e-09,        +5.328678888979e-10,        -2.238771000932e-09,        -6.239958022464e-08,        +2.293902605481e-07,        -8.069214137188e-10,        +4.403928680681e-09,        +5.278645740857e-10,        -2.257959840476e-09,        +1.171389164202e-07,        -3.798034860187e-07,        +1.982368986066e-09,        -3.865267861700e-09,        +2.288007738996e-09,        -6.249189819324e-09,        -5.695846812855e-08,        +1.577089868651e-07,        +2.014070072492e-09,        -4.692920301153e-09,        +1.433934987056e-09,        -6.151999571535e-09,        -1.090208521099e-08,        +3.944340068236e-08,        +1.091931165230e-09,        -1.070556511977e-09,        +1.675525642064e-09,        -5.945944621815e-09,        +2.013853382652e-08,        -6.549184758371e-08,        +5.628705795201e-10,        +1.263905540464e-09,        +1.678673477294e-09,        -4.012892207006e-09,        -1.215555468833e-08,        +3.388697075255e-08
 7.00e+00,        -6.252281073042e-08,        -3.704545101868e-07,        +1.086454109962e-07,        +6.772840430187e-07,        +1.735589150170e-09,        +1.049167374916e-08,        -9.351858998990e-08,        -5.592595019295e-07,        +1.139750224616e-07,        +7.073705170333e-07,        +9.045585800833e-10,        +5.213464074841e-09,        -9.560856933913e-08,        -5.692743230836e-07,        +7.973834581465e-08,        +4.973190409339e-07,        -1.509530903071e-10,        -1.282314056233e-09,        -9.613635751386e-08,        -5.701907085843e-07,        +1.267394032236e-07,        +7.902262986079e-07,        +1.210358360736e-09,        +7.166135006857e-09,        -1.006526388755e-07,        -5.982108206359e-07,        +1.221464043141e-07,        +7.617025988790e-07,        +8.237573743091e-10,        +4.593159748806e-09,        -1.057848953294e-07,        -6.288396690573e-07,        +1.172821350722e-07,        +7.322153607851e-07,        -1.703216595284e-09,        -1.089906073999e-08
 8.00e+00,        -3.725928597655e-07,        +3.854039867757e-07,        -3.873034385422e-07,        +4.048691280459e-07,        +4.311528068843e-09,        -4.371678879546e-09,        -4.060202242269e-07,        +4.155214215945e-07,        -3.151226285937e-07,        +3.288949190963e-07,        +1.197848545732e-08,        -1.204827798446e-08,        -4.707516680648e-07,        +4.849402355033e-07,        -2.576113639962e-07,        +2.725776383481e-07,        +9.811795131031e-09,        -1.030871899317e-08,        -5.447970109600e-07,        +5.643807562238e-07,        -4.508790230332e-07,        +4.704820849693e-07,        +6.023115384933e-09,        -6.438444757991e-09,        -5.452426615678e-07,        +5.615058423457e-07,        -4.241569173886e-07,        +4.442369475942e-07,        +1.299364663253e-08,        -1.354256916326e-08,        -5.650265853294e-07,        +5.816645407870e-07,        -4.028323070741e-07,        +4.256611025002e-07,        +1.185684015565e-08,        -1.269958765934e-08
 9.00e+00,        -9.595968857029e-11,        -7.635730460132e-07,        +1.268404727992e-10,        +1.194282021259e-07,        -5.165586731749e-12,        -3.542221625282e-09,        +5.058684533658e-11,        -1.867013979115e-07,        +2.114985565694e-10,        +3.722852460155e-07,        -2.893685125969e-12,        +1.049092011866e-10,        +1.195207531401e-10,        +1.376446150858e-07,        +1.753106455382e-10,        +7.675741513467e-07,        +1.302926638562e-12,        -1.953742814513e-09,        -4.986153101960e-11,        -5.795377653352e-07,        +1.267331779756e-10,        +9.829377147413e-08,        +1.767124835747e-12,        +5.020370303872e-09,        +7.527263618869e-11,        -2.308309812322e-07,        +1.623702972500e-10,        +4.037839666247e-07,        -1.402708697903e-12,        +2.698536650590e-10,        +1.645671792748e-10,        +1.611609993433e-07,        +1.442744349165e-10,        +5.981669373384e-07,        -1.947584607282e-12,        -7.032537376085e-09
 1.00e+01,        +6.715668700174e-08,        -2.194269279906e-07,        +9.828549360739e-08,        -3.205757695344e-07,        +2.312353797481e-10,        +1.016403389628e-10,        +1.834054964921e-07,        -5.888574679151e-07,        +1.382447475327e-07,        -4.429182766301e-07,        +1.746605457625e-09,        -3.281883070075e-09,        +1.039571945275e-07,        -3.410959152213e-07,        -1.812731039900e-08,        +5.442037282256e-08,        -5.576738533860e-10,        +2.146686043838e-09,        +4.413152646275e-08,        -1.519822341785e-07,        +1.424616011332e-07,        -4.616269464708e-07,        -2.576896172828e-10,        +6.844426272581e-10,        +1.458100369029e-07,        -4.740950084660e-07,        +9.193273767555e-08,        -2.993804887205e-07,        +1.107198579577e-09,        -2.572214724971e-09,        +1.454409962342e-07,        -4.746546244430e-07,        -3.315846816035e-08,        +9.761388819003e-08,        -5.181854466208e-10,        +1.283319440019e-09
