        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m)
 1.00e+00,        +1.487332621676e+01,        -1.099321175153e-02,        +7.331246232932e+01,        +4.268104905048e-03,        +1.859798875134e+01,        -3.823566221466e-03,        +2.221819682650e+01,        -1.352900842177e-02,        +4.304269006804e+00,        -5.453343806026e-03,        +1.601072938739e+01,        -3.942960666074e-03,        +8.430608015223e+01,        -4.955157541561e-03,        -4.879770056681e+00,        -9.009680389772e-03,        +1.773901717883e+01,        -3.390511350598e-03,        +1.439721332891e+02,        -2.797865374054e-03,        +1.025012631883e+02,        +7.436204872313e-03,        +2.436440481308e+01,        -2.747282261206e-03,        +1.446353751564e+02,        -3.538065613193e-03,        +1.079610405316e+02,        +4.514267315035e-03,        +2.388490121369e+01,        -2.990714067228e-03,        +1.393504946395e+02,        -6.460404341045e-04,        +1.098412084421e+02,        +4.026304484049e-03,        +2.479408775067e+01,        -1.839085593678e-03
 2.00e+00,        -1.463275747063e+00,        -9.921802623743e+00,        +1.469379411072e+01,        +8.726890219115e+01,        -2.195587997102e-01,        -1.837199305596e+00,        -1.113890215773e+01,        -6.613713986810e+01,        +1.350929225925e+01,        +8.034053994407e+01,        +4.521617419133e-01,        +2.898541791343e+00,        -1.248819085848e+01,        -7.348049769141e+01,        +4.033278024273e+00,        +2.560479576027e+01,        +4.953389964146e-01,        +3.280944205750e+00,        -1.584274161675e+01,        -1.007514239165e+02,        +2.124510638834e+01,        +1.303465194331e+02,        -3.919558605098e-01,        -1.976186196512e+00,        -1.563359294266e+01,        -9.610306019710e+01,        +2.201863777865e+01,        +1.359066059864e+02,        +7.951656741473e-02,        +4.925180164532e-01,        -1.608271729564e+01,        -9.770530009241e+01,        +2.207534709545e+01,        +1.396079857911e+02,        +6.569056971387e-02,        -2.759506501976e-01
 3.00e+00,        -8.209981512702e-01,        -1.943148239047e-01,        +3.330634841749e+02,        +6.028457386482e+01,        -5.243459785435e-01,        -2.090885236162e-01,        -2.097215788642e+02,        -3.790257560582e+01,        +2.483854267611e+02,        +4.488491469315e+01,        +1.958144185651e-01,        +5.678055478885e-02,        -3.199974647678e+02,        -5.789874262505e+01,        +5.772395059873e+01,        +1.053878725122e+01,        -7.703074184562e-01,        -4.283159111462e-02,        -2.200386070212e+00,        -7.379654694732e-01,        +2.502621270566e+02,        +4.552321274046e+01,        +2.249599038822e-01,        +4.844315567831e-02,        -1.602750842832e+02,        -2.916118330212e+01,        +1.915422017728e+02,        +3.490942350439e+01,        -5.237316824835e-02,        -3.915602930541e-03,        -2.445035007206e+02,        -4.438365961059e+01,        +4.654439716487e+01,        +8.872897627020e+00,        -4.950644824937e-01,        -1.170518497830e-01
 4.00e+00,        +1.900065566726e+01,        -9.303796037347e-03,        -6.916078827463e+00,        -7.013773360332e-03,        -6.936838183853e+01,        -5.308639160529e-03,        +1.212722600948e+01,        -1.209316404454e-02,        +7.443904766975e+00,        -5.411329339054e-03,        -8.694675537169e+01,        -2.260094042890e-03,        +3.064365817215e-01,        +1.981773714715e-04,        +1.584735584298e+01,        -1.032096735902e-03,        -6.933900625388e+01,        -9.615764359470e-03,        +3.606938408936e+01,        -1.207702278457e-02,        -4.167387856254e+00,        -3.134662133924e-03,        +1.906356538724e+02,        -7.443670856789e-02,        +2.672389140980e+01,        -1.062192448149e-02,        +2.379905715901e+01,        -9.904047198512e-03,        +1.852214037938e+02,        -7.258259418213e-02,        +2.173978767645e+00,        +8.857353206686e-04,        +3.893561391646e+01,        -1.215129496251e-02,        +1.904776375736e+02,        -7.512722007666e-02
 5.00e+00,        +1.112279745431e+02,        -7.743315345287e+00,        -1.428092558514e+02,        +2.839635957954e+00,        +2.725359658795e+00,        -8.081409351403e-02,        -1.538440059948e+02,        +2.779378352748e+00,        -1.349176309942e+02,        +7.394172209019e+00,        -1.223015321954e+00,        -2.451610593637e-02,        -1.290697799151e+02,        +6.862191716400e+00,        +1.159486413016e+02,        -2.695792313212e-01,        +1.311145355864e+00,        -2.972031494605e-02,        +3.583208556047e+01,        -2.529732678610e+00,        -5.479190130097e+01,        +1.105383509083e+00,        -4.306047385527e+00,        +1.309309325780e-01,        -5.024068378277e+01,        +7.733769955334e-01,        -4.710083405196e+01,        +2.648563391198e+00,        -4.828477453207e+00,        +1.420020878711e-01,        -5.213107764336e+01,        +2.624793657785e+00,        +4.318197091424e+01,        -2.548225236565e-01,        -4.973473230192e+00,        +1.522571026680e-01
 6.00e+00,        -1.641669275627e+02,        -5.319749075363e+01,        -8.994465061924e+01,        -2.420564564263e+01,        -1.035703891897e+00,        -5.294545044313e-01,        -1.109902260750e+02,        -3.063084076616e+01,        +1.147587702715e+02,        +3.859094202156e+01,        -2.789580363709e+00,        -8.094274165225e-01,        +9.863129681397e+01,        +3.328201389312e+01,        +1.613386571432e+02,        +4.702030420391e+01,        +2.151141418186e+00,        +7.796000081848e-01,        -5.479088333167e+01,        -1.776432238323e+01,        -3.285251089575e+01,        -8.688260056981e+00,        -1.039679244065e+00,        -2.591298318064e-01,        -4.258483830578e+01,        -1.202047485200e+01,        +4.380429378161e+01,        +1.470417450274e+01,        -9.011893302623e-01,        -1.609587109834e-01,        +3.280718697588e+01,        +1.120011639279e+01,        +5.417890011880e+01,        +1.575352242297e+01,        -4.103594465774e-01,        +1.763655040108e-02
 7.00e+00,        +9.839241372890e-01,        -1.590635608812e-01,        +8.008340266317e+00,        -1.325014811691e+00,        +4.007062070404e+00,        -6.547581145637e-01,        +2.424663851958e+00,        -3.758893931177e-01,        +1.346384862247e-01,        -4.511600027951e-02,        +2.534908792413e+01,        -4.175629078646e+00,        +5.139509730913e+00,        -8.115186404200e-01,        +1.744295213462e+00,        -2.929445374943e-01,        +1.763653794766e+00,        -3.414156830040e-01,        +2.063002377090e+00,        -3.328581515831e-01,        +5.100960880363e+00,        -8.553232602931e-01,        -1.706475863315e+01,        +2.715779539586e+00,        +1.595342141742e+00,        -2.420781667252e-01,        +1.445146040372e+00,        -2.568513502674e-01,        -1.700591027700e+01,        +2.753839610345e+00,        +4.413525588816e+00,        -6.967203897575e-01,        +7.643115194630e-01,        -1.380266154946e-01,        -1.639063254411e+01,        +2.718874519726e+00
 8.00e+00,        -3.446073281583e-01,        -4.580378849658e-01,        -1.403508517479e+00,        -1.080392391756e+00,        -8.154112427756e+00,        -1.012667235341e+01,        +3.364154963088e+00,        +3.134004124144e+00,        -3.544676225511e+00,        -3.271530249884e+00,        +3.188225116914e+00,        +3.210152584006e+00,        +3.971634411854e+00,        +3.578123786943e+00,        -2.632323654145e-01,        -6.777941618685e-02,        +6.607807744594e+00,        +8.689148091170e+00,        +2.359973168201e-01,        +1.066272369700e-01,        -2.150918908152e+00,        -1.757318839195e+00,        -1.461869835422e+01,        -1.480917515286e+01,        +2.492017612926e+00,        +2.208269333045e+00,        -2.586218067957e+00,        -2.270584011937e+00,        +1.386927726971e+00,        +1.549157292494e+00,        +2.866606184918e+00,        +2.430675094406e+00,        -1.248608272160e+00,        -1.016729199165e+00,        +1.580117713027e+01,        +1.614604752639e+01
 9.00e+00,        +2.488770455915e+00,        -6.720307879398e-04,        +1.082694654362e+01,        -9.875910128389e-03,        -5.525302405104e+01,        +4.115581472723e-02,        +1.147575297845e+01,        -6.936967017749e-03,        +3.497986837362e+00,        -2.891604919671e-03,        -2.406505230923e+02,        +2.232076461765e-02,        +9.306421369800e+00,        -5.903275102479e-03,        -1.848005695625e+00,        +4.270683875725e-04,        +1.768267326527e+01,        -4.803133857441e-02,        -8.641801542228e-01,        -3.494449068348e-04,        +3.433592210048e+00,        -5.631546026764e-03,        -3.772351608027e+01,        +2.689765331087e-02,        +3.549225354181e+00,        -3.020524578595e-03,        +2.015543315151e+00,        -3.630320714542e-03,        -1.109133698925e+02,        +1.733593152587e-02,        +2.139670059227e+00,        -1.243395219242e-03,        -2.704222089567e+00,        -1.727897289124e-05,        -8.517453599330e+00,        -1.046101897325e-02
 1.00e+01,        -1.520656758960e+00,        -5.971059855009e-01,        -3.480198937533e+00,        -7.608222609237e-01,        +2.485343223635e+02,        +7.845045480150e+01,        -1.918857010618e+00,        -6.224296239174e-01,        +2.510775050850e+00,        +8.385455927882e-01,        -3.397626423162e+01,        -1.067079893208e+01,        -4.205402025871e+00,        -1.652418903080e+00,        -3.338402156918e-01,        +9.693840775264e-02,        -2.616498470063e+02,        -8.266406917553e+01,        -1.732987799552e+00,        -6.647408060942e-01,        +1.833082144474e+00,        +1.033564758073e+00,        +1.013939875963e+02,        +3.201654786187e+01,        -2.155813462497e+00,        -8.857276548517e-01,        +2.752367305853e+00,        +1.112132599280e+00,        -1.543859129310e+01,        -4.842542400517e+00,        -3.199456128466e+00,        -1.457853461124e+00,        +3.220561866470e+00,        +1.255987216683e+00,        -1.067586146603e+02,        -3.371037355000e+01
