        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +3.292540468113e-10,        +3.292279766321e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.479891643020e-12,        +4.494680194070e-03,        +5.890151079305e-12,        +1.789079755481e-02,        +1.479891643020e-12,        +4.494680194070e-03,        +5.890151079305e-12,        +1.789079755481e-02,        +6.731510119533e-12,        +2.044473009436e-02,        +5.647015262868e-12,        +1.715229465198e-02,        +1.157651825764e-10,        +3.515983590713e-01,        +8.530816590215e-11,        +2.591157858904e-01,        +2.842073180820e-11,        +8.631854971396e-02,        +5.057715721383e-11,        +1.536235095547e-01,        +7.389091736285e-11,        +2.244191622805e-01,        +6.353181947926e-11,        +1.929721165533e-01,        +7.404215875683e-11,        +2.248785078692e-01,        +6.360425530611e-11,        +1.931921337815e-01,        +2.839098002273e-11,        +8.622818853008e-02,        +5.058750313777e-11,        +1.536549343566e-01,        +5.326745216769e-13,        +1.617822246486e-03,        +4.081909250818e-12,        +1.239842765665e-02
 2.00e+00,        +3.292540468113e-10,        +3.292286910578e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.543920603339e-12,        +4.689146931651e-03,        +5.614902501523e-12,        +1.705471805474e-02,        +1.543920603339e-12,        +4.689146931651e-03,        +5.614902501523e-12,        +1.705471805474e-02,        +6.807070366076e-12,        +2.067421929055e-02,        +5.910484592368e-12,        +1.795251979218e-02,        +2.084781197352e-11,        +6.331831658691e-02,        +4.726230709599e-11,        +1.435546426532e-01,        +9.735259808949e-11,        +2.956762385529e-01,        +7.339418686673e-11,        +2.229276756862e-01,        +5.238970355512e-11,        +1.591163542635e-01,        +5.948738436083e-11,        +1.806871210698e-01,        +5.234656714492e-11,        +1.589853417198e-01,        +5.949548570014e-11,        +1.807117280969e-01,        +9.747581193019e-11,        +2.960504597414e-01,        +7.347637671411e-11,        +2.231773193218e-01,        +4.905631486231e-13,        +1.489922913246e-03,        +4.587563226134e-12,        +1.393427532514e-02
 3.00e+00,        +3.292540468113e-10,        +3.292465757719e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.621577305455e-13,        +1.099934029826e-03,        +1.515780869789e-11,        +4.603786284596e-02,        +3.621577305455e-13,        +1.099934029826e-03,        +1.515780869789e-11,        +4.603786284596e-02,        +4.037159810953e-12,        +1.226153436853e-02,        +6.837122910210e-12,        +2.076596512562e-02,        +6.536926208806e-11,        +1.985374598160e-01,        +6.108935409617e-11,        +1.855428684503e-01,        +6.539713501661e-11,        +1.986221145950e-01,        +6.136389771975e-11,        +1.863767226003e-01,        +6.429618692842e-11,        +1.952783498065e-01,        +6.022466631295e-11,        +1.829166064119e-01,        +6.431680670890e-11,        +1.953409755530e-01,        +6.024423746942e-11,        +1.829760486595e-01,        +6.541086129786e-11,        +1.986638036232e-01,        +6.136818732014e-11,        +1.863897511349e-01,        +6.447722993583e-14,        +1.958282079151e-04,        +2.961301245411e-12,        +8.994174771500e-03
 4.00e+00,        +3.292540468113e-10,        +3.292358589853e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.188339574788e-11,        +3.609187453568e-02,        +3.378651723018e-13,        +1.026210125905e-03,        +1.188339574788e-11,        +3.609187453568e-02,        +3.378651723018e-13,        +1.026210125905e-03,        +7.538383493776e-11,        +2.289534044238e-01,        +4.805791517628e-12,        +1.459680465074e-02,        +5.235570886524e-11,        +1.590131066643e-01,        +6.924508690708e-11,        +2.103206106422e-01,        +4.027603584890e-11,        +1.223251050031e-01,        +5.828847498451e-11,        +1.770416963819e-01,        +5.128562810942e-11,        +1.557630911635e-01,        +6.878680197954e-11,        +2.089286452318e-01,        +5.124474473789e-11,        +1.556389214777e-01,        +6.871199066851e-11,        +2.087014181271e-01,        +4.020161614680e-11,        +1.220990798326e-01,        +5.815641015600e-11,        +1.766405710947e-01,        +6.623082417401e-12,        +2.011541689933e-02,        +9.034375997217e-13,        +2.744043745739e-03
 5.00e+00,        +3.292540468113e-10,        +3.292383640173e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.385262904430e-15,        +2.546745586163e-05,        +5.348694993162e-16,        +1.624566143477e-06,        +8.385262904430e-15,        +2.546745586163e-05,        +5.348694993162e-16,        +1.624566143477e-06,        +5.036082096838e-14,        +1.529542961009e-04,        +3.987905865718e-15,        +1.211251877533e-05,        +6.011752965912e-11,        +1.825870638230e-01,        +7.100997874825e-11,        +2.156795395342e-01,        +6.110172957036e-11,        +1.855762447329e-01,        +7.040222299648e-11,        +2.138335950205e-01,        +6.837269622715e-11,        +2.076593951975e-01,        +6.327171766034e-11,        +1.921760176679e-01,        +7.230080393708e-11,        +2.195897199664e-01,        +5.983342763744e-11,        +1.817328542986e-01,        +6.729856486724e-11,        +2.043970773298e-01,        +6.471579463250e-11,        +1.965621315902e-01,        +3.976466451195e-15,        +1.207719841170e-05,        +6.995668782035e-16,        +2.124803651882e-06
 6.00e+00,        +3.292540468113e-10,        +3.292383388868e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.418604220821e-16,        +2.556871905555e-06,        +7.838973419906e-16,        +2.380941857018e-06,        +8.418604220821e-16,        +2.556871905555e-06,        +7.838973419906e-16,        +2.380941857018e-06,        +4.903136995445e-15,        +1.489165294377e-05,        +1.321600474981e-15,        +4.014114757867e-06,        +7.157917259422e-11,        +2.173980040259e-01,        +6.072655790175e-11,        +1.844455846396e-01,        +7.066538517176e-11,        +2.146226777048e-01,        +6.133661950508e-11,        +1.862985328880e-01,        +6.322859220776e-11,        +1.920358848133e-01,        +6.835090028814e-11,        +2.076031015077e-01,        +5.927385098950e-11,        +1.800246695934e-01,        +7.174774103672e-11,        +2.179203712402e-01,        +6.450105095625e-11,        +1.959005563665e-01,        +6.707418061580e-11,        +2.037253038106e-01,        +2.498943622966e-16,        +7.589712707157e-07,        +2.340414962988e-16,        +7.108573597173e-07
 7.00e+00,        +3.292540468113e-10,        +3.292387787723e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.739642937142e-12,        +8.320757067908e-03,        +6.514773431968e-12,        +1.978738183959e-02,        +2.739642937142e-12,        +8.320757067908e-03,        +6.514773431968e-12,        +1.978738183959e-02,        +9.696852987085e-12,        +2.945097586801e-02,        +4.956559444081e-12,        +1.505460402497e-02,        +8.564598443437e-11,        +2.601212810103e-01,        +6.978081991946e-11,        +2.119459323099e-01,        +4.493372528426e-11,        +1.364712923635e-01,        +5.700182347287e-11,        +1.731321677399e-01,        +6.916915256659e-11,        +2.100783672561e-01,        +6.545659402892e-11,        +1.988119208588e-01,        +7.270822723857e-11,        +2.208271331597e-01,        +6.668886430319e-11,        +2.025547068054e-01,        +4.269699268937e-11,        +1.296779587157e-01,        +5.618994643803e-11,        +1.706662460831e-01,        +1.663468673899e-12,        +5.052234558722e-03,        +2.649397733761e-12,        +8.047040338445e-03
 8.00e+00,        +3.292540468113e-10,        +3.292387102892e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.682716561239e-12,        +8.147862075561e-03,        +6.325254957916e-12,        +1.921175961466e-02,        +2.682716561239e-12,        +8.147862075561e-03,        +6.325254957916e-12,        +1.921175961466e-02,        +9.621326676125e-12,        +2.922158973991e-02,        +4.937522757280e-12,        +1.499678683877e-02,        +3.860581110466e-11,        +1.172523511208e-01,        +5.435964283098e-11,        +1.651070822845e-01,        +8.164038163639e-11,        +2.479555906056e-01,        +6.968348130926e-11,        +2.116503288694e-01,        +5.707485700611e-11,        +1.733459544654e-01,        +6.070950657646e-11,        +1.843935864137e-01,        +5.379305253115e-11,        +1.633785614850e-01,        +5.973571412038e-11,        +1.814358769292e-01,        +8.416430422414e-11,        +2.556211686363e-01,        +7.076929265479e-11,        +2.149482744378e-01,        +1.671597071469e-12,        +5.076921871296e-03,        +2.718295082165e-12,        +8.256304611865e-03
 9.00e+00,        +3.292540468113e-10,        +3.292352542580e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.644600672561e-13,        +4.994929260518e-04,        +2.652670155910e-13,        +8.057065947837e-04,        +1.644600672561e-13,        +4.994929260518e-04,        +2.652670155910e-13,        +8.057065947837e-04,        +7.599593696591e-13,        +2.308124613863e-03,        +4.732645245458e-13,        +1.437466123160e-03,        +7.494350469474e-11,        +2.276160473062e-01,        +6.344877171295e-11,        +1.927156065226e-01,        +7.680794631634e-11,        +2.332786705591e-01,        +7.035604861028e-11,        +2.136953673714e-01,        +4.996948817887e-11,        +1.517657525027e-01,        +6.208557911370e-11,        +1.885751246586e-01,        +4.994891546135e-11,        +1.517032696943e-01,        +6.212090561808e-11,        +1.886824233270e-01,        +7.664123761977e-11,        +2.327723481671e-01,        +7.031152122111e-11,        +2.135601224710e-01,        +1.853510329376e-14,        +5.629423077186e-05,        +1.738964417083e-13,        +5.281829313820e-04
 1.00e+01,        +3.292540468113e-10,        +3.292361489009e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.411973474674e-14,        +4.288401276607e-05,        +3.119050929215e-13,        +9.473598022659e-04,        +1.411973474674e-14,        +4.288401276607e-05,        +3.119050929215e-13,        +9.473598022659e-04,        +1.725463937273e-13,        +5.240524616123e-04,        +4.086987334806e-13,        +1.241354373889e-03,        +4.936201614830e-11,        +1.499207576228e-01,        +6.438195591827e-11,        +1.955494745434e-01,        +6.074494529161e-11,        +1.844926307813e-01,        +6.504978470912e-11,        +1.975778933336e-01,        +7.901256448301e-11,        +2.399744672791e-01,        +6.695063627314e-11,        +2.033514135572e-01,        +7.906337418599e-11,        +2.401287849054e-01,        +6.696317351211e-11,        +2.033894933338e-01,        +6.087578456130e-11,        +1.848900116821e-01,        +6.506543067758e-11,        +1.976254153586e-01,        +8.696012585931e-15,        +2.641125498729e-05,        +1.045639842450e-13,        +3.175956971738e-04
