        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.334844799976e+00,        +9.327141151307e-05,        +1.251640113494e+04,        +1.107162891615e-13,        +8.712977745138e-09
 2.00e+00,        +2.359439718808e+00,        +9.170354134680e-05,        +1.286449621213e+04,        +1.223338958122e-13,        +9.627301124687e-09
 3.00e+00,        +2.440301521870e+00,        +2.820984128266e-05,        +4.325266309692e+04,        +9.098374541755e-14,        +7.160288528213e-09
 4.00e+00,        +2.593526952740e+00,        +8.202432715043e-05,        +1.580949849964e+04,        +6.361616730401e-14,        +5.006705227310e-09
 5.00e+00,        +2.606356618371e+00,        +6.207891618356e-05,        +2.099228513755e+04,        +1.098942967579e-13,        +8.648906794139e-09
 6.00e+00,        +2.606551269424e+00,        +6.217684830154e-05,        +2.096078638084e+04,        +1.220170455868e-13,        +9.602992535950e-09
 7.00e+00,        +2.701345170714e+00,        +6.402514204242e-05,        +2.109597171751e+04,        +9.426578626172e-14,        +7.419109798152e-09
 8.00e+00,        +2.702856338842e+00,        +6.433118484642e-05,        +2.100735705444e+04,        +1.081860655510e-13,        +8.514697424012e-09
 9.00e+00,        +2.722813340152e+00,        +7.781380439261e-05,        +1.749569605623e+04,        +1.208579516252e-13,        +9.512082802410e-09
 1.00e+01,        +2.741374320206e+00,        +7.453430745633e-05,        +1.839001672368e+04,        +1.084040311593e-13,        +8.531947354204e-09
 1.10e+01,        +2.799535049921e+00,        +9.573192597052e-05,        +1.462174203212e+04,        +9.041825490306e-14,        +7.116497420809e-09
 1.20e+01,        +2.876229192374e+00,        +1.032422200410e-04,        +1.392952027323e+04,        +8.932302477157e-14,        +7.030458473976e-09
 1.30e+01,        +2.955183187262e+00,        +1.175095807828e-04,        +1.257422233112e+04,        +1.350989310248e-13,        +1.063365997266e-08
 1.40e+01,        +2.985143812026e+00,        +1.151958693016e-04,        +1.295681794993e+04,        +1.214983980414e-13,        +9.563250177918e-09
 1.50e+01,        +3.034598267098e+00,        +8.086080194744e-05,        +1.876433448031e+04,        +7.934105925956e-14,        +6.245106271135e-09
 1.60e+01,        +3.036461327838e+00,        +8.098421951694e-05,        +1.874724080216e+04,        +1.022256534605e-13,        +8.046406984299e-09
