        m,         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²)
 1.00e+00,        +2.250667519771e-12,        +1.440754741282e-08,        -2.200989138895e-12,        +1.295934441053e-08,        -4.838704518883e-12,        -3.457241645855e-08,        -1.370427776929e-12,        -1.382810426465e-09,        -4.482211016289e-13,        +6.323319629830e-09,        +1.570686654367e-12,        +1.878731535186e-10,        -1.787550818619e-12,        -3.032837942045e-09,        -2.441716097245e-13,        -2.436810578175e-08,        +5.670767756182e-12,        +3.924017323028e-08,        +6.903451402832e-13,        +3.479603240470e-08,        -3.503951342812e-12,        -1.768068524607e-08,        +8.842808128313e-12,        -7.016849990258e-08,        +1.882716860105e-12,        +1.228647672981e-08,        -4.221630899645e-12,        -1.507219249433e-08,        +2.816934034204e-13,        +4.662103050509e-09,        +3.398418420466e-12,        +5.520449161576e-09,        -4.658876347921e-13,        -4.769023024182e-08,        -9.660283029655e-12,        +8.100530051528e-08
 2.00e+00,        -2.884156840547e-12,        -7.337409619785e-09,        -1.459441062497e-12,        -2.685704833867e-09,        -1.756323385403e-12,        +6.313753037872e-08,        -3.085613696105e-12,        -7.571311599799e-09,        -2.119149290486e-12,        -4.735236572904e-09,        +2.535451452959e-12,        +6.913167221190e-08,        -1.968769213708e-12,        -3.327045754733e-09,        -3.586039121175e-12,        +3.500478102181e-09,        -1.748973012232e-12,        +5.055543975921e-08,        -4.395606998055e-12,        -3.017257339551e-09,        -1.707731912637e-12,        -4.945253144404e-09,        -2.886844315254e-11,        +1.247959975179e-07,        -3.184518889068e-12,        -6.648688984600e-09,        -3.040998272486e-12,        -2.561358682713e-09,        -2.855584931374e-11,        +1.490605408703e-07,        -2.020414253732e-12,        -8.098459533378e-09,        -3.175993991373e-12,        -5.625183546882e-09,        -2.955859135712e-11,        +1.179719346090e-07
 3.00e+00,        +2.627043481618e-12,        +2.069568911288e-09,        +1.509737382395e-12,        -8.630219916561e-10,        -3.085665217980e-11,        +5.045162065600e-07,        +2.206618748199e-12,        +3.410480538861e-09,        +1.861898675130e-12,        +2.206227804398e-09,        -2.873924977707e-11,        +4.847454005381e-07,        +3.027293882193e-12,        -9.436351923441e-09,        +3.003299209304e-12,        -3.784687540519e-09,        -2.896927804936e-11,        +4.827251724721e-07,        +4.248762087833e-12,        -4.174429708534e-09,        +1.987843988368e-12,        -2.785769636982e-09,        -1.133481582926e-10,        +1.250847808596e-06,        +3.974137602478e-12,        -5.622670649512e-09,        +2.935882197151e-12,        -2.586192209458e-09,        -1.119861404884e-10,        +1.247536264832e-06,        +3.032953826404e-12,        -5.364275654153e-09,        +3.278211381237e-12,        -2.597500585826e-09,        -1.138203034985e-10,        +1.252344663722e-06
 4.00e+00,        +3.593110003878e-11,        -2.162327433587e-08,        -1.031786349485e-09,        +5.984460666345e-07,        -4.165054544342e-11,        +1.622293483157e-08,        +6.454730706817e-10,        -3.778341346438e-07,        -8.461308910117e-10,        +4.925051228283e-07,        +7.469340064099e-12,        -2.953617301441e-09,        +9.977129563369e-10,        -5.783776936496e-07,        -2.115532256852e-10,        +1.238293618572e-07,        +2.960316466696e-11,        -1.112984846080e-08,        +3.706919048723e-11,        -1.960762940233e-08,        -1.835110469555e-09,        +1.003223633781e-06,        -1.990489644059e-11,        +1.017021500227e-08,        +1.214826164775e-09,        -6.640991642846e-07,        -1.428364966419e-09,        +7.817515414459e-07,        +2.020338907692e-12,        -8.974308256297e-10,        +1.843597338956e-09,        -1.006791457769e-06,        -2.940803049352e-10,        +1.604573346156e-07,        +1.351434176156e-11,        -6.858711813876e-09
 5.00e+00,        -2.768948045192e-12,        -8.797119180579e-10,        +1.885184096639e-11,        -1.349355086640e-08,        -9.373582208262e-11,        +3.518232259601e-07,        -1.513196218147e-11,        +1.652745981341e-08,        +1.701572762552e-11,        -1.227917015466e-08,        -1.395914489725e-13,        +7.797024050997e-09,        -2.131525624638e-11,        +2.263684359339e-08,        +5.796082911811e-12,        -2.878858753589e-09,        +9.231615808876e-11,        -3.552961905815e-07,        -2.989051440625e-12,        -6.784208559203e-10,        +3.392246165986e-11,        -2.619118757690e-08,        -1.640743242889e-11,        +6.116086900909e-08,        -2.432158567078e-11,        +1.802303167978e-08,        +2.705155648182e-11,        -1.982599045870e-08,        -8.849220467270e-13,        +5.345940970097e-09,        -3.508906039481e-11,        +2.891229766789e-08,        +6.525426751197e-12,        -4.914318094433e-09,        +1.733604829145e-11,        -6.415166945968e-08
 6.00e+00,        +7.780172038954e-13,        +3.775961945562e-09,        +4.876434446761e-12,        -2.324998109173e-09,        -7.072096962428e-11,        +2.384429347759e-07,        -7.407622869226e-13,        +4.486370619465e-09,        +4.544257627668e-12,        -2.339455901780e-09,        +1.216985306900e-10,        -3.975415981071e-07,        +2.300862197927e-12,        -4.224758358354e-09,        +5.321727558376e-12,        -6.646852768269e-09,        -5.324233559125e-11,        +1.667350813262e-07,        +5.029766096211e-12,        -5.071808925092e-09,        +7.476713553961e-12,        -6.359434141440e-09,        -1.313937130391e-11,        +4.104897932043e-08,        +1.369352422616e-12,        -1.300203189647e-09,        +7.400314441338e-12,        -6.216735702334e-09,        +2.145662455407e-11,        -6.852645657066e-08,        -6.640914764458e-13,        +1.110270231973e-09,        +5.393108511092e-12,        -4.332451117910e-09,        -1.230919425611e-11,        +3.582563834462e-08
 7.00e+00,        -4.020816288368e-10,        -3.759514592011e-07,        +8.370420522181e-10,        +6.856788491245e-07,        +1.197954817537e-11,        +1.063707506578e-08,        -7.106494707608e-10,        -5.672921672796e-07,        +8.596607488515e-10,        +7.162862850677e-07,        +6.914281838685e-12,        +5.297771462529e-09,        -7.527253093460e-10,        -5.775676203394e-07,        +5.401966289435e-10,        +5.034819217159e-07,        -4.622225599669e-14,        -1.282548972444e-09,        -6.440248725700e-10,        -5.786200809764e-07,        +9.219620175193e-10,        +8.000215933853e-07,        +7.398733650643e-12,        +7.272781956001e-09,        -7.197446667876e-10,        -6.069881897405e-07,        +8.691310072778e-10,        +7.711416080145e-07,        +5.773322298707e-12,        +4.675272768940e-09,        -7.849482510142e-10,        -6.380566228007e-07,        +7.994883893447e-10,        +7.412542151485e-07,        -1.096630076567e-11,        -1.102138883925e-08
 8.00e+00,        -2.447998417864e-10,        +5.358676716104e-07,        -1.847204481031e-10,        +5.605668703848e-07,        +4.324663443413e-12,        -6.132325791565e-09,        -2.688199654390e-10,        +5.805330294327e-07,        -1.874468121533e-10,        +4.557584606296e-07,        +1.124991129139e-11,        -1.697073529445e-08,        -2.656842714037e-10,        +6.754985246723e-07,        -1.640045437270e-10,        +3.753475469748e-07,        +6.529335322982e-12,        -1.423529307452e-08,        -3.754952281271e-10,        +7.841652621744e-07,        -2.645724317425e-10,        +6.519495379195e-07,        +5.298718813956e-12,        -8.819683542065e-09,        -3.768681067065e-10,        +7.822843116112e-07,        -2.681218257102e-10,        +6.145526305675e-07,        +1.081133092721e-11,        -1.876728384945e-08,        -3.736642961464e-10,        +8.105026263472e-07,        -2.586757042039e-10,        +5.864898021772e-07,        +8.034855072860e-12,        -1.738864097244e-08
 9.00e+00,        +2.468110271096e-10,        -7.635692883468e-07,        -1.867228013460e-11,        +1.194331575778e-07,        -1.990336547663e-12,        -3.542306996921e-09,        +2.609586601706e-11,        -1.866939766871e-07,        -7.709036420948e-11,        +3.722907300103e-07,        +8.505101614618e-13,        +1.046703971228e-10,        -4.862385722836e-11,        +1.376503315768e-07,        -2.412120721057e-10,        +7.675746586335e-07,        +3.382433566484e-12,        -1.953809450093e-09,        +1.879741115466e-10,        -5.795335835458e-07,        -3.416776010603e-11,        +9.830030793757e-08,        -1.195662596815e-12,        +5.020386793717e-09,        +7.804580061792e-11,        -2.308237814250e-07,        -1.312362455800e-10,        +4.037887144105e-07,        -2.133800955008e-13,        +2.697675297232e-10,        -4.492534872030e-11,        +1.611684483746e-07,        -1.894048618023e-10,        +5.981678678941e-07,        +1.472820171390e-12,        -7.032518466868e-09
 1.00e+01,        +3.246119021044e-12,        -2.296090486386e-07,        -3.010287243236e-11,        -3.354661695399e-07,        +7.917392063764e-13,        +3.627112525752e-11,        +9.058133788046e-12,        -6.169355995945e-07,        +2.052933740289e-11,        -4.641103885656e-07,        +3.768756306067e-12,        -3.627427288929e-09,        -3.585108212035e-11,        -3.567883955689e-07,        +5.239584926733e-12,        +5.729227865395e-08,        +1.695400132856e-12,        +2.219003716010e-09,        -1.736820785200e-13,        -1.584444946559e-07,        +1.391718045754e-11,        -4.833032243349e-07,        +1.676259033245e-12,        +7.269768595718e-10,        +1.580388334389e-11,        -4.962420510398e-07,        +1.380249689311e-11,        -3.133321423535e-07,        +3.288908340618e-12,        -2.775931360072e-09,        +8.394636920030e-12,        -4.966861145024e-07,        -5.784517988312e-12,        +1.029390022336e-07,        +1.550790501828e-12,        +1.374447421975e-09
 1.10e+01,        -3.491190472984e-11,        +1.766961590496e-08,        -2.993492898949e-10,        +5.534767249796e-07,        +2.114114416994e-12,        -5.081360060758e-09,        +1.985769582861e-10,        -3.862035673427e-07,        -2.433111440700e-10,        +4.668049389942e-07,        -2.568297178755e-12,        +7.379199452476e-09,        +3.052440521882e-10,        -5.589766144891e-07,        -2.034736172364e-11,        +7.390601306723e-08,        +4.512252930658e-14,        +1.433618555726e-09,        -2.595171807104e-11,        +1.314699420333e-08,        -2.805406314228e-10,        +3.101185279031e-07,        -5.180280432115e-13,        -1.402582332699e-09,        +1.713358216034e-10,        -1.890243199668e-07,        -1.993532809076e-10,        +2.242794448337e-07,        -2.189064726702e-12,        +6.400970983161e-09,        +2.882685757483e-10,        -3.095873267502e-07,        -1.824212058767e-11,        +3.357362444320e-08,        +6.323746373664e-13,        -3.447056052576e-09
 1.20e+01,        -3.207385639920e-11,        -8.847230336688e-08,        -2.665650619251e-11,        +1.757319699932e-08,        +6.909746601422e-12,        +1.354359331365e-08,        +1.556088509500e-11,        -2.353084390654e-08,        -1.198602751043e-11,        +3.863823368600e-08,        -1.750307223955e-12,        +5.410627511890e-10,        +3.756046589919e-11,        -4.474998497670e-09,        +2.433903529946e-11,        +7.143627662817e-08,        -4.431258833721e-12,        +1.766180764161e-10,        -2.757214765793e-11,        -8.012117595085e-08,        +5.364298115570e-11,        +2.098387597438e-07,        +1.779656083584e-12,        -1.680860285778e-10,        -4.316150730415e-11,        -1.544617909194e-07,        +5.477321196459e-11,        +1.944495913229e-07,        -9.112215772257e-13,        +4.259237456711e-09,        -4.575408821635e-11,        -1.893315956357e-07,        +3.404478020965e-11,        +1.067640674978e-07,        -2.323167373383e-12,        -9.676325859334e-09
 1.30e+01,        +1.272719086724e-12,        +1.302233192881e-07,        +2.069562359513e-12,        -5.541740804328e-08,        -1.629091252117e-11,        -4.365307162998e-08,        +8.669754958548e-13,        +5.021963446974e-08,        -2.085422938934e-12,        -8.914790411379e-08,        +3.951655336759e-12,        +3.316989137925e-09,        -7.260788277092e-12,        +1.011332974114e-08,        -4.546289384517e-13,        -1.494266512996e-07,        +1.780845182035e-11,        +3.986292949625e-08,        -6.993087800740e-12,        +1.425711852650e-07,        +1.928435714160e-11,        -1.161828678814e-07,        -3.997610083866e-12,        -1.929309214765e-08,        -1.274841706581e-11,        +9.775514312518e-08,        +1.363962386730e-11,        -1.434234483525e-07,        +4.191239423873e-13,        +3.792686996285e-09,        -1.967807580725e-11,        +6.003534472216e-08,        +1.117825921173e-11,        -1.747084628821e-07,        +4.198056947570e-12,        +1.918523466964e-08
 1.40e+01,        -1.080240591027e-11,        +9.611972184083e-09,        -1.981996997066e-11,        +2.959224241457e-08,        +1.135356176788e-11,        +3.741595024356e-08,        -1.397941576528e-11,        +3.676755762890e-08,        -4.616145386191e-12,        +2.635189386904e-08,        +4.768718716963e-11,        +6.683179916213e-08,        -2.112517500011e-11,        +2.925293496070e-08,        +1.517925963216e-11,        +2.655997811948e-08,        -6.747676835967e-12,        +1.021521480189e-08,        -2.038318327731e-12,        +1.792662980842e-08,        -7.348238004020e-12,        +2.584928966454e-08,        -4.049473350050e-12,        +2.686144589168e-08,        -1.969542092355e-12,        +3.622232433853e-08,        -4.212058599598e-13,        +2.350629265842e-08,        +1.248169564018e-11,        +5.147075631843e-08,        -6.107688336891e-12,        +2.968029906677e-08,        +6.522230506762e-12,        +1.004221653788e-08,        -7.242693647719e-12,        +2.073363775520e-08
