        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m)
 1.00e+00,        +1.487332799511e+01,        -8.551402040040e-03,        +7.331248492016e+01,        +1.221732540065e-02,        +1.859798912712e+01,        -8.404974153871e-04,        +2.221817973008e+01,        -6.999443829961e-03,        +4.304292796768e+00,        -8.305428442240e-03,        +1.601073046121e+01,        -1.452684266802e-03,        +8.430605839527e+01,        +1.202587031261e-02,        -4.879765700650e+00,        -1.041361881577e-02,        +1.773901845549e+01,        -6.644955524374e-04,        +1.439721098986e+02,        +2.325547433260e-02,        +1.025012945489e+02,        +1.911789639500e-02,        +2.436440300940e+01,        +1.409279306034e-03,        +1.446353488882e+02,        +2.324245141330e-02,        +1.079610733078e+02,        +1.703886932207e-02,        +2.388490155444e+01,        +8.296897622378e-04,        +1.393504664061e+02,        +2.560036888895e-02,        +1.098412376704e+02,        +1.751359482531e-02,        +2.479408950106e+01,        +1.924826096799e-03
 2.00e+00,        +1.003069688770e+01,        -7.364250495112e-03,        -8.847493884957e+01,        +6.741566845477e-03,        +1.850917249981e+00,        +2.389167133808e-04,        +6.705207814096e+01,        -3.871215895105e-03,        -8.144901137685e+01,        +5.883516358344e-03,        -2.933918676473e+00,        -4.279190665633e-04,        +7.451134520774e+01,        -5.053470486592e-03,        -2.592082028170e+01,        +9.526524902524e-03,        -3.319312805975e+00,        -3.200931231700e-04,        +1.019956733527e+02,        +4.803300340207e-04,        -1.320554554873e+02,        +1.569405942128e-03,        +2.012080626150e+00,        -6.104116414966e-05,        +9.735908906613e+01,        -4.918095719126e-04,        -1.376711910595e+02,        +2.655983426146e-04,        -4.989417203159e-01,        -1.154873472052e-05,        +9.900701435841e+01,        -2.032543106154e-03,        -1.413484800029e+02,        -4.129711022399e-04,        +2.639619586151e-01,        +3.682650130984e-04
 3.00e+00,        -8.428671503540e-01,        -5.345287391232e-04,        +3.384839122639e+02,        +3.651496265416e-02,        -5.543966780951e-01,        -3.542516357181e-05,        -2.131239047004e+02,        -2.303068739654e-02,        +2.524139940816e+02,        +2.729659870193e-02,        +2.030095705880e-01,        +1.181168400722e-04,        -3.252013810887e+02,        -3.457867410086e-02,        +5.868032836204e+01,        +6.853970525853e-03,        -7.646300409115e-01,        -1.790105976811e-04,        -2.299700487303e+00,        -3.047758000637e-03,        +2.543772404649e+02,        +3.089596070755e-02,        +2.300379366384e-01,        +1.971366078818e-04,        -1.629117568540e+02,        -2.007678179026e-02,        +1.947043401407e+02,        +2.457763297654e-02,        -5.217780881686e-02,        -1.831344360882e-05,        -2.485067241084e+02,        -2.931819894757e-02,        +4.738572150207e+01,        +8.991446878367e-03,        -5.082345559915e-01,        -3.440159003591e-04
 4.00e+00,        +1.900069080217e+01,        +3.477455485417e-02,        -6.915986511880e+00,        -1.862175885241e-02,        -6.936825048336e+01,        -1.550709221585e-01,        +1.212722739276e+01,        +1.418830929477e-02,        +7.443874022538e+00,        +8.661978725113e-03,        -8.694654707075e+01,        -1.874084268459e-01,        +3.063501563523e-01,        -3.737544863477e-03,        +1.584729478925e+01,        +3.096680935529e-02,        -6.933879121497e+01,        -1.557205891728e-01,        +3.606933514579e+01,        +6.545393242588e-02,        -4.167320527024e+00,        -9.530884980936e-03,        +1.906353700752e+02,        +3.317173492391e-01,        +2.672383619406e+01,        +4.568653048339e-02,        +2.379903930343e+01,        +4.133188632792e-02,        +1.852211392253e+02,        +3.225344153335e-01,        +2.173915431131e+00,        +2.663085259477e-03,        +3.893556245940e+01,        +7.125287427020e-02,        +1.904773721640e+02,        +3.314603371040e-01
 5.00e+00,        +1.118435449247e+02,        +2.662302738504e-02,        -1.426450871484e+02,        -3.597316061472e-02,        +2.725740429166e+00,        +3.136389190303e-03,        -1.536301380133e+02,        -3.972869218318e-02,        -1.353958204732e+02,        -3.380859461953e-02,        -1.214652727114e+00,        +3.180733036926e-03,        -1.294991685552e+02,        -3.144768831925e-02,        +1.155421784977e+02,        +2.974701317468e-02,        +1.310659243188e+00,        +2.402696965782e-03,        +3.603500328214e+01,        +8.451349763272e-03,        -5.473095572755e+01,        -1.477896965330e-02,        -4.307780105034e+00,        -5.951476716596e-03,        -5.015307220045e+01,        -1.407593192497e-02,        -4.727673186315e+01,        -1.310668463583e-02,        -4.829575814321e+00,        -5.803215930676e-03,        -5.228502196875e+01,        -1.350785107934e-02,        +4.305145647268e+01,        +1.062712791717e-02,        -4.975378049759e+00,        -6.214724976892e-03
 6.00e+00,        -1.723463845002e+02,        -5.140119017202e-02,        -9.343032530486e+01,        -2.538032643024e-02,        -1.137459271674e+00,        -4.557434315661e-04,        -1.154616182362e+02,        -3.304408298467e-02,        +1.207608340967e+02,        +3.586476301143e-02,        -2.908136860851e+00,        -4.956912265189e-04,        +1.037974180649e+02,        +3.028398389881e-02,        +1.683322805694e+02,        +4.898281391262e-02,        +2.286327697936e+00,        +1.195891057245e-03,        -5.752584507174e+01,        -1.831196240047e-02,        -3.408808106596e+01,        -9.441395424598e-03,        -1.079024928195e+00,        -9.305892744825e-04,        -4.435858931686e+01,        -1.385981593740e-02,        +4.609615612433e+01,        +1.486013416582e-02,        -9.196531670167e-01,        -8.442602614494e-04,        +3.454465768348e+01,        +1.029427688798e-02,        +5.652518405101e+01,        +1.742234747131e-02,        -3.986073104216e-01,        -7.922311803848e-04
 7.00e+00,        +9.964442598343e-01,        -1.443311926090e-03,        +8.119467035161e+00,        -8.778652708779e-03,        +4.057016633731e+00,        -2.797300662157e-02,        +2.450936676271e+00,        -2.955887951883e-03,        +1.431060497526e-01,        -3.238868010954e-04,        +2.568977788792e+01,        -7.093316453787e-02,        +5.199607725534e+00,        -5.182162779791e-03,        +1.769681685819e+00,        -2.526684248492e-03,        +1.800158424699e+00,        -2.102755201819e-02,        +2.089090291974e+00,        -2.814703493915e-03,        +5.174989921887e+00,        -6.002151967821e-03,        -1.727288458644e+01,        -1.852459509605e-04,        +1.611102846613e+00,        -1.918731091416e-03,        +1.470319011718e+00,        -1.856162617302e-03,        -1.722804960937e+01,        -8.335680886640e-03,        +4.464994867850e+00,        -5.089710371005e-03,        +7.781778592202e-01,        -1.637638471128e-03,        -1.662207774742e+01,        +2.032932934284e-03
 8.00e+00,        -5.610664513112e-01,        -1.697553541179e-03,        -1.767627240009e+00,        -3.196184501191e-04,        -1.281916729544e+01,        -2.392463771642e-02,        +4.601546952646e+00,        +1.263180135428e-03,        -4.827464524526e+00,        -8.170353844644e-04,        +4.526634963686e+00,        +1.315807025320e-03,        +5.353289109183e+00,        +2.031361884097e-03,        -2.427370083026e-01,        +1.399423036468e-03,        +1.070870399966e+01,        +2.346941726388e-02,        +2.490402198895e-01,        -1.123289076363e-03,        -2.778123043470e+00,        -1.020970737980e-05,        -2.078277765691e+01,        -2.237469668281e-02,        +3.334216146581e+00,        +5.076689867784e-04,        -3.445388128571e+00,        +1.203421306156e-04,        +2.060763442755e+00,        +1.585969802271e-03,        +3.764259699212e+00,        +6.250170662421e-04,        -1.611167847281e+00,        +1.307964162742e-03,        +2.254430902829e+01,        +2.461580482833e-02
 9.00e+00,        +2.488736498528e+00,        +4.829057434454e-05,        +1.082709389449e+01,        -1.736571040406e-03,        -5.525536260049e+01,        -2.702873943690e-02,        +1.147576365149e+01,        -7.327597329003e-04,        +3.497988776931e+00,        -9.788955301478e-04,        -2.406501794222e+02,        -9.999168073035e-02,        +9.306367406829e+00,        -1.865250953838e-03,        -1.847930284637e+00,        +7.294221104676e-04,        +1.768511162573e+01,        +1.740665925833e-03,        -8.642104478451e-01,        -1.313155102769e-03,        +3.433723464908e+00,        -1.696835656697e-03,        -3.772450011010e+01,        -9.445338940788e-03,        +3.549178631743e+00,        -1.920006197668e-03,        +2.015603950413e+00,        -1.595360962599e-03,        -1.109132133859e+02,        -3.900583756662e-02,        +2.139562451475e+00,        -1.869288704245e-03,        -2.704168616503e+00,        -5.856563243651e-04,        -8.516420086549e+00,        +2.214634276571e-03
 1.00e+01,        -1.624604774181e+00,        -8.698313381169e-04,        -3.561450705754e+00,        +4.510310796257e-05,        +2.606378821833e+02,        +2.052241105871e-02,        -2.015852051108e+00,        -9.048555728099e-05,        +2.643940069045e+00,        +7.271448398191e-04,        -3.561785658580e+01,        -3.788704260278e-03,        -4.495739889869e+00,        -4.053199098929e-04,        -2.976632792410e-01,        +1.205949616380e-03,        -2.744113603844e+02,        -2.184742581522e-02,        -1.847677847284e+00,        -8.813914117473e-04,        +2.041679552790e+00,        +1.082970641261e-03,        +1.063360979813e+02,        +9.302849812042e-03,        -2.314314714744e+00,        -6.317921402497e-04,        +2.949654191821e+00,        +1.416355196859e-03,        -1.618297082409e+01,        -1.445653423313e-03,        -3.473105638818e+00,        -9.390456862681e-04,        +3.439757802473e+00,        +1.691526672753e-03,        -1.119624563790e+02,        -9.721760051058e-03
