        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +3.278294510229e-11,        +3.646292205759e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.182680441979e-15,        +6.657975466113e-05,        +3.817314730640e-14,        +1.046903132067e-03,        +2.761476779656e-11,        +8.423516468823e-01,        +3.139186565521e-11,        +8.609256714431e-01,        +1.858358234327e-12,        +5.668673844065e-02,        +1.691014265605e-12,        +4.637626855395e-02,        +7.168656894189e-13,        +2.186703138422e-02,        +7.574996294547e-13,        +2.077451796809e-02,        +7.059486142022e-13,        +2.153402057074e-02,        +7.540587759539e-13,        +2.068015214916e-02,        +1.866397341864e-12,        +5.693196068994e-02,        +1.697060951683e-12,        +4.654209964310e-02
 2.30020000e+00,        +3.279164991168e-11,        +3.646529882599e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.187296228774e-15,        +6.670284156683e-05,        +3.824621466633e-14,        +1.048838646540e-03,        +2.761740699515e-11,        +8.422085216672e-01,        +3.138866511783e-11,        +8.607817878473e-01,        +1.860861793099e-12,        +5.674803793377e-02,        +1.692966707549e-12,        +4.642678826322e-02,        +7.173669570066e-13,        +2.187651304337e-02,        +7.581595676795e-13,        +2.079126161278e-02,        +7.064243443531e-13,        +2.154281185167e-02,        +7.547073421490e-13,        +2.069659008556e-02,        +1.868912221411e-12,        +5.699354032030e-02,        +1.699024752199e-12,        +4.659292003356e-02
 2.30040000e+00,        +3.280040818823e-11,        +3.646772916503e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.191938483199e-15,        +6.682656113974e-05,        +3.831971121189e-14,        +1.050784134062e-03,        +2.762005293860e-11,        +8.420643054225e-01,        +3.138547532655e-11,        +8.606369534149e-01,        +1.863382160798e-12,        +5.680972474808e-02,        +1.694932378172e-12,        +4.647759586296e-02,        +7.178746432960e-13,        +2.188614968376e-02,        +7.588267129257e-13,        +2.080817013562e-02,        +7.069063295853e-13,        +2.155175403698e-02,        +7.553630491887e-13,        +2.071319126481e-02,        +1.871444001343e-12,        +5.705550951084e-02,        +1.701001831450e-12,        +4.664402940344e-02
 2.30060000e+00,        +3.280922015025e-11,        +3.647021328383e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.196607350018e-15,        +6.695091623509e-05,        +3.839363919050e-14,        +1.052739639653e-03,        +2.762270565893e-11,        +8.419189951003e-01,        +3.138229631938e-11,        +8.604911650816e-01,        +1.865919406780e-12,        +5.687180000728e-02,        +1.696911331145e-12,        +4.652869227658e-02,        +7.183887713494e-13,        +2.189594169137e-02,        +7.595010923325e-13,        +2.082524405387e-02,        +7.073945919988e-13,        +2.156084749224e-02,        +7.560259238106e-13,        +2.072995619540e-02,        +1.873992751518e-12,        +5.711786939574e-02,        +1.702992243395e-12,        +4.669542868153e-02
 2.30080000e+00,        +3.281808601807e-11,        +3.647275139345e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.201302975172e-15,        +6.707590972734e-05,        +3.846800086805e-14,        +1.054705208639e-03,        +2.762536518836e-11,        +8.417725876261e-01,        +3.137912813459e-11,        +8.603444197586e-01,        +1.868473601027e-12,        +5.693426484403e-02,        +1.698903620624e-12,        +4.658007843436e-02,        +7.189093644813e-13,        +2.190588945637e-02,        +7.601827333236e-13,        +2.084248388950e-02,        +7.078891539371e-13,        +2.157009258698e-02,        +7.566959930331e-13,        +2.074688539042e-02,        +1.876558542425e-12,        +5.718062111825e-02,        +1.704996042481e-12,        +4.674711880353e-02
 2.30100000e+00,        +3.282700601398e-11,        +3.647534370691e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.206025505787e-15,        +6.720154451027e-05,        +3.854279852907e-14,        +1.056680886650e-03,        +2.762803155936e-11,        +8.416250798988e-01,        +3.137597081085e-11,        +8.601967143327e-01,        +1.871044814150e-12,        +5.699712039998e-02,        +1.700909301256e-12,        +4.663175527346e-02,        +7.194364462606e-13,        +2.191599337308e-02,        +7.608716636097e-13,        +2.085989016919e-02,        +7.083900379897e-13,        +2.157948969479e-02,        +7.573732841578e-13,        +2.076397936764e-02,        +1.879141445188e-12,        +5.724376583071e-02,        +1.707013283648e-12,        +4.679910071208e-02
 2.30120000e+00,        +3.283598036232e-11,        +3.647799043924e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.210775090189e-15,        +6.732782349712e-05,        +3.861803447685e-14,        +1.058666719626e-03,        +2.763070480457e-11,        +8.414764687908e-01,        +3.137282438710e-11,        +8.600480456662e-01,        +1.873633117396e-12,        +5.706036782584e-02,        +1.702928428183e-12,        +4.668372373801e-02,        +7.199700405126e-13,        +2.192625384010e-02,        +7.615679111904e-13,        +2.087746342439e-02,        +7.088972669929e-13,        +2.158903919331e-02,        +7.580578247715e-13,        +2.078123864949e-02,        +1.881741531569e-12,        +5.730730469459e-02,        +1.709044022330e-12,        +4.685137535679e-02
 2.30140000e+00,        +3.284500928943e-11,        +3.648069180742e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.215551877909e-15,        +6.745474962073e-05,        +3.869371103364e-14,        +1.060662753818e-03,        +2.763338495689e-11,        +8.413267511476e-01,        +3.136968890266e-11,        +8.598984105965e-01,        +1.876238582652e-12,        +5.712400828140e-02,        +1.704961057041e-12,        +4.673598477907e-02,        +7.205101713206e-13,        +2.193667126020e-02,        +7.622715043560e-13,        +2.089520419130e-02,        +7.094108640325e-13,        +2.159874146422e-02,        +7.587496427485e-13,        +2.079866376312e-02,        +1.884358873977e-12,        +5.737123888053e-02,        +1.711088314464e-12,        +4.690394369428e-02
 2.30160000e+00,        +3.285409302371e-11,        +3.648344803045e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.220356019697e-15,        +6.758232583365e-05,        +3.876983054077e-14,        +1.062669035789e-03,        +2.763607204942e-11,        +8.411759237876e-01,        +3.136656439716e-11,        +8.597478059360e-01,        +1.878861282449e-12,        +5.718804293557e-02,        +1.707007243970e-12,        +4.678853935475e-02,        +7.210568630277e-13,        +2.194724604047e-02,        +7.629824716904e-13,        +2.091311301096e-02,        +7.099308524451e-13,        +2.160859689332e-02,        +7.594487662523e-13,        +2.081625524041e-02,        +1.886993545470e-12,        +5.743556956840e-02,        +1.713146216486e-12,        +4.695680668823e-02
 2.30180000e+00,        +3.286323179560e-11,        +3.648625932938e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.225187667532e-15,        +6.771055510825e-05,        +3.884639535887e-14,        +1.064685612416e-03,        +2.763876611550e-11,        +8.410239835023e-01,        +3.136345091060e-11,        +8.595962284722e-01,        +1.881501289967e-12,        +5.725247296643e-02,        +1.709067045612e-12,        +4.684138843017e-02,        +7.216101402391e-13,        +2.195797859222e-02,        +7.637008420725e-13,        +2.093119042920e-02,        +7.104572558199e-13,        +2.161860587049e-02,        +7.601552237381e-13,        +2.083401361800e-02,        +1.889645619759e-12,        +5.750029794731e-02,        +1.715217785343e-12,        +4.700996530937e-02
