        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -5.694973968964e-03,        +3.062456766773e+00
 2.30020000e+00,        -5.699010997154e-03,        +3.057470900126e+00
 2.30040000e+00,        -5.703080033675e-03,        +3.052484238181e+00
 2.30060000e+00,        -5.707181210731e-03,        +3.047496773280e+00
 2.30080000e+00,        -5.711314661700e-03,        +3.042508497735e+00
 2.30100000e+00,        -5.715480521152e-03,        +3.037519403828e+00
 2.30120000e+00,        -5.719678924922e-03,        +3.032529483807e+00
 2.30140000e+00,        -5.723910010045e-03,        +3.027538729892e+00
 2.30160000e+00,        -5.728173914749e-03,        +3.022547134271e+00
 2.30180000e+00,        -5.732470778547e-03,        +3.017554689097e+00
 2.30200000e+00,        -5.736800742233e-03,        +3.012561386495e+00
 2.30220000e+00,        -5.741163947791e-03,        +3.007567218555e+00
 2.30240000e+00,        -5.745560538553e-03,        +3.002572177335e+00
 2.30260000e+00,        -5.749990659062e-03,        +2.997576254861e+00
 2.30280000e+00,        -5.754454455214e-03,        +2.992579443123e+00
 2.30300000e+00,        -5.758952074160e-03,        +2.987581734080e+00
 2.30320000e+00,        -5.763483664428e-03,        +2.982583119656e+00
 2.30340000e+00,        -5.768049375814e-03,        +2.977583591741e+00
 2.30360000e+00,        -5.772649359415e-03,        +2.972583142190e+00
 2.30380000e+00,        -5.777283767794e-03,        +2.967581762824e+00
 2.30400000e+00,        -5.781952754744e-03,        +2.962579445428e+00
 2.30420000e+00,        -5.786656475498e-03,        +2.957576181753e+00
 2.30440000e+00,        -5.791395086642e-03,        +2.952571963511e+00
 2.30460000e+00,        -5.796168746155e-03,        +2.947566782382e+00
 2.30480000e+00,        -5.800977613407e-03,        +2.942560630008e+00
 2.30500000e+00,        -5.805821849189e-03,        +2.937553497991e+00
 2.30520000e+00,        -5.810701615718e-03,        +2.932545377902e+00
 2.30540000e+00,        -5.815617076622e-03,        +2.927536261270e+00
 2.30560000e+00,        -5.820568396979e-03,        +2.922526139587e+00
 2.30580000e+00,        -5.825555743358e-03,        +2.917515004309e+00
 2.30600000e+00,        -5.830579283773e-03,        +2.912502846852e+00
 2.30620000e+00,        -5.835639187712e-03,        +2.907489658592e+00
 2.30640000e+00,        -5.840735626176e-03,        +2.902475430869e+00
 2.30660000e+00,        -5.845868771647e-03,        +2.897460154981e+00
 2.30680000e+00,        -5.851038798160e-03,        +2.892443822188e+00
 2.30700000e+00,        -5.856245881218e-03,        +2.887426423708e+00
 2.30720000e+00,        -5.861490197974e-03,        +2.882407950720e+00
 2.30740000e+00,        -5.866771927036e-03,        +2.877388394362e+00
 2.30760000e+00,        -5.872091248640e-03,        +2.872367745730e+00
 2.30780000e+00,        -5.877448344586e-03,        +2.867345995879e+00
 2.30800000e+00,        -5.882843398261e-03,        +2.862323135822e+00
 2.30820000e+00,        -5.888276594707e-03,        +2.857299156530e+00
 2.30840000e+00,        -5.893748120517e-03,        +2.852274048931e+00
 2.30860000e+00,        -5.899258164010e-03,        +2.847247803910e+00
 2.30880000e+00,        -5.904806915073e-03,        +2.842220412308e+00
 2.30900000e+00,        -5.910394565305e-03,        +2.837191864923e+00
 2.30920000e+00,        -5.916021308000e-03,        +2.832162152508e+00
 2.30940000e+00,        -5.921687338111e-03,        +2.827131265774e+00
 2.30960000e+00,        -5.927392852309e-03,        +2.822099195382e+00
 2.30980000e+00,        -5.933138049023e-03,        +2.817065931953e+00
 2.31000000e+00,        -5.938923128378e-03,        +2.812031466060e+00
 2.31020000e+00,        -5.944748292280e-03,        +2.806995788228e+00
 2.31040000e+00,        -5.950613744413e-03,        +2.801958888938e+00
 2.31060000e+00,        -5.956519690196e-03,        +2.796920758623e+00
 2.31080000e+00,        -5.962466336911e-03,        +2.791881387669e+00
 2.31100000e+00,        -5.968453893638e-03,        +2.786840766415e+00
 2.31120000e+00,        -5.974482571282e-03,        +2.781798885149e+00
 2.31140000e+00,        -5.980552582596e-03,        +2.776755734113e+00
 2.31160000e+00,        -5.986664142209e-03,        +2.771711303499e+00
 2.31180000e+00,        -5.992817466640e-03,        +2.766665583449e+00
 2.31200000e+00,        -5.999012774299e-03,        +2.761618564057e+00
 2.31220000e+00,        -6.005250285502e-03,        +2.756570235365e+00
 2.31240000e+00,        -6.011530222531e-03,        +2.751520587363e+00
 2.31260000e+00,        -6.017852809575e-03,        +2.746469609993e+00
 2.31280000e+00,        -6.024218272836e-03,        +2.741417293143e+00
 2.31300000e+00,        -6.030626840485e-03,        +2.736363626649e+00
 2.31320000e+00,        -6.037078742684e-03,        +2.731308600295e+00
 2.31340000e+00,        -6.043574211665e-03,        +2.726252203812e+00
 2.31360000e+00,        -6.050113481621e-03,        +2.721194426876e+00
 2.31380000e+00,        -6.056696788908e-03,        +2.716135259112e+00
 2.31400000e+00,        -6.063324371886e-03,        +2.711074690087e+00
 2.31420000e+00,        -6.069996471035e-03,        +2.706012709316e+00
 2.31440000e+00,        -6.076713328966e-03,        +2.700949306257e+00
 2.31460000e+00,        -6.083475190393e-03,        +2.695884470312e+00
 2.31480000e+00,        -6.090282302267e-03,        +2.690818190827e+00
 2.31500000e+00,        -6.097134913614e-03,        +2.685750457092e+00
 2.31520000e+00,        -6.104033275730e-03,        +2.680681258338e+00
 2.31540000e+00,        -6.110977642108e-03,        +2.675610583738e+00
 2.31560000e+00,        -6.117968268445e-03,        +2.670538422408e+00
 2.31580000e+00,        -6.125005412789e-03,        +2.665464763405e+00
 2.31600000e+00,        -6.132089335371e-03,        +2.660389595726e+00
 2.31620000e+00,        -6.139220298790e-03,        +2.655312908306e+00
 2.31640000e+00,        -6.146398567929e-03,        +2.650234690024e+00
 2.31660000e+00,        -6.153624410062e-03,        +2.645154929694e+00
 2.31680000e+00,        -6.160898094770e-03,        +2.640073616071e+00
 2.31700000e+00,        -6.168219894106e-03,        +2.634990737845e+00
 2.31720000e+00,        -6.175590082451e-03,        +2.629906283647e+00
 2.31740000e+00,        -6.183008936709e-03,        +2.624820242041e+00
 2.31760000e+00,        -6.190476736172e-03,        +2.619732601531e+00
 2.31780000e+00,        -6.197993762649e-03,        +2.614643350554e+00
 2.31800000e+00,        -6.205560300473e-03,        +2.609552477482e+00
 2.31820000e+00,        -6.213176636479e-03,        +2.604459970624e+00
 2.31840000e+00,        -6.220843060085e-03,        +2.599365818221e+00
 2.31860000e+00,        -6.228559863264e-03,        +2.594270008447e+00
 2.31880000e+00,        -6.236327340621e-03,        +2.589172529410e+00
 2.31900000e+00,        -6.244145789376e-03,        +2.584073369149e+00
 2.31920000e+00,        -6.252015509428e-03,        +2.578972515636e+00
 2.31940000e+00,        -6.259936803324e-03,        +2.573869956774e+00
 2.31960000e+00,        -6.267909976384e-03,        +2.568765680393e+00
 2.31980000e+00,        -6.275935336572e-03,        +2.563659674258e+00
 2.32000000e+00,        -6.284013194711e-03,        +2.558551926059e+00
 2.32020000e+00,        -6.292143864340e-03,        +2.553442423415e+00
 2.32040000e+00,        -6.300327661892e-03,        +2.548331153876e+00
 2.32060000e+00,        -6.308564906577e-03,        +2.543218104915e+00
 2.32080000e+00,        -6.316855920518e-03,        +2.538103263935e+00
 2.32100000e+00,        -6.325201028724e-03,        +2.532986618262e+00
 2.32120000e+00,        -6.333600559154e-03,        +2.527868155149e+00
 2.32140000e+00,        -6.342054842721e-03,        +2.522747861773e+00
 2.32160000e+00,        -6.350564213303e-03,        +2.517625725235e+00
 2.32180000e+00,        -6.359129007869e-03,        +2.512501732560e+00
 2.32200000e+00,        -6.367749566362e-03,        +2.507375870694e+00
 2.32220000e+00,        -6.376426231869e-03,        +2.502248126506e+00
 2.32240000e+00,        -6.385159350550e-03,        +2.497118486785e+00
 2.32260000e+00,        -6.393949271709e-03,        +2.491986938242e+00
 2.32280000e+00,        -6.402796347891e-03,        +2.486853467505e+00
 2.32300000e+00,        -6.411700934759e-03,        +2.481718061125e+00
 2.32320000e+00,        -6.420663391280e-03,        +2.476580705567e+00
 2.32340000e+00,        -6.429684079683e-03,        +2.471441387217e+00
 2.32360000e+00,        -6.438763365520e-03,        +2.466300092375e+00
 2.32380000e+00,        -6.447901617639e-03,        +2.461156807258e+00
 2.32400000e+00,        -6.457099208333e-03,        +2.456011518000e+00
 2.32420000e+00,        -6.466356513232e-03,        +2.450864210647e+00
 2.32440000e+00,        -6.475673911505e-03,        +2.445714871159e+00
 2.32460000e+00,        -6.485051785725e-03,        +2.440563485410e+00
 2.32480000e+00,        -6.494490522002e-03,        +2.435410039185e+00
 2.32500000e+00,        -6.503990510025e-03,        +2.430254518183e+00
 2.32520000e+00,        -6.513552143086e-03,        +2.425096908009e+00
 2.32540000e+00,        -6.523175818066e-03,        +2.419937194181e+00
 2.32560000e+00,        -6.532861935529e-03,        +2.414775362125e+00
 2.32580000e+00,        -6.542610899792e-03,        +2.409611397174e+00
 2.32600000e+00,        -6.552423118858e-03,        +2.404445284572e+00
 2.32620000e+00,        -6.562299004529e-03,        +2.399277009463e+00
 2.32640000e+00,        -6.572238972459e-03,        +2.394106556902e+00
 2.32660000e+00,        -6.582243442147e-03,        +2.388933911847e+00
 2.32680000e+00,        -6.592312837006e-03,        +2.383759059158e+00
 2.32700000e+00,        -6.602447584394e-03,        +2.378581983599e+00
 2.32720000e+00,        -6.612648115681e-03,        +2.373402669838e+00
 2.32740000e+00,        -6.622914866218e-03,        +2.368221102440e+00
 2.32760000e+00,        -6.633248275514e-03,        +2.363037265874e+00
 2.32780000e+00,        -6.643648787109e-03,        +2.357851144506e+00
 2.32800000e+00,        -6.654116848754e-03,        +2.352662722600e+00
 2.32820000e+00,        -6.664652912432e-03,        +2.347471984318e+00
 2.32840000e+00,        -6.675257434361e-03,        +2.342278913720e+00
 2.32860000e+00,        -6.685930875019e-03,        +2.337083494758e+00
 2.32880000e+00,        -6.696673699264e-03,        +2.331885711282e+00
 2.32900000e+00,        -6.707486376384e-03,        +2.326685547032e+00
 2.32920000e+00,        -6.718369380075e-03,        +2.321482985644e+00
 2.32940000e+00,        -6.729323188501e-03,        +2.316278010642e+00
 2.32960000e+00,        -6.740348284398e-03,        +2.311070605443e+00
 2.32980000e+00,        -6.751445155086e-03,        +2.305860753353e+00
 2.33000000e+00,        -6.762614292541e-03,        +2.300648437564e+00
 2.33020000e+00,        -6.773856193377e-03,        +2.295433641158e+00
 2.33040000e+00,        -6.785171359016e-03,        +2.290216347103e+00
 2.33060000e+00,        -6.796560295631e-03,        +2.284996538251e+00
 2.33080000e+00,        -6.808023514265e-03,        +2.279774197339e+00
 2.33100000e+00,        -6.819561530842e-03,        +2.274549306986e+00
 2.33120000e+00,        -6.831174866270e-03,        +2.269321849694e+00
 2.33140000e+00,        -6.842864046429e-03,        +2.264091807845e+00
 2.33160000e+00,        -6.854629602342e-03,        +2.258859163701e+00
 2.33180000e+00,        -6.866472070056e-03,        +2.253623899403e+00
 2.33200000e+00,        -6.878391990867e-03,        +2.248385996969e+00
 2.33220000e+00,        -6.890389911302e-03,        +2.243145438291e+00
 2.33240000e+00,        -6.902466383141e-03,        +2.237902205140e+00
 2.33260000e+00,        -6.914621963639e-03,        +2.232656279157e+00
 2.33280000e+00,        -6.926857215287e-03,        +2.227407641859e+00
 2.33300000e+00,        -6.939172706244e-03,        +2.222156274631e+00
 2.33320000e+00,        -6.951569010077e-03,        +2.216902158731e+00
 2.33340000e+00,        -6.964046706023e-03,        +2.211645275284e+00
 2.33360000e+00,        -6.976606378986e-03,        +2.206385605283e+00
 2.33380000e+00,        -6.989248619587e-03,        +2.201123129588e+00
 2.33400000e+00,        -7.001974024255e-03,        +2.195857828923e+00
 2.33420000e+00,        -7.014783195276e-03,        +2.190589683877e+00
 2.33440000e+00,        -7.027676740868e-03,        +2.185318674901e+00
 2.33460000e+00,        -7.040655275296e-03,        +2.180044782305e+00
 2.33480000e+00,        -7.053719418817e-03,        +2.174767986262e+00
 2.33500000e+00,        -7.066869797912e-03,        +2.169488266801e+00
 2.33520000e+00,        -7.080107045221e-03,        +2.164205603810e+00
 2.33540000e+00,        -7.093431799669e-03,        +2.158919977030e+00
 2.33560000e+00,        -7.106844706587e-03,        +2.153631366057e+00
 2.33580000e+00,        -7.120346417690e-03,        +2.148339750342e+00
 2.33600000e+00,        -7.133937591215e-03,        +2.143045109185e+00
 2.33620000e+00,        -7.147618892006e-03,        +2.137747421735e+00
 2.33640000e+00,        -7.161390991529e-03,        +2.132446666992e+00
 2.33660000e+00,        -7.175254568039e-03,        +2.127142823801e+00
 2.33680000e+00,        -7.189210306541e-03,        +2.121835870852e+00
 2.33700000e+00,        -7.203258898989e-03,        +2.116525786681e+00
 2.33720000e+00,        -7.217401044333e-03,        +2.111212549663e+00
 2.33740000e+00,        -7.231637448561e-03,        +2.105896138017e+00
 2.33760000e+00,        -7.245968824806e-03,        +2.100576529799e+00
 2.33780000e+00,        -7.260395893429e-03,        +2.095253702903e+00
 2.33800000e+00,        -7.274919382148e-03,        +2.089927635059e+00
 2.33820000e+00,        -7.289540026061e-03,        +2.084598303830e+00
 2.33840000e+00,        -7.304258567751e-03,        +2.079265686614e+00
 2.33860000e+00,        -7.319075757425e-03,        +2.073929760638e+00
 2.33880000e+00,        -7.333992352937e-03,        +2.068590502958e+00
 2.33900000e+00,        -7.349009119922e-03,        +2.063247890459e+00
 2.33920000e+00,        -7.364126831887e-03,        +2.057901899850e+00
 2.33940000e+00,        -7.379346270289e-03,        +2.052552507665e+00
 2.33960000e+00,        -7.394668224665e-03,        +2.047199690260e+00
 2.33980000e+00,        -7.410093492691e-03,        +2.041843423811e+00
 2.34000000e+00,        -7.425622880269e-03,        +2.036483684312e+00
 2.34020000e+00,        -7.441257201709e-03,        +2.031120447576e+00
 2.34040000e+00,        -7.456997279749e-03,        +2.025753689228e+00
 2.34060000e+00,        -7.472843945715e-03,        +2.020383384708e+00
 2.34080000e+00,        -7.488798039547e-03,        +2.015009509265e+00
 2.34100000e+00,        -7.504860410051e-03,        +2.009632037959e+00
 2.34120000e+00,        -7.521031914827e-03,        +2.004250945655e+00
 2.34140000e+00,        -7.537313420500e-03,        +1.998866207026e+00
 2.34160000e+00,        -7.553705802835e-03,        +1.993477796546e+00
 2.34180000e+00,        -7.570209946764e-03,        +1.988085688490e+00
 2.34200000e+00,        -7.586826746599e-03,        +1.982689856933e+00
 2.34220000e+00,        -7.603557106059e-03,        +1.977290275746e+00
 2.34240000e+00,        -7.620401938454e-03,        +1.971886918595e+00
 2.34260000e+00,        -7.637362166819e-03,        +1.966479758940e+00
 2.34280000e+00,        -7.654438723924e-03,        +1.961068770029e+00
 2.34300000e+00,        -7.671632552548e-03,        +1.955653924901e+00
 2.34320000e+00,        -7.688944605488e-03,        +1.950235196380e+00
 2.34340000e+00,        -7.706375845717e-03,        +1.944812557072e+00
 2.34360000e+00,        -7.723927246589e-03,        +1.939385979368e+00
 2.34380000e+00,        -7.741599791873e-03,        +1.933955435436e+00
 2.34400000e+00,        -7.759394475891e-03,        +1.928520897221e+00
 2.34420000e+00,        -7.777312303718e-03,        +1.923082336444e+00
 2.34440000e+00,        -7.795354291307e-03,        +1.917639724597e+00
 2.34460000e+00,        -7.813521465534e-03,        +1.912193032942e+00
 2.34480000e+00,        -7.831814864486e-03,        +1.906742232509e+00
 2.34500000e+00,        -7.850235537479e-03,        +1.901287294093e+00
 2.34520000e+00,        -7.868784545295e-03,        +1.895828188249e+00
 2.34540000e+00,        -7.887462960270e-03,        +1.890364885294e+00
 2.34560000e+00,        -7.906271866469e-03,        +1.884897355303e+00
 2.34580000e+00,        -7.925212359829e-03,        +1.879425568103e+00
 2.34600000e+00,        -7.944285548316e-03,        +1.873949493276e+00
 2.34620000e+00,        -7.963492552121e-03,        +1.868469100151e+00
 2.34640000e+00,        -7.982834503757e-03,        +1.862984357805e+00
 2.34660000e+00,        -8.002312548221e-03,        +1.857495235057e+00
 2.34680000e+00,        -8.021927843257e-03,        +1.852001700469e+00
 2.34700000e+00,        -8.041681559395e-03,        +1.846503722342e+00
 2.34720000e+00,        -8.061574880220e-03,        +1.841001268709e+00
 2.34740000e+00,        -8.081609002479e-03,        +1.835494307340e+00
 2.34760000e+00,        -8.101785136278e-03,        +1.829982805730e+00
 2.34780000e+00,        -8.122104505296e-03,        +1.824466731105e+00
 2.34800000e+00,        -8.142568346908e-03,        +1.818946050411e+00
 2.34820000e+00,        -8.163177912395e-03,        +1.813420730318e+00
 2.34840000e+00,        -8.183934467142e-03,        +1.807890737211e+00
 2.34860000e+00,        -8.204839290796e-03,        +1.802356037190e+00
