        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.412740930546e+01,        +3.775207078443e-01
 2.30020000e+00,        +7.071067811865e+00,        +1.412743885086e+01,        +3.769064898887e-01
 2.30040000e+00,        +7.071067811865e+00,        +1.412746832201e+01,        +3.762921703164e-01
 2.30060000e+00,        +7.071067811865e+00,        +1.412749771883e+01,        +3.756777481887e-01
 2.30080000e+00,        +7.071067811865e+00,        +1.412752704125e+01,        +3.750632225633e-01
 2.30100000e+00,        +7.071067811865e+00,        +1.412755628916e+01,        +3.744485924939e-01
 2.30120000e+00,        +7.071067811865e+00,        +1.412758546250e+01,        +3.738338570306e-01
 2.30140000e+00,        +7.071067811865e+00,        +1.412761456116e+01,        +3.732190152194e-01
 2.30160000e+00,        +7.071067811865e+00,        +1.412764358507e+01,        +3.726040661024e-01
 2.30180000e+00,        +7.071067811865e+00,        +1.412767253412e+01,        +3.719890087179e-01
 2.30200000e+00,        +7.071067811865e+00,        +1.412770140823e+01,        +3.713738421002e-01
 2.30220000e+00,        +7.071067811865e+00,        +1.412773020731e+01,        +3.707585652794e-01
 2.30240000e+00,        +7.071067811865e+00,        +1.412775893127e+01,        +3.701431772818e-01
 2.30260000e+00,        +7.071067811865e+00,        +1.412778758000e+01,        +3.695276771293e-01
 2.30280000e+00,        +7.071067811865e+00,        +1.412781615342e+01,        +3.689120638401e-01
 2.30300000e+00,        +7.071067811865e+00,        +1.412784465142e+01,        +3.682963364278e-01
 2.30320000e+00,        +7.071067811865e+00,        +1.412787307391e+01,        +3.676804939021e-01
 2.30340000e+00,        +7.071067811865e+00,        +1.412790142078e+01,        +3.670645352684e-01
 2.30360000e+00,        +7.071067811865e+00,        +1.412792969195e+01,        +3.664484595276e-01
 2.30380000e+00,        +7.071067811865e+00,        +1.412795788730e+01,        +3.658322656767e-01
 2.30400000e+00,        +7.071067811865e+00,        +1.412798600673e+01,        +3.652159527079e-01
 2.30420000e+00,        +7.071067811865e+00,        +1.412801405014e+01,        +3.645995196094e-01
 2.30440000e+00,        +7.071067811865e+00,        +1.412804201743e+01,        +3.639829653647e-01
 2.30460000e+00,        +7.071067811865e+00,        +1.412806990848e+01,        +3.633662889530e-01
 2.30480000e+00,        +7.071067811865e+00,        +1.412809772318e+01,        +3.627494893488e-01
 2.30500000e+00,        +7.071067811865e+00,        +1.412812546144e+01,        +3.621325655224e-01
 2.30520000e+00,        +7.071067811865e+00,        +1.412815312313e+01,        +3.615155164390e-01
 2.30540000e+00,        +7.071067811865e+00,        +1.412818070815e+01,        +3.608983410597e-01
 2.30560000e+00,        +7.071067811865e+00,        +1.412820821638e+01,        +3.602810383406e-01
 2.30580000e+00,        +7.071067811865e+00,        +1.412823564771e+01,        +3.596636072332e-01
 2.30600000e+00,        +7.071067811865e+00,        +1.412826300201e+01,        +3.590460466842e-01
 2.30620000e+00,        +7.071067811865e+00,        +1.412829027919e+01,        +3.584283556356e-01
 2.30640000e+00,        +7.071067811865e+00,        +1.412831747911e+01,        +3.578105330244e-01
 2.30660000e+00,        +7.071067811865e+00,        +1.412834460165e+01,        +3.571925777829e-01
 2.30680000e+00,        +7.071067811865e+00,        +1.412837164670e+01,        +3.565744888383e-01
 2.30700000e+00,        +7.071067811865e+00,        +1.412839861413e+01,        +3.559562651131e-01
 2.30720000e+00,        +7.071067811865e+00,        +1.412842550381e+01,        +3.553379055245e-01
 2.30740000e+00,        +7.071067811865e+00,        +1.412845231563e+01,        +3.547194089848e-01
 2.30760000e+00,        +7.071067811865e+00,        +1.412847904945e+01,        +3.541007744013e-01
 2.30780000e+00,        +7.071067811865e+00,        +1.412850570515e+01,        +3.534820006758e-01
 2.30800000e+00,        +7.071067811865e+00,        +1.412853228259e+01,        +3.528630867054e-01
 2.30820000e+00,        +7.071067811865e+00,        +1.412855878165e+01,        +3.522440313816e-01
 2.30840000e+00,        +7.071067811865e+00,        +1.412858520219e+01,        +3.516248335908e-01
 2.30860000e+00,        +7.071067811865e+00,        +1.412861154408e+01,        +3.510054922140e-01
 2.30880000e+00,        +7.071067811865e+00,        +1.412863780719e+01,        +3.503860061269e-01
 2.30900000e+00,        +7.071067811865e+00,        +1.412866399136e+01,        +3.497663741997e-01
 2.30920000e+00,        +7.071067811865e+00,        +1.412869009648e+01,        +3.491465952971e-01
 2.30940000e+00,        +7.071067811865e+00,        +1.412871612239e+01,        +3.485266682786e-01
 2.30960000e+00,        +7.071067811865e+00,        +1.412874206895e+01,        +3.479065919977e-01
 2.30980000e+00,        +7.071067811865e+00,        +1.412876793603e+01,        +3.472863653026e-01
 2.31000000e+00,        +7.071067811865e+00,        +1.412879372347e+01,        +3.466659870357e-01
 2.31020000e+00,        +7.071067811865e+00,        +1.412881943114e+01,        +3.460454560338e-01
 2.31040000e+00,        +7.071067811865e+00,        +1.412884505887e+01,        +3.454247711279e-01
 2.31060000e+00,        +7.071067811865e+00,        +1.412887060653e+01,        +3.448039311431e-01
 2.31080000e+00,        +7.071067811865e+00,        +1.412889607396e+01,        +3.441829348988e-01
