        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +2.825327314695e-01,        +7.475178172505e-03
 2.30020000e+00,        +1.414213562373e-01,        +2.825332555513e-01,        +7.462641851503e-03
 2.30040000e+00,        +1.414213562373e-01,        +2.825337777228e-01,        +7.450102111628e-03
 2.30060000e+00,        +1.414213562373e-01,        +2.825342979791e-01,        +7.437558925753e-03
 2.30080000e+00,        +1.414213562373e-01,        +2.825348163149e-01,        +7.425012266603e-03
 2.30100000e+00,        +1.414213562373e-01,        +2.825353327250e-01,        +7.412462106758e-03
 2.30120000e+00,        +1.414213562373e-01,        +2.825358472043e-01,        +7.399908418652e-03
 2.30140000e+00,        +1.414213562373e-01,        +2.825363597475e-01,        +7.387351174568e-03
 2.30160000e+00,        +1.414213562373e-01,        +2.825368703491e-01,        +7.374790346642e-03
 2.30180000e+00,        +1.414213562373e-01,        +2.825373790037e-01,        +7.362225906856e-03
 2.30200000e+00,        +1.414213562373e-01,        +2.825378857060e-01,        +7.349657827042e-03
 2.30220000e+00,        +1.414213562373e-01,        +2.825383904503e-01,        +7.337086078875e-03
 2.30240000e+00,        +1.414213562373e-01,        +2.825388932311e-01,        +7.324510633876e-03
 2.30260000e+00,        +1.414213562373e-01,        +2.825393940427e-01,        +7.311931463411e-03
 2.30280000e+00,        +1.414213562373e-01,        +2.825398928794e-01,        +7.299348538684e-03
 2.30300000e+00,        +1.414213562373e-01,        +2.825403897356e-01,        +7.286761830741e-03
 2.30320000e+00,        +1.414213562373e-01,        +2.825408846052e-01,        +7.274171310468e-03
 2.30340000e+00,        +1.414213562373e-01,        +2.825413774826e-01,        +7.261576948587e-03
 2.30360000e+00,        +1.414213562373e-01,        +2.825418683616e-01,        +7.248978715654e-03
 2.30380000e+00,        +1.414213562373e-01,        +2.825423572364e-01,        +7.236376582063e-03
 2.30400000e+00,        +1.414213562373e-01,        +2.825428441008e-01,        +7.223770518038e-03
 2.30420000e+00,        +1.414213562373e-01,        +2.825433289488e-01,        +7.211160493636e-03
 2.30440000e+00,        +1.414213562373e-01,        +2.825438117740e-01,        +7.198546478742e-03
 2.30460000e+00,        +1.414213562373e-01,        +2.825442925703e-01,        +7.185928443070e-03
 2.30480000e+00,        +1.414213562373e-01,        +2.825447713314e-01,        +7.173306356162e-03
 2.30500000e+00,        +1.414213562373e-01,        +2.825452480507e-01,        +7.160680187382e-03
 2.30520000e+00,        +1.414213562373e-01,        +2.825457227220e-01,        +7.148049905919e-03
 2.30540000e+00,        +1.414213562373e-01,        +2.825461953386e-01,        +7.135415480785e-03
 2.30560000e+00,        +1.414213562373e-01,        +2.825466658939e-01,        +7.122776880809e-03
 2.30580000e+00,        +1.414213562373e-01,        +2.825471343814e-01,        +7.110134074642e-03
 2.30600000e+00,        +1.414213562373e-01,        +2.825476007942e-01,        +7.097487030749e-03
 2.30620000e+00,        +1.414213562373e-01,        +2.825480651256e-01,        +7.084835717411e-03
 2.30640000e+00,        +1.414213562373e-01,        +2.825485273687e-01,        +7.072180102723e-03
 2.30660000e+00,        +1.414213562373e-01,        +2.825489875165e-01,        +7.059520154591e-03
 2.30680000e+00,        +1.414213562373e-01,        +2.825494455621e-01,        +7.046855840730e-03
