        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -6.889352896821e-03,        +3.032329635108e+00
 2.30020000e+00,        -6.897912788209e-03,        +3.027242481644e+00
 2.30040000e+00,        -6.906532547475e-03,        +3.022153974726e+00
 2.30060000e+00,        -6.915212520080e-03,        +3.017064103326e+00
 2.30080000e+00,        -6.923953054494e-03,        +3.011972856361e+00
 2.30100000e+00,        -6.932754502533e-03,        +3.006880222688e+00
 2.30120000e+00,        -6.941617219174e-03,        +3.001786191105e+00
 2.30140000e+00,        -6.950541562633e-03,        +2.996690750349e+00
 2.30160000e+00,        -6.959527894517e-03,        +2.991593889098e+00
 2.30180000e+00,        -6.968576579654e-03,        +2.986495595968e+00
 2.30200000e+00,        -6.977687986284e-03,        +2.981395859513e+00
 2.30220000e+00,        -6.986862486078e-03,        +2.976294668225e+00
 2.30240000e+00,        -6.996100454048e-03,        +2.971192010534e+00
 2.30260000e+00,        -7.005402268745e-03,        +2.966087874805e+00
 2.30280000e+00,        -7.014768312150e-03,        +2.960982249342e+00
 2.30300000e+00,        -7.024198969818e-03,        +2.955875122380e+00
 2.30320000e+00,        -7.033694630876e-03,        +2.950766482094e+00
 2.30340000e+00,        -7.043255688014e-03,        +2.945656316589e+00
 2.30360000e+00,        -7.052882537572e-03,        +2.940544613906e+00
 2.30380000e+00,        -7.062575579580e-03,        +2.935431362019e+00
 2.30400000e+00,        -7.072335217752e-03,        +2.930316548833e+00
 2.30420000e+00,        -7.082161859567e-03,        +2.925200162186e+00
 2.30440000e+00,        -7.092055916297e-03,        +2.920082189847e+00
 2.30460000e+00,        -7.102017803005e-03,        +2.914962619515e+00
 2.30480000e+00,        -7.112047938627e-03,        +2.909841438820e+00
 2.30500000e+00,        -7.122146746054e-03,        +2.904718635321e+00
 2.30520000e+00,        -7.132314652010e-03,        +2.899594196504e+00
 2.30540000e+00,        -7.142552087308e-03,        +2.894468109786e+00
 2.30560000e+00,        -7.152859486715e-03,        +2.889340362508e+00
 2.30580000e+00,        -7.163237289064e-03,        +2.884210941940e+00
 2.30600000e+00,        -7.173685937340e-03,        +2.879079835277e+00
 2.30620000e+00,        -7.184205878636e-03,        +2.873947029639e+00
 2.30640000e+00,        -7.194797564227e-03,        +2.868812512072e+00
 2.30660000e+00,        -7.205461449655e-03,        +2.863676269544e+00
 2.30680000e+00,        -7.216197994716e-03,        +2.858538288948e+00
 2.30700000e+00,        -7.227007663531e-03,        +2.853398557097e+00
 2.30720000e+00,        -7.237890924576e-03,        +2.848257060729e+00
 2.30740000e+00,        -7.248848250782e-03,        +2.843113786500e+00
 2.30760000e+00,        -7.259880119472e-03,        +2.837968720988e+00
 2.30780000e+00,        -7.270987012521e-03,        +2.832821850691e+00
 2.30800000e+00,        -7.282169416350e-03,        +2.827673162023e+00
 2.30820000e+00,        -7.293427821970e-03,        +2.822522641320e+00
 2.30840000e+00,        -7.304762725030e-03,        +2.817370274832e+00
 2.30860000e+00,        -7.316174625920e-03,        +2.812216048727e+00
 2.30880000e+00,        -7.327664029689e-03,        +2.807059949089e+00
 2.30900000e+00,        -7.339231446297e-03,        +2.801901961916e+00
 2.30920000e+00,        -7.350877390499e-03,        +2.796742073120e+00
 2.30940000e+00,        -7.362602381898e-03,        +2.791580268529e+00
 2.30960000e+00,        -7.374406945147e-03,        +2.786416533879e+00
 2.30980000e+00,        -7.386291609844e-03,        +2.781250854822e+00
 2.31000000e+00,        -7.398256910659e-03,        +2.776083216918e+00
 2.31020000e+00,        -7.410303387363e-03,        +2.770913605638e+00
 2.31040000e+00,        -7.422431584952e-03,        +2.765742006364e+00
 2.31060000e+00,        -7.434642053578e-03,        +2.760568404384e+00
 2.31080000e+00,        -7.446935348693e-03,        +2.755392784893e+00
 2.31100000e+00,        -7.459312031123e-03,        +2.750215132995e+00
