        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.412663657348e+01,        +3.737589086253e-01
 2.30020000e+00,        +7.071067811865e+00,        +1.412666277756e+01,        +3.731320925751e-01
 2.30040000e+00,        +7.071067811865e+00,        +1.412668888614e+01,        +3.725051055814e-01
 2.30060000e+00,        +7.071067811865e+00,        +1.412671489895e+01,        +3.718779462876e-01
 2.30080000e+00,        +7.071067811865e+00,        +1.412674081574e+01,        +3.712506133301e-01
 2.30100000e+00,        +7.071067811865e+00,        +1.412676663625e+01,        +3.706231053379e-01
 2.30120000e+00,        +7.071067811865e+00,        +1.412679236022e+01,        +3.699954209326e-01
 2.30140000e+00,        +7.071067811865e+00,        +1.412681798737e+01,        +3.693675587284e-01
 2.30160000e+00,        +7.071067811865e+00,        +1.412684351745e+01,        +3.687395173321e-01
 2.30180000e+00,        +7.071067811865e+00,        +1.412686895019e+01,        +3.681112953428e-01
 2.30200000e+00,        +7.071067811865e+00,        +1.412689428530e+01,        +3.674828913521e-01
 2.30220000e+00,        +7.071067811865e+00,        +1.412691952251e+01,        +3.668543039437e-01
 2.30240000e+00,        +7.071067811865e+00,        +1.412694466155e+01,        +3.662255316938e-01
 2.30260000e+00,        +7.071067811865e+00,        +1.412696970213e+01,        +3.655965731705e-01
 2.30280000e+00,        +7.071067811865e+00,        +1.412699464397e+01,        +3.649674269342e-01
 2.30300000e+00,        +7.071067811865e+00,        +1.412701948678e+01,        +3.643380915371e-01
 2.30320000e+00,        +7.071067811865e+00,        +1.412704423026e+01,        +3.637085655234e-01
 2.30340000e+00,        +7.071067811865e+00,        +1.412706887413e+01,        +3.630788474293e-01
 2.30360000e+00,        +7.071067811865e+00,        +1.412709341808e+01,        +3.624489357827e-01
 2.30380000e+00,        +7.071067811865e+00,        +1.412711786182e+01,        +3.618188291031e-01
 2.30400000e+00,        +7.071067811865e+00,        +1.412714220504e+01,        +3.611885259019e-01
 2.30420000e+00,        +7.071067811865e+00,        +1.412716644744e+01,        +3.605580246818e-01
 2.30440000e+00,        +7.071067811865e+00,        +1.412719058870e+01,        +3.599273239371e-01
 2.30460000e+00,        +7.071067811865e+00,        +1.412721462852e+01,        +3.592964221535e-01
