        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +3.246924765096e-11,        +3.616470670497e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.762177961769e-15,        +5.427221414897e-05,        +3.023970007033e-14,        +8.361660531916e-04,        +2.758776715556e-11,        +8.496583429381e-01,        +3.135421472272e-11,        +8.669837966198e-01,        +1.751413693761e-12,        +5.394069220784e-02,        +1.610585940882e-12,        +4.453474361124e-02,        +6.844091442526e-13,        +2.107868810543e-02,        +7.196068951578e-13,        +1.989804316756e-02,        +6.744721804520e-13,        +2.077264578787e-02,        +7.164493652185e-13,        +1.981073346076e-02,        +1.757877094352e-12,        +5.413975443006e-02,        +1.615409054207e-12,        +4.466810881076e-02
 2.30020000e+00,        +3.247637614370e-11,        +3.616555865941e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.765392848050e-15,        +5.435929305163e-05,        +3.028776463399e-14,        +8.374753703994e-04,        +2.759028491726e-11,        +8.495493707544e-01,        +3.135081663817e-11,        +8.668694138925e-01,        +1.753395181882e-12,        +5.398986556024e-02,        +1.612146631287e-12,        +4.457684855554e-02,        +6.847151716253e-13,        +2.108348445638e-02,        +7.200437203615e-13,        +1.990965291433e-02,        +6.747588142065e-13,        +2.077691215365e-02,        +7.168764840500e-13,        +1.982207687710e-02,        +1.759862509868e-12,        +5.418900501956e-02,        +1.616975752671e-12,        +4.471037673989e-02
 2.30040000e+00,        +3.248354919655e-11,        +3.616645553714e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.768625876684e-15,        +5.444681755626e-05,        +3.033611172915e-14,        +8.387913960216e-04,        +2.759280872985e-11,        +8.494394674331e-01,        +3.134742813046e-11,        +8.667542247337e-01,        +1.755390536750e-12,        +5.403937008633e-02,        +1.613718356841e-12,        +4.461920121490e-02,        +6.850265076702e-13,        +2.108841320034e-02,        +7.204864793808e-13,        +1.992140143899e-02,        +6.750506295073e-13,        +2.078130765277e-02,        +7.173094835787e-13,        +1.983355772429e-02,        +1.761861854188e-12,        +5.423858838601e-02,        +1.618553519776e-12,        +4.475289313640e-02
 2.30060000e+00,        +3.249076696013e-11,        +3.616739748100e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.771877135526e-15,        +5.453478945883e-05,        +3.038474263248e-14,        +8.401141566362e-04,        +2.759533861982e-11,        +8.493286309210e-01,        +3.134404922803e-11,        +8.666382269970e-01,        +1.757399805732e-12,        +5.408920657026e-02,        +1.615301154661e-12,        +4.466180226292e-02,        +6.853431666470e-13,        +2.109347457042e-02,        +7.209351893868e-13,        +1.993328908350e-02,        +6.753476399491e-13,        +2.078583250367e-02,        +7.177483806767e-13,        +1.984517633744e-02,        +1.763875174954e-12,        +5.428850531964e-02,        +1.620142392790e-12,        +4.479565867689e-02
 2.30080000e+00,        +3.249802958648e-11,        +3.616838463523e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.775146713120e-15,        +5.462321056716e-05,        +3.043365863084e-14,        +8.414436789967e-04,        +2.759787461383e-11,        +8.492168591450e-01,        +3.134067995960e-11,        +8.665214185173e-01,        +1.759423036639e-12,        +5.413937580299e-02,        +1.616895062208e-12,        +4.470465237844e-02,        +6.856651629917e-13,        +2.109866880289e-02,        +7.213898677489e-13,        +1.994531619325e-02,        +6.756498592972e-13,        +2.079048692781e-02,        +7.181931924120e-13,        +1.985693305507e-02,        +1.765902520250e-12,        +5.433875661756e-02,        +1.621742409330e-12,        +4.483867404325e-02
 2.30100000e+00,        +3.250533722905e-11,        +3.616941714546e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.778434698699e-15,        +5.471208270098e-05,        +3.048286102137e-14,        +8.427799900336e-04,        +2.760041673873e-11,        +8.491041500119e-01,        +3.133732035413e-11,        +8.664037971113e-01,        +1.761460277720e-12,        +5.418987858232e-02,        +1.618500117292e-12,        +4.474775224558e-02,        +6.859925113181e-13,        +2.110399613713e-02,        +7.218505320360e-13,        +1.995748311711e-02,        +6.759573014887e-13,        +2.079527114964e-02,        +7.186439360493e-13,        +1.986882821914e-02,        +1.767943938604e-12,        +5.438934308375e-02,        +1.623353607361e-12,        +4.488193992269e-02
 2.30120000e+00,        +3.251269004273e-11,        +3.617049515870e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.781741182196e-15,        +5.480140769201e-05,        +3.053235111155e-14,        +8.441231168550e-04,        +2.760296502152e-11,        +8.489905014085e-01,        +3.133397044082e-11,        +8.662853605774e-01,        +1.763511577670e-12,        +5.424071571293e-02,        +1.620116358075e-12,        +4.479110255380e-02,        +6.863252264185e-13,        +2.110945681568e-02,        +7.223172000176e-13,        +1.996979020742e-02,        +6.762699806335e-13,        +2.080018539668e-02,        +7.191006290516e-13,        +1.988086217500e-02,        +1.769999478992e-12,        +5.444026552912e-02,        +1.624976025200e-12,        +4.492545700773e-02
 2.30140000e+00,        +3.252008818382e-11,        +3.617161882340e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.785066254243e-15,        +5.489118738402e-05,        +3.058213021930e-14,        +8.454730867481e-04,        +2.760551948939e-11,        +8.488759112013e-01,        +3.133063024914e-11,        +8.661661066955e-01,        +1.765576985633e-12,        +5.429188800636e-02,        +1.621743823071e-12,        +4.483470399788e-02,        +6.866633232648e-13,        +2.111505108422e-02,        +7.227898896651e-13,        +1.998223782004e-02,        +6.765879110150e-13,        +2.080522989946e-02,        +7.195632890809e-13,        +1.989303527149e-02,        +1.772069190841e-12,        +5.449152477153e-02,        +1.626609701520e-12,        +4.496922599627e-02
 2.30160000e+00,        +3.252753181008e-11,        +3.617278828942e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.788410006184e-15,        +5.498142363294e-05,        +3.063219967302e-14,        +8.468299271800e-04,        +2.760808016969e-11,        +8.487603772364e-01,        +3.132729980881e-11,        +8.660460332270e-01,        +1.767656551201e-12,        +5.434339628110e-02,        +1.623382551150e-12,        +4.487855727797e-02,        +6.870068170096e-13,        +2.112077919164e-02,        +7.232686191526e-13,        +1.999482631435e-02,        +6.769111070917e-13,        +2.081040489159e-02,        +7.200319339999e-13,        +1.990534786091e-02,        +1.774153124029e-12,        +5.454312163579e-02,        +1.628254675349e-12,        +4.501324759157e-02
 2.30180000e+00,        +3.253502108072e-11,        +3.617400370803e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.791772530073e-15,        +5.507211830686e-05,        +3.068256081173e-14,        +8.481936657986e-04,        +2.761064708998e-11,        +8.486438973399e-01,        +3.132397914980e-11,        +8.659251379144e-01,        +1.769750324422e-12,        +5.439524136256e-02,        +1.625032581539e-12,        +4.492266309958e-02,        +6.873557229873e-13,        +2.112664138997e-02,        +7.237534068590e-13,        +2.000755605325e-02,        +6.772395834975e-13,        +2.081571060973e-02,        +7.205065818727e-13,        +1.991780029902e-02,        +1.776251328893e-12,        +5.459505695374e-02,        +1.629910986073e-12,        +4.505752250230e-02
