        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.412763918030e+01,        +3.791021101045e-01
 2.30020000e+00,        +7.071067811865e+00,        +1.412766965035e+01,        +3.784932956257e-01
 2.30040000e+00,        +7.071067811865e+00,        +1.412770005173e+01,        +3.778844068601e-01
 2.30060000e+00,        +7.071067811865e+00,        +1.412773038438e+01,        +3.772754430229e-01
 2.30080000e+00,        +7.071067811865e+00,        +1.412776064827e+01,        +3.766664033262e-01
 2.30100000e+00,        +7.071067811865e+00,        +1.412779084335e+01,        +3.760572869799e-01
 2.30120000e+00,        +7.071067811865e+00,        +1.412782096958e+01,        +3.754480931910e-01
 2.30140000e+00,        +7.071067811865e+00,        +1.412785102691e+01,        +3.748388211639e-01
 2.30160000e+00,        +7.071067811865e+00,        +1.412788101530e+01,        +3.742294701004e-01
 2.30180000e+00,        +7.071067811865e+00,        +1.412791093470e+01,        +3.736200391993e-01
 2.30200000e+00,        +7.071067811865e+00,        +1.412794078507e+01,        +3.730105276568e-01
 2.30220000e+00,        +7.071067811865e+00,        +1.412797056636e+01,        +3.724009346664e-01
 2.30240000e+00,        +7.071067811865e+00,        +1.412800027851e+01,        +3.717912594186e-01
 2.30260000e+00,        +7.071067811865e+00,        +1.412802992148e+01,        +3.711815011014e-01
 2.30280000e+00,        +7.071067811865e+00,        +1.412805949522e+01,        +3.705716588994e-01
 2.30300000e+00,        +7.071067811865e+00,        +1.412808899968e+01,        +3.699617319949e-01
 2.30320000e+00,        +7.071067811865e+00,        +1.412811843480e+01,        +3.693517195668e-01
 2.30340000e+00,        +7.071067811865e+00,        +1.412814780054e+01,        +3.687416207915e-01
 2.30360000e+00,        +7.071067811865e+00,        +1.412817709683e+01,        +3.681314348420e-01
 2.30380000e+00,        +7.071067811865e+00,        +1.412820632363e+01,        +3.675211608886e-01
 2.30400000e+00,        +7.071067811865e+00,        +1.412823548089e+01,        +3.669107980986e-01
 2.30420000e+00,        +7.071067811865e+00,        +1.412826456853e+01,        +3.663003456360e-01
 2.30440000e+00,        +7.071067811865e+00,        +1.412829358652e+01,        +3.656898026620e-01
